family,modality,metric,state_a,condition_a,state_b,condition_b,task,denominator,sum_a,sum_b,mean_a,mean_b,mean_gap,a_only_better,b_only_better,equal,ci95_low,ci95_high,bootstrap_samples,seed
endpoint_minus_frozen,preference,paired_preference,lora-step100,vision,frozen-base,vision,overall,6,3.0,0.0,0.5,0.0,0.5,3,0,3,0.16666666666666666,0.8333333333333334,100,20260818
endpoint_minus_frozen,preference,sample_preference,lora-step100,vision,frozen-base,vision,overall,6,4.5,3.0,0.75,0.5,0.25,3,0,3,0.08333333333333333,0.5,100,20260819
endpoint_minus_frozen,preference,mean_margin,lora-step100,vision,frozen-base,vision,overall,6,1.5625,0.65625,0.2604166666666667,0.109375,0.15104166666666666,6,0,0,0.06770833333333333,0.25,100,20260820
endpoint_minus_frozen,preference,paired_preference,lora-step100,vision,frozen-base,vision,color,6,3.0,0.0,0.5,0.0,0.5,3,0,3,0.16666666666666666,0.8333333333333334,100,20260821
endpoint_minus_frozen,preference,sample_preference,lora-step100,vision,frozen-base,vision,color,6,4.5,3.0,0.75,0.5,0.25,3,0,3,0.08333333333333333,0.4166666666666667,100,20260822
endpoint_minus_frozen,preference,mean_margin,lora-step100,vision,frozen-base,vision,color,6,1.5625,0.65625,0.2604166666666667,0.109375,0.15104166666666666,6,0,0,0.06770833333333333,0.23958333333333334,100,20260823
endpoint_minus_frozen,preference,paired_preference,projector-step100,vision,frozen-base,vision,overall,6,6.0,0.0,1.0,0.0,1.0,6,0,0,1.0,1.0,100,20260824
endpoint_minus_frozen,preference,sample_preference,projector-step100,vision,frozen-base,vision,overall,6,6.0,3.0,1.0,0.5,0.5,6,0,0,0.5,0.5,100,20260825
endpoint_minus_frozen,preference,mean_margin,projector-step100,vision,frozen-base,vision,overall,6,12.874999523162842,0.65625,2.1458332538604736,0.109375,2.0364582538604736,6,0,0,1.7187499503294628,2.3749998062849045,100,20260826
endpoint_minus_frozen,preference,paired_preference,projector-step100,vision,frozen-base,vision,color,6,6.0,0.0,1.0,0.0,1.0,6,0,0,1.0,1.0,100,20260827
endpoint_minus_frozen,preference,sample_preference,projector-step100,vision,frozen-base,vision,color,6,6.0,3.0,1.0,0.5,0.5,6,0,0,0.5,0.5,100,20260828
endpoint_minus_frozen,preference,mean_margin,projector-step100,vision,frozen-base,vision,color,6,12.874999523162842,0.65625,2.1458332538604736,0.109375,2.0364582538604736,6,0,0,1.7187499503294628,2.2395831992228827,100,20260829
lora_minus_projector,preference,paired_preference,lora-step100,vision,projector-step100,vision,overall,6,3.0,6.0,0.5,1.0,-0.5,0,3,3,-1.0,-0.16666666666666666,100,20260830
lora_minus_projector,preference,sample_preference,lora-step100,vision,projector-step100,vision,overall,6,4.5,6.0,0.75,1.0,-0.25,0,3,3,-0.5,0.0,100,20260831
lora_minus_projector,preference,mean_margin,lora-step100,vision,projector-step100,vision,overall,6,1.5625,12.874999523162842,0.2604166666666667,2.1458332538604736,-1.885416587193807,0,6,0,-2.291666487852732,-1.416666641831398,100,20260832
lora_minus_projector,preference,paired_preference,lora-step100,vision,projector-step100,vision,color,6,3.0,6.0,0.5,1.0,-0.5,0,3,3,-0.8333333333333334,-0.16666666666666666,100,20260833
lora_minus_projector,preference,sample_preference,lora-step100,vision,projector-step100,vision,color,6,4.5,6.0,0.75,1.0,-0.25,0,3,3,-0.5,-0.08333333333333333,100,20260834
lora_minus_projector,preference,mean_margin,lora-step100,vision,projector-step100,vision,color,6,1.5625,12.874999523162842,0.2604166666666667,2.1458332538604736,-1.885416587193807,0,6,0,-2.291666487852732,-1.4791666865348816,100,20260835
vision_minus_shuffle,preference,paired_preference,frozen-base,vision,frozen-base,shuffled_image,overall,6,0.0,1.0,0.0,0.16666666666666666,-0.16666666666666666,0,1,5,-0.5,0.0,100,20260836
vision_minus_shuffle,preference,sample_preference,frozen-base,vision,frozen-base,shuffled_image,overall,6,3.0,2.5,0.5,0.4166666666666667,0.08333333333333333,2,1,3,-0.25,0.25,100,20260837
vision_minus_shuffle,preference,mean_margin,frozen-base,vision,frozen-base,shuffled_image,overall,6,0.65625,-0.21874988079071045,0.109375,-0.03645831346511841,0.1458333134651184,5,1,0,0.03645828366279602,0.22916664679845175,100,20260838
vision_minus_shuffle,preference,paired_preference,frozen-base,vision,frozen-base,shuffled_image,color,6,0.0,1.0,0.0,0.16666666666666666,-0.16666666666666666,0,1,5,-0.5,0.0,100,20260839
vision_minus_shuffle,preference,sample_preference,frozen-base,vision,frozen-base,shuffled_image,color,6,3.0,2.5,0.5,0.4166666666666667,0.08333333333333333,2,1,3,-0.16666666666666666,0.3333333333333333,100,20260840
vision_minus_shuffle,preference,mean_margin,frozen-base,vision,frozen-base,shuffled_image,color,6,0.65625,-0.21874988079071045,0.109375,-0.03645831346511841,0.1458333134651184,5,1,0,0.05729160706202189,0.23958333333333334,100,20260841
vision_minus_shuffle,preference,paired_preference,lora-step100,vision,lora-step100,shuffled_image,overall,6,3.0,1.0,0.5,0.16666666666666666,0.3333333333333333,2,0,4,0.0,0.6666666666666666,100,20260842
vision_minus_shuffle,preference,sample_preference,lora-step100,vision,lora-step100,shuffled_image,overall,6,4.5,3.5,0.75,0.5833333333333334,0.16666666666666666,2,0,4,0.0,0.3333333333333333,100,20260843
vision_minus_shuffle,preference,mean_margin,lora-step100,vision,lora-step100,shuffled_image,overall,6,1.5625,-0.78125,0.2604166666666667,-0.13020833333333334,0.390625,5,0,1,0.16666666666666666,0.6302083333333334,100,20260844
vision_minus_shuffle,preference,paired_preference,lora-step100,vision,lora-step100,shuffled_image,color,6,3.0,1.0,0.5,0.16666666666666666,0.3333333333333333,2,0,4,0.0,0.6666666666666666,100,20260845
vision_minus_shuffle,preference,sample_preference,lora-step100,vision,lora-step100,shuffled_image,color,6,4.5,3.5,0.75,0.5833333333333334,0.16666666666666666,2,0,4,0.0,0.3333333333333333,100,20260846
vision_minus_shuffle,preference,mean_margin,lora-step100,vision,lora-step100,shuffled_image,color,6,1.5625,-0.78125,0.2604166666666667,-0.13020833333333334,0.390625,5,0,1,0.11458333333333333,0.6302083333333334,100,20260847
vision_minus_shuffle,preference,paired_preference,projector-step100,vision,projector-step100,shuffled_image,overall,6,6.0,3.0,1.0,0.5,0.5,3,0,3,0.0,0.8333333333333334,100,20260848
vision_minus_shuffle,preference,sample_preference,projector-step100,vision,projector-step100,shuffled_image,overall,6,6.0,4.0,1.0,0.6666666666666666,0.3333333333333333,3,0,3,0.0,0.5833333333333334,100,20260849
vision_minus_shuffle,preference,mean_margin,projector-step100,vision,projector-step100,shuffled_image,overall,6,12.874999523162842,1.9374999701976776,2.1458332538604736,0.3229166616996129,1.8229165921608608,5,1,0,0.7708333432674408,2.8593748609224954,100,20260850
vision_minus_shuffle,preference,paired_preference,projector-step100,vision,projector-step100,shuffled_image,color,6,6.0,3.0,1.0,0.5,0.5,3,0,3,0.16666666666666666,0.8333333333333334,100,20260851
vision_minus_shuffle,preference,sample_preference,projector-step100,vision,projector-step100,shuffled_image,color,6,6.0,4.0,1.0,0.6666666666666666,0.3333333333333333,3,0,3,0.0,0.5833333333333334,100,20260852
