modality,state,condition,task,metric,pairs,mean
preference,frozen-base,paired_counterfactual_image,overall,paired_preference,6,0.0
preference,frozen-base,paired_counterfactual_image,overall,sample_preference,6,0.5
preference,frozen-base,paired_counterfactual_image,overall,mean_margin,6,-0.109375
preference,frozen-base,paired_counterfactual_image,color,paired_preference,6,0.0
preference,frozen-base,paired_counterfactual_image,color,sample_preference,6,0.5
preference,frozen-base,paired_counterfactual_image,color,mean_margin,6,-0.109375
preference,frozen-base,shuffled_image,overall,paired_preference,6,0.16666666666666666
preference,frozen-base,shuffled_image,overall,sample_preference,6,0.4166666666666667
preference,frozen-base,shuffled_image,overall,mean_margin,6,-0.03645831346511841
preference,frozen-base,shuffled_image,color,paired_preference,6,0.16666666666666666
preference,frozen-base,shuffled_image,color,sample_preference,6,0.4166666666666667
preference,frozen-base,shuffled_image,color,mean_margin,6,-0.03645831346511841
preference,frozen-base,vision,overall,paired_preference,6,0.0
preference,frozen-base,vision,overall,sample_preference,6,0.5
preference,frozen-base,vision,overall,mean_margin,6,0.109375
preference,frozen-base,vision,color,paired_preference,6,0.0
preference,frozen-base,vision,color,sample_preference,6,0.5
preference,frozen-base,vision,color,mean_margin,6,0.109375
preference,lora-step100,paired_counterfactual_image,overall,paired_preference,6,0.0
preference,lora-step100,paired_counterfactual_image,overall,sample_preference,6,0.25
preference,lora-step100,paired_counterfactual_image,overall,mean_margin,6,-0.2604166666666667
preference,lora-step100,paired_counterfactual_image,color,paired_preference,6,0.0
preference,lora-step100,paired_counterfactual_image,color,sample_preference,6,0.25
preference,lora-step100,paired_counterfactual_image,color,mean_margin,6,-0.2604166666666667
preference,lora-step100,shuffled_image,overall,paired_preference,6,0.16666666666666666
preference,lora-step100,shuffled_image,overall,sample_preference,6,0.5833333333333334
preference,lora-step100,shuffled_image,overall,mean_margin,6,-0.13020833333333334
preference,lora-step100,shuffled_image,color,paired_preference,6,0.16666666666666666
preference,lora-step100,shuffled_image,color,sample_preference,6,0.5833333333333334
preference,lora-step100,shuffled_image,color,mean_margin,6,-0.13020833333333334
preference,lora-step100,vision,overall,paired_preference,6,0.5
preference,lora-step100,vision,overall,sample_preference,6,0.75
preference,lora-step100,vision,overall,mean_margin,6,0.2604166666666667
preference,lora-step100,vision,color,paired_preference,6,0.5
preference,lora-step100,vision,color,sample_preference,6,0.75
preference,lora-step100,vision,color,mean_margin,6,0.2604166666666667
preference,projector-step100,paired_counterfactual_image,overall,paired_preference,6,0.0
preference,projector-step100,paired_counterfactual_image,overall,sample_preference,6,0.0
preference,projector-step100,paired_counterfactual_image,overall,mean_margin,6,-2.1458332538604736
preference,projector-step100,paired_counterfactual_image,color,paired_preference,6,0.0
preference,projector-step100,paired_counterfactual_image,color,sample_preference,6,0.0
preference,projector-step100,paired_counterfactual_image,color,mean_margin,6,-2.1458332538604736
preference,projector-step100,shuffled_image,overall,paired_preference,6,0.5
preference,projector-step100,shuffled_image,overall,sample_preference,6,0.6666666666666666
preference,projector-step100,shuffled_image,overall,mean_margin,6,0.3229166616996129
preference,projector-step100,shuffled_image,color,paired_preference,6,0.5
preference,projector-step100,shuffled_image,color,sample_preference,6,0.6666666666666666
preference,projector-step100,shuffled_image,color,mean_margin,6,0.3229166616996129
preference,projector-step100,vision,overall,paired_preference,6,1.0
preference,projector-step100,vision,overall,sample_preference,6,1.0
preference,projector-step100,vision,overall,mean_margin,6,2.1458332538604736
preference,projector-step100,vision,color,paired_preference,6,1.0
preference,projector-step100,vision,color,sample_preference,6,1.0
preference,projector-step100,vision,color,mean_margin,6,2.1458332538604736
generation,frozen-base,paired_counterfactual_image,overall,generation_paired,6,0.0
generation,frozen-base,paired_counterfactual_image,overall,generation_sample,6,0.0
generation,frozen-base,paired_counterfactual_image,overall,prediction_flip,6,0.3333333333333333
generation,frozen-base,paired_counterfactual_image,color,generation_paired,6,0.0
generation,frozen-base,paired_counterfactual_image,color,generation_sample,6,0.0
generation,frozen-base,paired_counterfactual_image,color,prediction_flip,6,0.3333333333333333
generation,frozen-base,vision,overall,generation_paired,6,0.0
generation,frozen-base,vision,overall,generation_sample,6,0.0
generation,frozen-base,vision,overall,prediction_flip,6,0.3333333333333333
generation,frozen-base,vision,color,generation_paired,6,0.0
generation,frozen-base,vision,color,generation_sample,6,0.0
generation,frozen-base,vision,color,prediction_flip,6,0.3333333333333333
generation,lora-step100,paired_counterfactual_image,overall,generation_paired,6,0.0
generation,lora-step100,paired_counterfactual_image,overall,generation_sample,6,0.0
generation,lora-step100,paired_counterfactual_image,overall,prediction_flip,6,0.3333333333333333
generation,lora-step100,paired_counterfactual_image,color,generation_paired,6,0.0
generation,lora-step100,paired_counterfactual_image,color,generation_sample,6,0.0
generation,lora-step100,paired_counterfactual_image,color,prediction_flip,6,0.3333333333333333
generation,lora-step100,vision,overall,generation_paired,6,0.0
generation,lora-step100,vision,overall,generation_sample,6,0.0
generation,lora-step100,vision,overall,prediction_flip,6,0.3333333333333333
generation,lora-step100,vision,color,generation_paired,6,0.0
generation,lora-step100,vision,color,generation_sample,6,0.0
generation,lora-step100,vision,color,prediction_flip,6,0.3333333333333333
generation,projector-step100,paired_counterfactual_image,overall,generation_paired,6,0.16666666666666666
generation,projector-step100,paired_counterfactual_image,overall,generation_sample,6,0.5
generation,projector-step100,paired_counterfactual_image,overall,prediction_flip,6,0.8333333333333334
generation,projector-step100,paired_counterfactual_image,color,generation_paired,6,0.16666666666666666
generation,projector-step100,paired_counterfactual_image,color,generation_sample,6,0.5
generation,projector-step100,paired_counterfactual_image,color,prediction_flip,6,0.8333333333333334
generation,projector-step100,vision,overall,generation_paired,6,0.16666666666666666
generation,projector-step100,vision,overall,generation_sample,6,0.5
generation,projector-step100,vision,overall,prediction_flip,6,0.8333333333333334
generation,projector-step100,vision,color,generation_paired,6,0.16666666666666666
generation,projector-step100,vision,color,generation_sample,6,0.5
generation,projector-step100,vision,color,prediction_flip,6,0.8333333333333334
