modality,state,condition,task,metric,pairs,mean
preference,frozen-base,paired_counterfactual_image,overall,paired_preference,1200,0.0008333333333333334
preference,frozen-base,paired_counterfactual_image,overall,sample_preference,1200,0.37166666666666665
preference,frozen-base,paired_counterfactual_image,overall,mean_margin,1200,-0.9537247838907477
preference,frozen-base,paired_counterfactual_image,color,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,color,sample_preference,200,0.36
preference,frozen-base,paired_counterfactual_image,color,mean_margin,200,-0.6339062684774399
preference,frozen-base,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,coordinate,sample_preference,200,0.4725
preference,frozen-base,paired_counterfactual_image,coordinate,mean_margin,200,-0.06757493585348129
preference,frozen-base,paired_counterfactual_image,count,paired_preference,200,0.005
preference,frozen-base,paired_counterfactual_image,count,sample_preference,200,0.385
preference,frozen-base,paired_counterfactual_image,count,mean_margin,200,-0.03609375059604645
preference,frozen-base,paired_counterfactual_image,ocr,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,ocr,sample_preference,200,0.4325
preference,frozen-base,paired_counterfactual_image,ocr,mean_margin,200,-0.4066392201866422
preference,frozen-base,paired_counterfactual_image,shape,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,shape,sample_preference,200,0.205
preference,frozen-base,paired_counterfactual_image,shape,mean_margin,200,-4.43742190008983
preference,frozen-base,paired_counterfactual_image,spatial,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,spatial,sample_preference,200,0.375
preference,frozen-base,paired_counterfactual_image,spatial,mean_margin,200,-0.14071262814104557
preference,frozen-base,shuffled_image,overall,paired_preference,1200,0.06
preference,frozen-base,shuffled_image,overall,sample_preference,1200,0.45208333333333334
preference,frozen-base,shuffled_image,overall,mean_margin,1200,-0.07957569763909966
preference,frozen-base,shuffled_image,color,paired_preference,200,0.095
preference,frozen-base,shuffled_image,color,sample_preference,200,0.455
preference,frozen-base,shuffled_image,color,mean_margin,200,-0.010624995529651642
preference,frozen-base,shuffled_image,coordinate,paired_preference,200,0.0
preference,frozen-base,shuffled_image,coordinate,sample_preference,200,0.4875
preference,frozen-base,shuffled_image,coordinate,mean_margin,200,0.0024079552292823794
preference,frozen-base,shuffled_image,count,paired_preference,200,0.06
preference,frozen-base,shuffled_image,count,sample_preference,200,0.435
preference,frozen-base,shuffled_image,count,mean_margin,200,-0.009843750447034836
preference,frozen-base,shuffled_image,ocr,paired_preference,200,0.05
preference,frozen-base,shuffled_image,ocr,sample_preference,200,0.485
preference,frozen-base,shuffled_image,ocr,mean_margin,200,0.023613779158819286
preference,frozen-base,shuffled_image,shape,paired_preference,200,0.155
preference,frozen-base,shuffled_image,shape,sample_preference,200,0.475
preference,frozen-base,shuffled_image,shape,mean_margin,200,-0.368593763820827
preference,frozen-base,shuffled_image,spatial,paired_preference,200,0.0
preference,frozen-base,shuffled_image,spatial,sample_preference,200,0.375
preference,frozen-base,shuffled_image,spatial,mean_margin,200,-0.11441341042518616
preference,frozen-base,vision,overall,paired_preference,1200,0.22416666666666665
preference,frozen-base,vision,overall,sample_preference,1200,0.6058333333333333
preference,frozen-base,vision,overall,mean_margin,1200,0.9537247838907477
preference,frozen-base,vision,color,paired_preference,200,0.23
preference,frozen-base,vision,color,sample_preference,200,0.615
preference,frozen-base,vision,color,mean_margin,200,0.6339062684774399
preference,frozen-base,vision,coordinate,paired_preference,200,0.055
preference,frozen-base,vision,coordinate,sample_preference,200,0.5275
preference,frozen-base,vision,coordinate,mean_margin,200,0.06757493585348129
preference,frozen-base,vision,count,paired_preference,200,0.115
preference,frozen-base,vision,count,sample_preference,200,0.52
preference,frozen-base,vision,count,mean_margin,200,0.03609375059604645
preference,frozen-base,vision,ocr,paired_preference,200,0.135
preference,frozen-base,vision,ocr,sample_preference,200,0.5675
preference,frozen-base,vision,ocr,mean_margin,200,0.4066392201866422
preference,frozen-base,vision,shape,paired_preference,200,0.56
preference,frozen-base,vision,shape,sample_preference,200,0.78
preference,frozen-base,vision,shape,mean_margin,200,4.43742190008983
preference,frozen-base,vision,spatial,paired_preference,200,0.25
preference,frozen-base,vision,spatial,sample_preference,200,0.625
preference,frozen-base,vision,spatial,mean_margin,200,0.14071262814104557
preference,lora-step100,paired_counterfactual_image,overall,paired_preference,1200,0.035833333333333335
preference,lora-step100,paired_counterfactual_image,overall,sample_preference,1200,0.38958333333333334
preference,lora-step100,paired_counterfactual_image,overall,mean_margin,1200,-1.3784233856896855
preference,lora-step100,paired_counterfactual_image,color,paired_preference,200,0.0
preference,lora-step100,paired_counterfactual_image,color,sample_preference,200,0.3075
preference,lora-step100,paired_counterfactual_image,color,mean_margin,200,-1.0059374774992467
preference,lora-step100,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,lora-step100,paired_counterfactual_image,coordinate,sample_preference,200,0.4525
preference,lora-step100,paired_counterfactual_image,coordinate,mean_margin,200,-0.10074518412351609
preference,lora-step100,paired_counterfactual_image,count,paired_preference,200,0.215
preference,lora-step100,paired_counterfactual_image,count,sample_preference,200,0.6075
preference,lora-step100,paired_counterfactual_image,count,mean_margin,200,0.18562500201165677
preference,lora-step100,paired_counterfactual_image,ocr,paired_preference,200,0.0
preference,lora-step100,paired_counterfactual_image,ocr,sample_preference,200,0.41
preference,lora-step100,paired_counterfactual_image,ocr,mean_margin,200,-0.6027174874657677
preference,lora-step100,paired_counterfactual_image,shape,paired_preference,200,0.0
preference,lora-step100,paired_counterfactual_image,shape,sample_preference,200,0.06
preference,lora-step100,paired_counterfactual_image,shape,mean_margin,200,-6.37085938426666
preference,lora-step100,paired_counterfactual_image,spatial,paired_preference,200,0.0
preference,lora-step100,paired_counterfactual_image,spatial,sample_preference,200,0.5
preference,lora-step100,paired_counterfactual_image,spatial,mean_margin,200,-0.37590578279457987
preference,lora-step100,shuffled_image,overall,paired_preference,1200,0.07583333333333334
preference,lora-step100,shuffled_image,overall,sample_preference,1200,0.48291666666666666
preference,lora-step100,shuffled_image,overall,mean_margin,1200,-0.15158063021699145
preference,lora-step100,shuffled_image,color,paired_preference,200,0.095
preference,lora-step100,shuffled_image,color,sample_preference,200,0.455
preference,lora-step100,shuffled_image,color,mean_margin,200,-0.007500004023313522
preference,lora-step100,shuffled_image,coordinate,paired_preference,200,0.035
preference,lora-step100,shuffled_image,coordinate,sample_preference,200,0.5025
preference,lora-step100,shuffled_image,coordinate,mean_margin,200,-0.00026485800743103027
preference,lora-step100,shuffled_image,count,paired_preference,200,0.095
preference,lora-step100,shuffled_image,count,sample_preference,200,0.475
preference,lora-step100,shuffled_image,count,mean_margin,200,-0.044999996423721315
preference,lora-step100,shuffled_image,ocr,paired_preference,200,0.06
preference,lora-step100,shuffled_image,ocr,sample_preference,200,0.4925
preference,lora-step100,shuffled_image,ocr,mean_margin,200,0.02020694681576318
preference,lora-step100,shuffled_image,shape,paired_preference,200,0.17
preference,lora-step100,shuffled_image,shape,sample_preference,200,0.4725
preference,lora-step100,shuffled_image,shape,mean_margin,200,-0.5953906037146226
preference,lora-step100,shuffled_image,spatial,paired_preference,200,0.0
preference,lora-step100,shuffled_image,spatial,sample_preference,200,0.5
preference,lora-step100,shuffled_image,spatial,mean_margin,200,-0.28153526594862344
preference,lora-step100,vision,overall,paired_preference,1200,0.24666666666666667
preference,lora-step100,vision,overall,sample_preference,1200,0.6054166666666667
preference,lora-step100,vision,overall,mean_margin,1200,1.3784233856896855
preference,lora-step100,vision,color,paired_preference,200,0.33
preference,lora-step100,vision,color,sample_preference,200,0.665
preference,lora-step100,vision,color,mean_margin,200,1.0059374774992467
