family,modality,metric,state_a,condition_a,state_b,condition_b,task,denominator,sum_a,sum_b,mean_a,mean_b,mean_gap,a_only_better,b_only_better,equal,ci95_low,ci95_high,bootstrap_samples,seed
endpoint_minus_frozen,preference,paired_preference,lora-step50,vision,frozen-base,vision,overall,1200,292.0,269.0,0.24333333333333335,0.22416666666666665,0.019166666666666665,130,107,963,-0.005833333333333334,0.04416666666666667,2000,20260820
endpoint_minus_frozen,preference,sample_preference,lora-step50,vision,frozen-base,vision,overall,1200,729.5,727.0,0.6079166666666667,0.6058333333333333,0.0020833333333333333,136,131,933,-0.010833333333333334,0.015416666666666667,2000,20260821
endpoint_minus_frozen,preference,mean_margin,lora-step50,vision,frozen-base,vision,overall,1200,1399.9769392450473,1144.4697406688972,1.1666474493708727,0.9537247838907477,0.21292266548012515,937,231,32,0.18968596542874971,0.23531031956395046,2000,20260822
endpoint_minus_frozen,preference,paired_preference,lora-step50,vision,frozen-base,vision,color,200,70.0,46.0,0.35,0.23,0.12,39,15,146,0.05,0.19,2000,20260823
endpoint_minus_frozen,preference,sample_preference,lora-step50,vision,frozen-base,vision,color,200,135.0,123.0,0.675,0.615,0.06,39,15,146,0.025,0.095,2000,20260824
endpoint_minus_frozen,preference,mean_margin,lora-step50,vision,frozen-base,vision,color,200,167.46876120567322,126.78125369548798,0.8373438060283661,0.6339062684774399,0.2034375375509262,182,6,12,0.1820312786102295,0.22421880513429643,2000,20260825
endpoint_minus_frozen,preference,paired_preference,lora-step50,vision,frozen-base,vision,coordinate,200,9.0,11.0,0.045,0.055,-0.01,9,11,180,-0.055,0.035,2000,20260826
endpoint_minus_frozen,preference,sample_preference,lora-step50,vision,frozen-base,vision,coordinate,200,104.5,105.5,0.5225,0.5275,-0.005,9,11,180,-0.0275,0.0175,2000,20260827
endpoint_minus_frozen,preference,mean_margin,lora-step50,vision,frozen-base,vision,coordinate,200,15.012629866600037,13.514987170696259,0.07506314933300018,0.06757493585348129,0.00748821347951889,120,73,7,0.0016503769159317016,0.013403858542442321,2000,20260828
endpoint_minus_frozen,preference,paired_preference,lora-step50,vision,frozen-base,vision,count,200,2.0,23.0,0.01,0.115,-0.105,2,23,175,-0.155,-0.06,2000,20260829
endpoint_minus_frozen,preference,sample_preference,lora-step50,vision,frozen-base,vision,count,200,84.5,104.0,0.4225,0.52,-0.0975,8,47,145,-0.1325,-0.0625,2000,20260830
endpoint_minus_frozen,preference,mean_margin,lora-step50,vision,frozen-base,vision,count,200,2.4375003278255463,7.2187501192092896,0.012187501639127732,0.03609375059604645,-0.023906248956918716,86,102,12,-0.03750000104308129,-0.00906249761581421,2000,20260831
endpoint_minus_frozen,preference,paired_preference,lora-step50,vision,frozen-base,vision,ocr,200,31.0,27.0,0.155,0.135,0.02,12,8,180,-0.025,0.065,2000,20260832
endpoint_minus_frozen,preference,sample_preference,lora-step50,vision,frozen-base,vision,ocr,200,115.5,113.5,0.5775,0.5675,0.01,12,8,180,-0.0125,0.0325,2000,20260833
endpoint_minus_frozen,preference,mean_margin,lora-step50,vision,frozen-base,vision,ocr,200,108.93350330080305,81.32784403732845,0.5446675165040152,0.4066392201866422,0.138028296317373,149,50,1,0.11598559838817232,0.16151035272507439,2000,20260834
endpoint_minus_frozen,preference,paired_preference,lora-step50,vision,frozen-base,vision,shape,200,180.0,112.0,0.9,0.56,0.34,68,0,132,0.275,0.405,2000,20260835
endpoint_minus_frozen,preference,sample_preference,lora-step50,vision,frozen-base,vision,shape,200,190.0,156.0,0.95,0.78,0.17,68,0,132,0.1375,0.2025,2000,20260836
endpoint_minus_frozen,preference,mean_margin,lora-step50,vision,frozen-base,vision,shape,200,1069.796863971278,887.484380017966,5.34898431985639,4.43742190008983,0.9115624197665602,200,0,0,0.8392186863161624,0.9916405462659895,2000,20260837
endpoint_minus_frozen,preference,paired_preference,lora-step50,vision,frozen-base,vision,spatial,200,0.0,50.0,0.0,0.25,-0.25,0,50,150,-0.31,-0.19,2000,20260838
endpoint_minus_frozen,preference,sample_preference,lora-step50,vision,frozen-base,vision,spatial,200,100.0,125.0,0.5,0.625,-0.125,0,50,150,-0.1575,-0.0975,2000,20260839
endpoint_minus_frozen,preference,mean_margin,lora-step50,vision,frozen-base,vision,spatial,200,36.32768057286739,28.142525628209114,0.18163840286433697,0.14071262814104557,0.0409257747232914,200,0,0,0.03318686630576849,0.048474833332002164,2000,20260840
endpoint_minus_frozen,preference,paired_preference,projector-step50,vision,frozen-base,vision,overall,1200,614.0,269.0,0.5116666666666667,0.22416666666666665,0.2875,365,20,815,0.25833333333333336,0.31666666666666665,2000,20260841
endpoint_minus_frozen,preference,sample_preference,projector-step50,vision,frozen-base,vision,overall,1200,902.5,727.0,0.7520833333333333,0.6058333333333333,0.14625,374,29,797,0.13166666666666665,0.16083333333333333,2000,20260842
endpoint_minus_frozen,preference,mean_margin,projector-step50,vision,frozen-base,vision,overall,1200,2149.647017187236,1144.4697406688972,1.7913725143226968,0.9537247838907477,0.8376477304319491,1119,77,4,0.7856313821609864,0.8921806223425646,2000,20260843
endpoint_minus_frozen,preference,paired_preference,projector-step50,vision,frozen-base,vision,color,200,127.0,46.0,0.635,0.23,0.405,82,1,117,0.335,0.475,2000,20260844
endpoint_minus_frozen,preference,sample_preference,projector-step50,vision,frozen-base,vision,color,200,163.5,123.0,0.8175,0.615,0.2025,82,1,117,0.17,0.2375,2000,20260845
endpoint_minus_frozen,preference,mean_margin,projector-step50,vision,frozen-base,vision,color,200,429.812499769032,126.78125369548798,2.14906249884516,0.6339062684774399,1.5151562303677202,200,0,0,1.3603124690428376,1.6826562099158764,2000,20260846
endpoint_minus_frozen,preference,paired_preference,projector-step50,vision,frozen-base,vision,coordinate,200,83.0,11.0,0.415,0.055,0.36,80,8,112,0.28,0.435,2000,20260847
endpoint_minus_frozen,preference,sample_preference,projector-step50,vision,frozen-base,vision,coordinate,200,141.5,105.5,0.7075,0.5275,0.18,80,8,112,0.14,0.22,2000,20260848
endpoint_minus_frozen,preference,mean_margin,projector-step50,vision,frozen-base,vision,coordinate,200,137.56269119679928,13.514987170696259,0.6878134559839963,0.06757493585348129,0.6202385201305151,200,0,0,0.5557382733374834,0.6865875703841448,2000,20260849
endpoint_minus_frozen,preference,paired_preference,projector-step50,vision,frozen-base,vision,count,200,76.0,23.0,0.38,0.115,0.265,55,2,143,0.2,0.33,2000,20260850
endpoint_minus_frozen,preference,sample_preference,projector-step50,vision,frozen-base,vision,count,200,134.0,104.0,0.67,0.52,0.15,64,10,126,0.1075,0.195,2000,20260851
endpoint_minus_frozen,preference,mean_margin,projector-step50,vision,frozen-base,vision,count,200,66.34374901652336,7.2187501192092896,0.3317187450826168,0.03609375059604645,0.29562499448657037,179,17,4,0.25874999672174454,0.3346874964237213,2000,20260852
