modality,state,condition,task,metric,pairs,mean
preference,frozen-base,paired_counterfactual_image,overall,paired_preference,1200,0.0008333333333333334
preference,frozen-base,paired_counterfactual_image,overall,sample_preference,1200,0.37166666666666665
preference,frozen-base,paired_counterfactual_image,overall,mean_margin,1200,-0.9537247838907477
preference,frozen-base,paired_counterfactual_image,color,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,color,sample_preference,200,0.36
preference,frozen-base,paired_counterfactual_image,color,mean_margin,200,-0.6339062684774399
preference,frozen-base,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,coordinate,sample_preference,200,0.4725
preference,frozen-base,paired_counterfactual_image,coordinate,mean_margin,200,-0.06757493585348129
preference,frozen-base,paired_counterfactual_image,count,paired_preference,200,0.005
preference,frozen-base,paired_counterfactual_image,count,sample_preference,200,0.385
preference,frozen-base,paired_counterfactual_image,count,mean_margin,200,-0.03609375059604645
preference,frozen-base,paired_counterfactual_image,ocr,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,ocr,sample_preference,200,0.4325
preference,frozen-base,paired_counterfactual_image,ocr,mean_margin,200,-0.4066392201866422
preference,frozen-base,paired_counterfactual_image,shape,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,shape,sample_preference,200,0.205
preference,frozen-base,paired_counterfactual_image,shape,mean_margin,200,-4.43742190008983
preference,frozen-base,paired_counterfactual_image,spatial,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,spatial,sample_preference,200,0.375
preference,frozen-base,paired_counterfactual_image,spatial,mean_margin,200,-0.14071262814104557
preference,frozen-base,shuffled_image,overall,paired_preference,1200,0.06
preference,frozen-base,shuffled_image,overall,sample_preference,1200,0.45208333333333334
preference,frozen-base,shuffled_image,overall,mean_margin,1200,-0.07957569763909966
preference,frozen-base,shuffled_image,color,paired_preference,200,0.095
preference,frozen-base,shuffled_image,color,sample_preference,200,0.455
preference,frozen-base,shuffled_image,color,mean_margin,200,-0.010624995529651642
preference,frozen-base,shuffled_image,coordinate,paired_preference,200,0.0
preference,frozen-base,shuffled_image,coordinate,sample_preference,200,0.4875
preference,frozen-base,shuffled_image,coordinate,mean_margin,200,0.0024079552292823794
preference,frozen-base,shuffled_image,count,paired_preference,200,0.06
preference,frozen-base,shuffled_image,count,sample_preference,200,0.435
preference,frozen-base,shuffled_image,count,mean_margin,200,-0.009843750447034836
preference,frozen-base,shuffled_image,ocr,paired_preference,200,0.05
preference,frozen-base,shuffled_image,ocr,sample_preference,200,0.485
preference,frozen-base,shuffled_image,ocr,mean_margin,200,0.023613779158819286
preference,frozen-base,shuffled_image,shape,paired_preference,200,0.155
preference,frozen-base,shuffled_image,shape,sample_preference,200,0.475
preference,frozen-base,shuffled_image,shape,mean_margin,200,-0.368593763820827
preference,frozen-base,shuffled_image,spatial,paired_preference,200,0.0
preference,frozen-base,shuffled_image,spatial,sample_preference,200,0.375
preference,frozen-base,shuffled_image,spatial,mean_margin,200,-0.11441341042518616
preference,frozen-base,vision,overall,paired_preference,1200,0.22416666666666665
preference,frozen-base,vision,overall,sample_preference,1200,0.6058333333333333
preference,frozen-base,vision,overall,mean_margin,1200,0.9537247838907477
preference,frozen-base,vision,color,paired_preference,200,0.23
preference,frozen-base,vision,color,sample_preference,200,0.615
preference,frozen-base,vision,color,mean_margin,200,0.6339062684774399
preference,frozen-base,vision,coordinate,paired_preference,200,0.055
preference,frozen-base,vision,coordinate,sample_preference,200,0.5275
preference,frozen-base,vision,coordinate,mean_margin,200,0.06757493585348129
preference,frozen-base,vision,count,paired_preference,200,0.115
preference,frozen-base,vision,count,sample_preference,200,0.52
preference,frozen-base,vision,count,mean_margin,200,0.03609375059604645
preference,frozen-base,vision,ocr,paired_preference,200,0.135
preference,frozen-base,vision,ocr,sample_preference,200,0.5675
preference,frozen-base,vision,ocr,mean_margin,200,0.4066392201866422
preference,frozen-base,vision,shape,paired_preference,200,0.56
preference,frozen-base,vision,shape,sample_preference,200,0.78
preference,frozen-base,vision,shape,mean_margin,200,4.43742190008983
preference,frozen-base,vision,spatial,paired_preference,200,0.25
preference,frozen-base,vision,spatial,sample_preference,200,0.625
preference,frozen-base,vision,spatial,mean_margin,200,0.14071262814104557
preference,lora-step50,paired_counterfactual_image,overall,paired_preference,1200,0.0225
preference,lora-step50,paired_counterfactual_image,overall,sample_preference,1200,0.3566666666666667
preference,lora-step50,paired_counterfactual_image,overall,mean_margin,1200,-1.1666474493708727
preference,lora-step50,paired_counterfactual_image,color,paired_preference,200,0.0
preference,lora-step50,paired_counterfactual_image,color,sample_preference,200,0.3
preference,lora-step50,paired_counterfactual_image,color,mean_margin,200,-0.8373438060283661
preference,lora-step50,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,lora-step50,paired_counterfactual_image,coordinate,sample_preference,200,0.465
preference,lora-step50,paired_counterfactual_image,coordinate,mean_margin,200,-0.07506314933300018
preference,lora-step50,paired_counterfactual_image,count,paired_preference,200,0.135
preference,lora-step50,paired_counterfactual_image,count,sample_preference,200,0.5275
preference,lora-step50,paired_counterfactual_image,count,mean_margin,200,-0.012187501639127732
preference,lora-step50,paired_counterfactual_image,ocr,paired_preference,200,0.0
preference,lora-step50,paired_counterfactual_image,ocr,sample_preference,200,0.4225
preference,lora-step50,paired_counterfactual_image,ocr,mean_margin,200,-0.5446675165040152
preference,lora-step50,paired_counterfactual_image,shape,paired_preference,200,0.0
preference,lora-step50,paired_counterfactual_image,shape,sample_preference,200,0.05
preference,lora-step50,paired_counterfactual_image,shape,mean_margin,200,-5.34898431985639
preference,lora-step50,paired_counterfactual_image,spatial,paired_preference,200,0.0
preference,lora-step50,paired_counterfactual_image,spatial,sample_preference,200,0.375
preference,lora-step50,paired_counterfactual_image,spatial,mean_margin,200,-0.18163840286433697
preference,lora-step50,shuffled_image,overall,paired_preference,1200,0.0675
preference,lora-step50,shuffled_image,overall,sample_preference,1200,0.4845833333333333
preference,lora-step50,shuffled_image,overall,mean_margin,1200,-0.10031238880987087
preference,lora-step50,shuffled_image,color,paired_preference,200,0.095
preference,lora-step50,shuffled_image,color,sample_preference,200,0.475
preference,lora-step50,shuffled_image,color,mean_margin,200,-0.0007812410593032836
preference,lora-step50,shuffled_image,coordinate,paired_preference,200,0.0
preference,lora-step50,shuffled_image,coordinate,sample_preference,200,0.4925
preference,lora-step50,shuffled_image,coordinate,mean_margin,200,0.0010434266924858092
preference,lora-step50,shuffled_image,count,paired_preference,200,0.04
preference,lora-step50,shuffled_image,count,sample_preference,200,0.4625
preference,lora-step50,shuffled_image,count,mean_margin,200,-0.01406250037252903
preference,lora-step50,shuffled_image,ocr,paired_preference,200,0.06
preference,lora-step50,shuffled_image,ocr,sample_preference,200,0.4975
preference,lora-step50,shuffled_image,ocr,mean_margin,200,0.01929341226532346
preference,lora-step50,shuffled_image,shape,paired_preference,200,0.21
preference,lora-step50,shuffled_image,shape,sample_preference,200,0.48
preference,lora-step50,shuffled_image,shape,mean_margin,200,-0.4762499914877117
preference,lora-step50,shuffled_image,spatial,paired_preference,200,0.0
preference,lora-step50,shuffled_image,spatial,sample_preference,200,0.5
preference,lora-step50,shuffled_image,spatial,mean_margin,200,-0.1311174388974905
preference,lora-step50,vision,overall,paired_preference,1200,0.24333333333333335
preference,lora-step50,vision,overall,sample_preference,1200,0.6079166666666667
preference,lora-step50,vision,overall,mean_margin,1200,1.1666474493708727
preference,lora-step50,vision,color,paired_preference,200,0.35
preference,lora-step50,vision,color,sample_preference,200,0.675
preference,lora-step50,vision,color,mean_margin,200,0.8373438060283661
