state,kind,adaptation_step,adaptation_examples_seen,condition,task,records,pairs,sample_preference_accuracy,paired_preference_accuracy,mean_correct_margin
frozen-base,frozen,0,0,vision,overall,2400,1200,0.6058333333333333,0.22416666666666665,0.9537247838907477
frozen-base,frozen,0,0,vision,color,400,200,0.615,0.23,0.6339062684774399
frozen-base,frozen,0,0,vision,coordinate,400,200,0.5275,0.055,0.06757493585348129
frozen-base,frozen,0,0,vision,count,400,200,0.52,0.115,0.03609375059604645
frozen-base,frozen,0,0,vision,ocr,400,200,0.5675,0.135,0.4066392201866422
frozen-base,frozen,0,0,vision,shape,400,200,0.78,0.56,4.43742190008983
frozen-base,frozen,0,0,vision,spatial,400,200,0.625,0.25,0.14071262814104557
frozen-base,frozen,0,0,paired_counterfactual_image,overall,2400,1200,0.37166666666666665,0.0008333333333333334,-0.9537247838907477
frozen-base,frozen,0,0,paired_counterfactual_image,color,400,200,0.36,0.0,-0.6339062684774399
frozen-base,frozen,0,0,paired_counterfactual_image,coordinate,400,200,0.4725,0.0,-0.06757493585348129
frozen-base,frozen,0,0,paired_counterfactual_image,count,400,200,0.385,0.005,-0.03609375059604645
frozen-base,frozen,0,0,paired_counterfactual_image,ocr,400,200,0.4325,0.0,-0.4066392201866422
frozen-base,frozen,0,0,paired_counterfactual_image,shape,400,200,0.205,0.0,-4.43742190008983
frozen-base,frozen,0,0,paired_counterfactual_image,spatial,400,200,0.375,0.0,-0.14071262814104557
frozen-base,frozen,0,0,shuffled_image,overall,2400,1200,0.45208333333333334,0.06,-0.07957569763909966
frozen-base,frozen,0,0,shuffled_image,color,400,200,0.455,0.095,-0.010624995529651642
frozen-base,frozen,0,0,shuffled_image,coordinate,400,200,0.4875,0.0,0.0024079552292823794
frozen-base,frozen,0,0,shuffled_image,count,400,200,0.435,0.06,-0.009843750447034836
frozen-base,frozen,0,0,shuffled_image,ocr,400,200,0.485,0.05,0.023613779158819286
frozen-base,frozen,0,0,shuffled_image,shape,400,200,0.475,0.155,-0.368593763820827
frozen-base,frozen,0,0,shuffled_image,spatial,400,200,0.375,0.0,-0.11441341042518616
lora-step50,lora,50,1200,vision,overall,2400,1200,0.6079166666666667,0.24333333333333335,1.1666474493708727
lora-step50,lora,50,1200,vision,color,400,200,0.675,0.35,0.8373438060283661
lora-step50,lora,50,1200,vision,coordinate,400,200,0.5225,0.045,0.07506314933300018
lora-step50,lora,50,1200,vision,count,400,200,0.4225,0.01,0.012187501639127732
lora-step50,lora,50,1200,vision,ocr,400,200,0.5775,0.155,0.5446675165040152
lora-step50,lora,50,1200,vision,shape,400,200,0.95,0.9,5.34898431985639
lora-step50,lora,50,1200,vision,spatial,400,200,0.5,0.0,0.18163840286433697
lora-step50,lora,50,1200,paired_counterfactual_image,overall,2400,1200,0.3566666666666667,0.0225,-1.1666474493708727
lora-step50,lora,50,1200,paired_counterfactual_image,color,400,200,0.3,0.0,-0.8373438060283661
lora-step50,lora,50,1200,paired_counterfactual_image,coordinate,400,200,0.465,0.0,-0.07506314933300018
lora-step50,lora,50,1200,paired_counterfactual_image,count,400,200,0.5275,0.135,-0.012187501639127732
lora-step50,lora,50,1200,paired_counterfactual_image,ocr,400,200,0.4225,0.0,-0.5446675165040152
lora-step50,lora,50,1200,paired_counterfactual_image,shape,400,200,0.05,0.0,-5.34898431985639
lora-step50,lora,50,1200,paired_counterfactual_image,spatial,400,200,0.375,0.0,-0.18163840286433697
lora-step50,lora,50,1200,shuffled_image,overall,2400,1200,0.4845833333333333,0.0675,-0.10031238880987087
lora-step50,lora,50,1200,shuffled_image,color,400,200,0.475,0.095,-0.0007812410593032836
lora-step50,lora,50,1200,shuffled_image,coordinate,400,200,0.4925,0.0,0.0010434266924858092
lora-step50,lora,50,1200,shuffled_image,count,400,200,0.4625,0.04,-0.01406250037252903
lora-step50,lora,50,1200,shuffled_image,ocr,400,200,0.4975,0.06,0.01929341226532346
lora-step50,lora,50,1200,shuffled_image,shape,400,200,0.48,0.21,-0.4762499914877117
lora-step50,lora,50,1200,shuffled_image,spatial,400,200,0.5,0.0,-0.1311174388974905
projector-step50,projector,50,1200,vision,overall,2400,1200,0.7520833333333333,0.5116666666666667,1.7913725143226968
projector-step50,projector,50,1200,vision,color,400,200,0.8175,0.635,2.14906249884516
projector-step50,projector,50,1200,vision,coordinate,400,200,0.7075,0.415,0.6878134559839963
projector-step50,projector,50,1200,vision,count,400,200,0.67,0.38,0.3317187450826168
projector-step50,projector,50,1200,vision,ocr,400,200,0.575,0.155,0.5105445665291378
projector-step50,projector,50,1200,vision,shape,400,200,0.8675,0.735,6.109453103743144
projector-step50,projector,50,1200,vision,spatial,400,200,0.875,0.75,0.9596427157521248
