family,arm,modality,metric,late_state,early_state,condition,task,denominator,sum_a,sum_b,mean_a,mean_b,mean_gap,a_only_better,b_only_better,equal,ci95_low,ci95_high,bootstrap_samples,seed
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,paired_counterfactual_image,overall,1200,43.0,27.0,0.035833333333333335,0.0225,0.013333333333333334,16,0,1184,0.0075,0.020833333333333332,2000,20260821
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,paired_counterfactual_image,overall,1200,467.5,428.0,0.38958333333333334,0.3566666666666667,0.032916666666666664,160,81,959,0.020833333333333332,0.04583333333333333,2000,20260822
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,paired_counterfactual_image,overall,1200,-1654.1080628276227,-1399.9769392450473,-1.3784233856896855,-1.1666474493708727,-0.21177593631881275,405,721,74,-0.2413018167285648,-0.18285831499806354,2000,20260823
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,paired_counterfactual_image,color,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260824
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,paired_counterfactual_image,color,200,61.5,60.0,0.3075,0.3,0.0075,41,38,121,-0.035,0.0525,2000,20260825
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,paired_counterfactual_image,color,200,-201.18749549984932,-167.46876120567322,-1.0059374774992467,-0.8373438060283661,-0.1685936714708805,39,148,13,-0.2129686667025089,-0.12749993726611136,2000,20260826
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,paired_counterfactual_image,coordinate,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260827
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,paired_counterfactual_image,coordinate,200,90.5,93.0,0.4525,0.465,-0.0125,9,14,177,-0.0375,0.01,2000,20260828
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,paired_counterfactual_image,coordinate,200,-20.149036824703217,-15.012629866600037,-0.10074518412351609,-0.07506314933300018,-0.0256820347905159,109,84,7,-0.03642391741275788,-0.01523882955312729,2000,20260829
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,paired_counterfactual_image,count,200,43.0,27.0,0.215,0.135,0.08,16,0,184,0.045,0.115,2000,20260830
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,paired_counterfactual_image,count,200,121.5,105.5,0.6075,0.5275,0.08,32,0,168,0.055,0.105,2000,20260831
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,paired_counterfactual_image,count,200,37.12500040233135,-2.4375003278255463,0.18562500201165677,-0.012187501639127732,0.19781250365078448,124,72,4,0.13281250208616258,0.26453125432133673,2000,20260832
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,paired_counterfactual_image,ocr,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260833
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,paired_counterfactual_image,ocr,200,82.0,84.5,0.41,0.4225,-0.0125,4,9,187,-0.03,0.005,2000,20260834
late_minus_early_cross_run,lora,preference,mean_margin,lora-step100,lora-step50,paired_counterfactual_image,ocr,200,-120.54349749315354,-108.93350330080305,-0.6027174874657677,-0.5446675165040152,-0.058049970961752406,69,131,0,-0.07735779513631547,-0.04059050824528649,2000,20260835
late_minus_early_cross_run,lora,preference,paired_preference,lora-step100,lora-step50,paired_counterfactual_image,shape,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260836
late_minus_early_cross_run,lora,preference,sample_preference,lora-step100,lora-step50,paired_counterfactual_image,shape,200,12.0,10.0,0.06,0.05,0.01,24,20,156,-0.0225,0.0425,2000,20260837
