family,modality,metric,state_a,condition_a,state_b,condition_b,task,denominator,sum_a,sum_b,mean_a,mean_b,mean_gap,a_only_better,b_only_better,equal,ci95_low,ci95_high,bootstrap_samples,seed
endpoint_minus_frozen,preference,paired_preference,lora-step25,vision,frozen-base,vision,overall,300,63.0,66.0,0.21,0.22,-0.01,21,24,255,-0.05333333333333334,0.03333333333333333,2000,20260819
endpoint_minus_frozen,preference,sample_preference,lora-step25,vision,frozen-base,vision,overall,300,179.0,182.0,0.5966666666666667,0.6066666666666667,-0.01,22,28,250,-0.035,0.013333333333333334,2000,20260820
endpoint_minus_frozen,preference,mean_margin,lora-step25,vision,frozen-base,vision,overall,300,305.0998607689249,292.0251442624345,1.0169995358964163,0.9734171475414483,0.04358238835496799,192,92,16,0.025217386339983314,0.06249525125531688,2000,20260821
endpoint_minus_frozen,preference,paired_preference,lora-step25,vision,frozen-base,vision,color,50,13.0,11.0,0.26,0.22,0.04,6,4,40,-0.08,0.18,2000,20260822
endpoint_minus_frozen,preference,sample_preference,lora-step25,vision,frozen-base,vision,color,50,31.5,30.5,0.63,0.61,0.02,6,4,40,-0.04,0.08,2000,20260823
endpoint_minus_frozen,preference,mean_margin,lora-step25,vision,frozen-base,vision,color,50,35.531248807907104,30.125000536441803,0.7106249761581421,0.6025000107288361,0.10812496542930602,43,1,6,0.08124999046325683,0.13624995231628417,2000,20260824
endpoint_minus_frozen,preference,paired_preference,lora-step25,vision,frozen-base,vision,coordinate,50,1.0,1.0,0.02,0.02,0.0,0,0,50,0.0,0.0,2000,20260825
endpoint_minus_frozen,preference,sample_preference,lora-step25,vision,frozen-base,vision,coordinate,50,25.5,25.5,0.51,0.51,0.0,0,0,50,0.0,0.0,2000,20260826
endpoint_minus_frozen,preference,mean_margin,lora-step25,vision,frozen-base,vision,coordinate,50,2.598874509334564,3.2378735542297363,0.05197749018669128,0.06475747108459473,-0.012779980897903442,19,30,1,-0.019469376802444458,-0.006466618776321411,2000,20260827
endpoint_minus_frozen,preference,paired_preference,lora-step25,vision,frozen-base,vision,count,50,1.0,8.0,0.02,0.16,-0.14,0,7,43,-0.24,-0.06,2000,20260828
endpoint_minus_frozen,preference,sample_preference,lora-step25,vision,frozen-base,vision,count,50,23.0,28.0,0.46,0.56,-0.1,1,11,38,-0.16,-0.04,2000,20260829
endpoint_minus_frozen,preference,mean_margin,lora-step25,vision,frozen-base,vision,count,50,1.7499995827674866,2.2187501192092896,0.034999991655349734,0.04437500238418579,-0.009375010728836059,17,25,8,-0.023750017285346984,0.0037499946355819703,2000,20260830
endpoint_minus_frozen,preference,paired_preference,lora-step25,vision,frozen-base,vision,ocr,50,8.0,5.0,0.16,0.1,0.06,3,0,47,0.0,0.14,2000,20260831
