family,modality,metric,state_a,condition_a,state_b,condition_b,task,denominator,sum_a,sum_b,mean_a,mean_b,mean_gap,a_only_better,b_only_better,equal,ci95_low,ci95_high,bootstrap_samples,seed
endpoint_minus_frozen,preference,paired_preference,lora-step25,vision,frozen-base,vision,overall,300,63.0,66.0,0.21,0.22,-0.01,21,24,255,-0.056666666666666664,0.03333333333333333,2000,20260820
endpoint_minus_frozen,preference,sample_preference,lora-step25,vision,frozen-base,vision,overall,300,179.0,182.0,0.5966666666666667,0.6066666666666667,-0.01,22,28,250,-0.03166666666666667,0.015,2000,20260821
endpoint_minus_frozen,preference,mean_margin,lora-step25,vision,frozen-base,vision,overall,300,305.0998607689249,292.0251442624345,1.0169995358964163,0.9734171475414483,0.04358238835496799,192,92,16,0.024898474290966997,0.06199830101448155,2000,20260822
endpoint_minus_frozen,preference,paired_preference,lora-step25,vision,frozen-base,vision,color,50,13.0,11.0,0.26,0.22,0.04,6,4,40,-0.08,0.16,2000,20260823
endpoint_minus_frozen,preference,sample_preference,lora-step25,vision,frozen-base,vision,color,50,31.5,30.5,0.63,0.61,0.02,6,4,40,-0.04,0.08,2000,20260824
endpoint_minus_frozen,preference,mean_margin,lora-step25,vision,frozen-base,vision,color,50,35.531248807907104,30.125000536441803,0.7106249761581421,0.6025000107288361,0.10812496542930602,43,1,6,0.08187496185302734,0.13624994993209838,2000,20260825
endpoint_minus_frozen,preference,paired_preference,lora-step25,vision,frozen-base,vision,coordinate,50,1.0,1.0,0.02,0.02,0.0,0,0,50,0.0,0.0,2000,20260826
endpoint_minus_frozen,preference,sample_preference,lora-step25,vision,frozen-base,vision,coordinate,50,25.5,25.5,0.51,0.51,0.0,0,0,50,0.0,0.0,2000,20260827
endpoint_minus_frozen,preference,mean_margin,lora-step25,vision,frozen-base,vision,coordinate,50,2.598874509334564,3.2378735542297363,0.05197749018669128,0.06475747108459473,-0.012779980897903442,19,30,1,-0.019442745447158814,-0.0066635823249816895,2000,20260828
endpoint_minus_frozen,preference,paired_preference,lora-step25,vision,frozen-base,vision,count,50,1.0,8.0,0.02,0.16,-0.14,0,7,43,-0.24,-0.06,2000,20260829
endpoint_minus_frozen,preference,sample_preference,lora-step25,vision,frozen-base,vision,count,50,23.0,28.0,0.46,0.56,-0.1,1,11,38,-0.16,-0.04,2000,20260830
endpoint_minus_frozen,preference,mean_margin,lora-step25,vision,frozen-base,vision,count,50,1.7499995827674866,2.2187501192092896,0.034999991655349734,0.04437500238418579,-0.009375010728836059,17,25,8,-0.023750008940696718,0.004374988675117493,2000,20260831
endpoint_minus_frozen,preference,paired_preference,lora-step25,vision,frozen-base,vision,ocr,50,8.0,5.0,0.16,0.1,0.06,3,0,47,0.0,0.14,2000,20260832
endpoint_minus_frozen,preference,sample_preference,lora-step25,vision,frozen-base,vision,ocr,50,29.0,27.5,0.58,0.55,0.03,3,0,47,0.0,0.07,2000,20260833
endpoint_minus_frozen,preference,mean_margin,lora-step25,vision,frozen-base,vision,ocr,50,28.169230042185102,24.095561588378178,0.563384600843702,0.48191123176756356,0.08147336907613849,35,14,1,0.04387181107203166,0.1233302489916484,2000,20260834
endpoint_minus_frozen,preference,paired_preference,lora-step25,vision,frozen-base,vision,shape,50,40.0,28.0,0.8,0.56,0.24,12,0,38,0.12,0.36,2000,20260835
endpoint_minus_frozen,preference,sample_preference,lora-step25,vision,frozen-base,vision,shape,50,45.0,39.0,0.9,0.78,0.12,12,0,38,0.06,0.18,2000,20260836
endpoint_minus_frozen,preference,mean_margin,lora-step25,vision,frozen-base,vision,shape,50,227.06250116042793,225.34375235065818,4.541250023208558,4.506875047013164,0.03437497619539499,28,22,0,-0.05437502462416887,0.12437495488673449,2000,20260837
endpoint_minus_frozen,preference,paired_preference,lora-step25,vision,frozen-base,vision,spatial,50,0.0,13.0,0.0,0.26,-0.26,0,13,37,-0.38,-0.14,2000,20260838
endpoint_minus_frozen,preference,sample_preference,lora-step25,vision,frozen-base,vision,spatial,50,25.0,31.5,0.5,0.63,-0.13,0,13,37,-0.19,-0.07,2000,20260839
endpoint_minus_frozen,preference,mean_margin,lora-step25,vision,frozen-base,vision,spatial,50,9.988006666302681,7.004206113517284,0.1997601333260536,0.1400841222703457,0.05967601105570793,50,0,0,0.046813351064920426,0.07253867030143737,2000,20260840
endpoint_minus_frozen,preference,paired_preference,lora-step50,vision,frozen-base,vision,overall,300,70.0,66.0,0.23333333333333334,0.22,0.013333333333333334,30,26,244,-0.03333333333333333,0.06,2000,20260841
endpoint_minus_frozen,preference,sample_preference,lora-step50,vision,frozen-base,vision,overall,300,179.5,182.0,0.5983333333333334,0.6066666666666667,-0.008333333333333333,31,36,233,-0.03333333333333333,0.018333333333333333,2000,20260842
endpoint_minus_frozen,preference,mean_margin,lora-step50,vision,frozen-base,vision,overall,300,356.3347453342307,292.0251442624345,1.1877824844474356,0.9734171475414483,0.2143653369059875,235,55,10,0.1725882778232178,0.2614316372079036,2000,20260843
endpoint_minus_frozen,preference,paired_preference,lora-step50,vision,frozen-base,vision,color,50,14.0,11.0,0.28,0.22,0.06,7,4,39,-0.06,0.18,2000,20260844
endpoint_minus_frozen,preference,sample_preference,lora-step50,vision,frozen-base,vision,color,50,32.0,30.5,0.64,0.61,0.03,7,4,39,-0.04,0.1,2000,20260845
endpoint_minus_frozen,preference,mean_margin,lora-step50,vision,frozen-base,vision,color,50,39.96875214576721,30.125000536441803,0.7993750429153442,0.6025000107288361,0.19687503218650818,43,3,4,0.15625006198883057,0.23625001192092895,2000,20260846
endpoint_minus_frozen,preference,paired_preference,lora-step50,vision,frozen-base,vision,coordinate,50,2.0,1.0,0.04,0.02,0.02,2,1,47,-0.04,0.08,2000,20260847
endpoint_minus_frozen,preference,sample_preference,lora-step50,vision,frozen-base,vision,coordinate,50,26.0,25.5,0.52,0.51,0.01,2,1,47,-0.02,0.05,2000,20260848
endpoint_minus_frozen,preference,mean_margin,lora-step50,vision,frozen-base,vision,coordinate,50,3.6476290822029114,3.2378735542297363,0.07295258164405823,0.06475747108459473,0.008195110559463502,30,17,3,-0.004322085380554199,0.021823409795761108,2000,20260849
