state,kind,adaptation_step,adaptation_examples_seen,condition,task,records,pairs,sample_preference_accuracy,paired_preference_accuracy,mean_correct_margin
frozen-base,frozen,0,0,vision,overall,600,300,0.6066666666666667,0.22,0.9734171475414483
frozen-base,frozen,0,0,vision,color,100,50,0.61,0.22,0.6025000107288361
frozen-base,frozen,0,0,vision,coordinate,100,50,0.51,0.02,0.06475747108459473
frozen-base,frozen,0,0,vision,count,100,50,0.56,0.16,0.04437500238418579
frozen-base,frozen,0,0,vision,ocr,100,50,0.55,0.1,0.48191123176756356
frozen-base,frozen,0,0,vision,shape,100,50,0.78,0.56,4.506875047013164
frozen-base,frozen,0,0,vision,spatial,100,50,0.63,0.26,0.1400841222703457
frozen-base,frozen,0,0,paired_counterfactual_image,overall,600,300,0.37666666666666665,0.0,-0.9734171475414483
frozen-base,frozen,0,0,paired_counterfactual_image,color,100,50,0.39,0.0,-0.6025000107288361
frozen-base,frozen,0,0,paired_counterfactual_image,coordinate,100,50,0.49,0.0,-0.06475747108459473
frozen-base,frozen,0,0,paired_counterfactual_image,count,100,50,0.37,0.0,-0.04437500238418579
frozen-base,frozen,0,0,paired_counterfactual_image,ocr,100,50,0.45,0.0,-0.48191123176756356
frozen-base,frozen,0,0,paired_counterfactual_image,shape,100,50,0.19,0.0,-4.506875047013164
frozen-base,frozen,0,0,paired_counterfactual_image,spatial,100,50,0.37,0.0,-0.1400841222703457
frozen-base,frozen,0,0,shuffled_image,overall,600,300,0.4583333333333333,0.043333333333333335,-0.02903409248791517
frozen-base,frozen,0,0,shuffled_image,color,100,50,0.44,0.08,-0.07000000834465027
frozen-base,frozen,0,0,shuffled_image,coordinate,100,50,0.5,0.0,0.0033815908432006836
frozen-base,frozen,0,0,shuffled_image,count,100,50,0.44,0.04,0.00125
frozen-base,frozen,0,0,shuffled_image,ocr,100,50,0.48,0.0,-0.049624264535449825
frozen-base,frozen,0,0,shuffled_image,shape,100,50,0.52,0.14,0.051875000819563866
frozen-base,frozen,0,0,shuffled_image,spatial,100,50,0.37,0.0,-0.11108687371015549
lora-step25,lora,25,600,vision,overall,600,300,0.5966666666666667,0.21,1.0169995358964163
lora-step25,lora,25,600,vision,color,100,50,0.63,0.26,0.7106249761581421
lora-step25,lora,25,600,vision,coordinate,100,50,0.51,0.02,0.05197749018669128
lora-step25,lora,25,600,vision,count,100,50,0.46,0.02,0.034999991655349734
lora-step25,lora,25,600,vision,ocr,100,50,0.58,0.16,0.563384600843702
lora-step25,lora,25,600,vision,shape,100,50,0.9,0.8,4.541250023208558
lora-step25,lora,25,600,vision,spatial,100,50,0.5,0.0,0.1997601333260536
lora-step25,lora,25,600,paired_counterfactual_image,overall,600,300,0.37,0.0,-1.0169995358964163
lora-step25,lora,25,600,paired_counterfactual_image,color,100,50,0.32,0.0,-0.7106249761581421
lora-step25,lora,25,600,paired_counterfactual_image,coordinate,100,50,0.49,0.0,-0.05197749018669128
lora-step25,lora,25,600,paired_counterfactual_image,count,100,50,0.41,0.0,-0.034999991655349734
lora-step25,lora,25,600,paired_counterfactual_image,ocr,100,50,0.42,0.0,-0.563384600843702
lora-step25,lora,25,600,paired_counterfactual_image,shape,100,50,0.08,0.0,-4.541250023208558
lora-step25,lora,25,600,paired_counterfactual_image,spatial,100,50,0.5,0.0,-0.1997601333260536
lora-step25,lora,25,600,shuffled_image,overall,600,300,0.5016666666666667,0.07,-0.028445184648805667
lora-step25,lora,25,600,shuffled_image,color,100,50,0.47,0.12,-0.05625000834465027
lora-step25,lora,25,600,shuffled_image,coordinate,100,50,0.5,0.0,-0.0013578057289123536
lora-step25,lora,25,600,shuffled_image,count,100,50,0.48,0.0,-0.0031249994039535523
lora-step25,lora,25,600,shuffled_image,ocr,100,50,0.49,0.04,-0.056500448522113625
lora-step25,lora,25,600,shuffled_image,shape,100,50,0.57,0.26,0.09562499027699232
lora-step25,lora,25,600,shuffled_image,spatial,100,50,0.5,0.0,-0.14906283617019653
lora-step50,lora,50,1200,vision,overall,600,300,0.5983333333333334,0.23333333333333334,1.1877824844474356
lora-step50,lora,50,1200,vision,color,100,50,0.64,0.28,0.7993750429153442
lora-step50,lora,50,1200,vision,coordinate,100,50,0.52,0.04,0.07295258164405823
lora-step50,lora,50,1200,vision,count,100,50,0.39,0.0,0.028125003576278687
lora-step50,lora,50,1200,vision,ocr,100,50,0.57,0.14,0.63869448918388
lora-step50,lora,50,1200,vision,shape,100,50,0.97,0.94,5.4056249244511125
lora-step50,lora,50,1200,vision,spatial,100,50,0.5,0.0,0.18192286491394044
lora-step50,lora,50,1200,paired_counterfactual_image,overall,600,300,0.36833333333333335,0.03,-1.1877824844474356
lora-step50,lora,50,1200,paired_counterfactual_image,color,100,50,0.34,0.0,-0.7993750429153442
lora-step50,lora,50,1200,paired_counterfactual_image,coordinate,100,50,0.47,0.0,-0.07295258164405823
lora-step50,lora,50,1200,paired_counterfactual_image,count,100,50,0.57,0.18,-0.028125003576278687
lora-step50,lora,50,1200,paired_counterfactual_image,ocr,100,50,0.43,0.0,-0.63869448918388
lora-step50,lora,50,1200,paired_counterfactual_image,shape,100,50,0.03,0.0,-5.4056249244511125
lora-step50,lora,50,1200,paired_counterfactual_image,spatial,100,50,0.37,0.0,-0.18192286491394044
lora-step50,lora,50,1200,shuffled_image,overall,600,300,0.49833333333333335,0.06666666666666667,-0.03937746143459329
lora-step50,lora,50,1200,shuffled_image,color,100,50,0.47,0.1,-0.07937499046325684
lora-step50,lora,50,1200,shuffled_image,coordinate,100,50,0.5,0.0,-0.0052545773983001705
lora-step50,lora,50,1200,shuffled_image,count,100,50,0.47,0.0,-0.008749990165233612
lora-step50,lora,50,1200,shuffled_image,ocr,100,50,0.52,0.08,-0.07352500341052107
lora-step50,lora,50,1200,shuffled_image,shape,100,50,0.53,0.22,0.06031253203749656
lora-step50,lora,50,1200,shuffled_image,spatial,100,50,0.5,0.0,-0.1296727392077446
lora-step100,lora,100,2400,vision,overall,600,300,0.5966666666666667,0.24333333333333335,1.40793340063101
lora-step100,lora,100,2400,vision,color,100,50,0.63,0.26,0.9787499630451202
lora-step100,lora,100,2400,vision,coordinate,100,50,0.55,0.1,0.10249257206916809
lora-step100,lora,100,2400,vision,count,100,50,0.35,0.0,-0.14875000298023225
lora-step100,lora,100,2400,vision,ocr,100,50,0.6,0.2,0.7158992719877334
lora-step100,lora,100,2400,vision,shape,100,50,0.95,0.9,6.430937497727573
lora-step100,lora,100,2400,vision,spatial,100,50,0.5,0.0,0.368271101936698
lora-step100,lora,100,2400,paired_counterfactual_image,overall,600,300,0.39666666666666667,0.05,-1.40793340063101
lora-step100,lora,100,2400,paired_counterfactual_image,color,100,50,0.33,0.0,-0.9787499630451202
lora-step100,lora,100,2400,paired_counterfactual_image,coordinate,100,50,0.45,0.0,-0.10249257206916809
lora-step100,lora,100,2400,paired_counterfactual_image,count,100,50,0.65,0.3,0.14875000298023225
lora-step100,lora,100,2400,paired_counterfactual_image,ocr,100,50,0.4,0.0,-0.7158992719877334
lora-step100,lora,100,2400,paired_counterfactual_image,shape,100,50,0.05,0.0,-6.430937497727573
lora-step100,lora,100,2400,paired_counterfactual_image,spatial,100,50,0.5,0.0,-0.368271101936698
lora-step100,lora,100,2400,shuffled_image,overall,600,300,0.48833333333333334,0.06666666666666667,-0.08160844715122902
lora-step100,lora,100,2400,shuffled_image,color,100,50,0.45,0.08,-0.0981250023841858
lora-step100,lora,100,2400,shuffled_image,coordinate,100,50,0.51,0.02,-0.015186676979064942
lora-step100,lora,100,2400,shuffled_image,count,100,50,0.47,0.06,-0.0606249988079071
lora-step100,lora,100,2400,shuffled_image,ocr,100,50,0.5,0.06,-0.06428541778382803
lora-step100,lora,100,2400,shuffled_image,shape,100,50,0.5,0.18,0.02375002298504114
lora-step100,lora,100,2400,shuffled_image,spatial,100,50,0.5,0.0,-0.27517860993742943
projector-step25,projector,25,600,vision,overall,600,300,0.5916666666666667,0.20333333333333334,0.8493189524204012
projector-step25,projector,25,600,vision,color,100,50,0.59,0.18,0.7562499940395355
projector-step25,projector,25,600,vision,coordinate,100,50,0.54,0.08,0.08846645951271057
projector-step25,projector,25,600,vision,count,100,50,0.61,0.32,0.10437500596046448
projector-step25,projector,25,600,vision,ocr,100,50,0.54,0.1,0.42897867595581785
projector-step25,projector,25,600,vision,shape,100,50,0.77,0.54,3.561875
projector-step25,projector,25,600,vision,spatial,100,50,0.5,0.0,0.1559685790538788
projector-step25,projector,25,600,paired_counterfactual_image,overall,600,300,0.38666666666666666,0.013333333333333334,-0.8493189524204012
projector-step25,projector,25,600,paired_counterfactual_image,color,100,50,0.38,0.0,-0.7562499940395355
projector-step25,projector,25,600,paired_counterfactual_image,coordinate,100,50,0.45,0.0,-0.08846645951271057
projector-step25,projector,25,600,paired_counterfactual_image,count,100,50,0.31,0.08,-0.10437500596046448
projector-step25,projector,25,600,paired_counterfactual_image,ocr,100,50,0.45,0.0,-0.42897867595581785
projector-step25,projector,25,600,paired_counterfactual_image,shape,100,50,0.23,0.0,-3.561875
projector-step25,projector,25,600,paired_counterfactual_image,spatial,100,50,0.5,0.0,-0.1559685790538788
projector-step25,projector,25,600,shuffled_image,overall,600,300,0.49166666666666664,0.07333333333333333,0.042117251116368506
projector-step25,projector,25,600,shuffled_image,color,100,50,0.45,0.06,-0.034375
projector-step25,projector,25,600,shuffled_image,coordinate,100,50,0.5,0.0,0.0011433398723602296
projector-step25,projector,25,600,shuffled_image,count,100,50,0.44,0.16,-0.004375004172325134
projector-step25,projector,25,600,shuffled_image,ocr,100,50,0.52,0.04,-0.004821018377939863
projector-step25,projector,25,600,shuffled_image,shape,100,50,0.54,0.18,0.37687500908970833
projector-step25,projector,25,600,shuffled_image,spatial,100,50,0.5,0.0,-0.08174381971359253
projector-step50,projector,50,1200,vision,overall,600,300,0.7583333333333333,0.5266666666666666,1.8123680175723516
projector-step50,projector,50,1200,vision,color,100,50,0.79,0.58,2.056249995082617
projector-step50,projector,50,1200,vision,coordinate,100,50,0.72,0.44,0.711889134645462
projector-step50,projector,50,1200,vision,count,100,50,0.68,0.42,0.3656249940395355
projector-step50,projector,50,1200,vision,ocr,100,50,0.59,0.18,0.6160619808378673
projector-step50,projector,50,1200,vision,shape,100,50,0.9,0.8,6.159374992365483
projector-step50,projector,50,1200,vision,spatial,100,50,0.87,0.74,0.9650070084631444
projector-step50,projector,50,1200,paired_counterfactual_image,overall,600,300,0.23,0.01,-1.8123680175723516
projector-step50,projector,50,1200,paired_counterfactual_image,color,100,50,0.19,0.0,-2.056249995082617
projector-step50,projector,50,1200,paired_counterfactual_image,coordinate,100,50,0.28,0.0,-0.711889134645462
projector-step50,projector,50,1200,paired_counterfactual_image,count,100,50,0.28,0.06,-0.3656249940395355
projector-step50,projector,50,1200,paired_counterfactual_image,ocr,100,50,0.41,0.0,-0.6160619808378673
projector-step50,projector,50,1200,paired_counterfactual_image,shape,100,50,0.09,0.0,-6.159374992365483
projector-step50,projector,50,1200,paired_counterfactual_image,spatial,100,50,0.13,0.0,-0.9650070084631444
projector-step50,projector,50,1200,shuffled_image,overall,600,300,0.4483333333333333,0.12666666666666668,-0.08981311590036391
projector-step50,projector,50,1200,shuffled_image,color,100,50,0.46,0.16,-0.12437498331069946
projector-step50,projector,50,1200,shuffled_image,coordinate,100,50,0.56,0.16,0.05478391379117966
projector-step50,projector,50,1200,shuffled_image,count,100,50,0.46,0.12,0.0012499994039535522
projector-step50,projector,50,1200,shuffled_image,ocr,100,50,0.53,0.1,-0.020128699325379844
projector-step50,projector,50,1200,shuffled_image,shape,100,50,0.55,0.22,0.26374995325924827
projector-step50,projector,50,1200,shuffled_image,spatial,100,50,0.13,0.0,-0.7141588792204857
projector-step100,projector,100,2400,vision,overall,600,300,0.75,0.5166666666666667,2.5322879816515433
projector-step100,projector,100,2400,vision,color,100,50,0.87,0.74,3.600000024421606
projector-step100,projector,100,2400,vision,coordinate,100,50,0.77,0.54,1.5377499413490296
projector-step100,projector,100,2400,vision,count,100,50,0.51,0.12,0.35125000417232516
projector-step100,projector,100,2400,vision,ocr,100,50,0.61,0.22,0.7732174833842685
projector-step100,projector,100,2400,vision,shape,100,50,0.74,0.48,4.946562510877848
projector-step100,projector,100,2400,vision,spatial,100,50,1.0,1.0,3.984947925704182
projector-step100,projector,100,2400,paired_counterfactual_image,overall,600,300,0.245,0.016666666666666666,-2.5322879816515433
projector-step100,projector,100,2400,paired_counterfactual_image,color,100,50,0.11,0.0,-3.600000024421606
projector-step100,projector,100,2400,paired_counterfactual_image,coordinate,100,50,0.23,0.0,-1.5377499413490296
projector-step100,projector,100,2400,paired_counterfactual_image,count,100,50,0.48,0.1,-0.35125000417232516
projector-step100,projector,100,2400,paired_counterfactual_image,ocr,100,50,0.39,0.0,-0.7732174833842685
projector-step100,projector,100,2400,paired_counterfactual_image,shape,100,50,0.26,0.0,-4.946562510877848
projector-step100,projector,100,2400,paired_counterfactual_image,spatial,100,50,0.0,0.0,-3.984947925704182
projector-step100,projector,100,2400,shuffled_image,overall,600,300,0.44166666666666665,0.14666666666666667,-0.30473046509010276
projector-step100,projector,100,2400,shuffled_image,color,100,50,0.51,0.28,0.009999985098838806
projector-step100,projector,100,2400,shuffled_image,coordinate,100,50,0.52,0.16,0.10555765390396118
projector-step100,projector,100,2400,shuffled_image,count,100,50,0.45,0.16,-0.039999998658895496
projector-step100,projector,100,2400,shuffled_image,ocr,100,50,0.52,0.12,-0.01788814179102578
projector-step100,projector,100,2400,shuffled_image,shape,100,50,0.52,0.16,0.41281252628192305
projector-step100,projector,100,2400,shuffled_image,spatial,100,50,0.13,0.0,-2.2988648153754183
