family,modality,metric,checkpoint_a,condition_a,checkpoint_b,condition_b,task,denominator,sum_a,sum_b,mean_a,mean_b,mean_gap,a_only_better,b_only_better,equal,ci95_low,ci95_high,bootstrap_samples,seed
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,background_matched_aux,overall,1200,26.0,27.0,0.021666666666666667,0.0225,-0.0008333333333333334,5,6,1189,-0.005833333333333334,0.004166666666666667,2000,20260816
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,paired_counterfactual_image,overall,1200,26.0,53.0,0.021666666666666667,0.04416666666666667,-0.0225,26,53,1121,-0.03666666666666667,-0.0075,2000,20260817
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,shuffled_image,overall,1200,26.0,3.0,0.021666666666666667,0.0025,0.019166666666666665,23,0,1177,0.011666666666666667,0.0275,2000,20260818
vision_minus_condition,preference,sample_preference,step-001500,vision,step-001500,background_matched_aux,overall,1200,584.5,612.0,0.4870833333333333,0.51,-0.022916666666666665,7,62,1131,-0.03,-0.016666666666666666,2000,20260819
vision_minus_condition,preference,sample_preference,step-001500,vision,step-001500,paired_counterfactual_image,overall,1200,584.5,611.5,0.4870833333333333,0.5095833333333334,-0.0225,27,54,1119,-0.03666666666666667,-0.008333333333333333,2000,20260820
vision_minus_condition,preference,sample_preference,step-001500,vision,step-001500,shuffled_image,overall,1200,584.5,592.0,0.4870833333333333,0.49333333333333335,-0.00625,32,57,1111,-0.015416666666666667,0.002916666666666667,2000,20260821
vision_minus_condition,preference,mean_margin,step-001500,vision,step-001500,background_matched_aux,overall,1200,21.224753890151074,42.956264558860234,0.017687294908459227,0.03579688713238353,-0.018109592223924303,353,702,145,-0.020437896131404808,-0.015624734658097458,2000,20260822
vision_minus_condition,preference,mean_margin,step-001500,vision,step-001500,paired_counterfactual_image,overall,1200,21.224753890151074,-21.224753890151074,0.017687294908459227,-0.017687294908459227,0.035374589816918454,600,389,211,0.024912431242683573,0.04682023461328612,2000,20260823
vision_minus_condition,preference,mean_margin,step-001500,vision,step-001500,shuffled_image,overall,1200,21.224753890151074,-9.851832545655114,0.017687294908459227,-0.008209860454712595,0.025897155363171824,633,477,90,0.01838721477275803,0.0340755064340811,2000,20260824
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,background_matched_aux,color,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260825
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,paired_counterfactual_image,color,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260826
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,shuffled_image,color,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260827
vision_minus_condition,preference,sample_preference,step-001500,vision,step-001500,background_matched_aux,color,200,98.0,98.5,0.49,0.4925,-0.0025,2,3,195,-0.015,0.0075,2000,20260828
vision_minus_condition,preference,sample_preference,step-001500,vision,step-001500,paired_counterfactual_image,color,200,98.0,98.0,0.49,0.49,0.0,1,1,198,-0.0075,0.0075,2000,20260829
vision_minus_condition,preference,sample_preference,step-001500,vision,step-001500,shuffled_image,color,200,98.0,96.5,0.49,0.4825,0.0075,7,4,189,-0.01,0.025,2000,20260830
vision_minus_condition,preference,mean_margin,step-001500,vision,step-001500,background_matched_aux,color,200,2.593750238418579,4.312500715255737,0.012968751192092896,0.021562503576278688,-0.00859375238418579,59,95,46,-0.014218755066394806,-0.0029687553644180296,2000,20260831
vision_minus_condition,preference,mean_margin,step-001500,vision,step-001500,paired_counterfactual_image,color,200,2.593750238418579,-2.593750238418579,0.012968751192092896,-0.012968751192092896,0.025937502384185792,99,28,73,0.01750000476837158,0.03406250298023224,2000,20260832
vision_minus_condition,preference,mean_margin,step-001500,vision,step-001500,shuffled_image,color,200,2.593750238418579,-0.37499988079071045,0.012968751192092896,-0.0018749994039535523,0.014843750596046448,116,54,30,0.008750001192092896,0.020937501192092894,2000,20260833
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,background_matched_aux,coordinate,200,0.0,6.0,0.0,0.03,-0.03,0,6,194,-0.055,-0.01,2000,20260834
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,paired_counterfactual_image,coordinate,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260835
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,shuffled_image,coordinate,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260836
vision_minus_condition,preference,sample_preference,step-001500,vision,step-001500,background_matched_aux,coordinate,200,100.0,103.0,0.5,0.515,-0.015,0,6,194,-0.0275,-0.005,2000,20260837
vision_minus_condition,preference,sample_preference,step-001500,vision,step-001500,paired_counterfactual_image,coordinate,200,100.0,100.0,0.5,0.5,0.0,0,0,200,0.0,0.0,2000,20260838
vision_minus_condition,preference,sample_preference,step-001500,vision,step-001500,shuffled_image,coordinate,200,100.0,99.0,0.5,0.495,0.005,2,0,198,0.0,0.0125,2000,20260839
vision_minus_condition,preference,mean_margin,step-001500,vision,step-001500,background_matched_aux,coordinate,200,-1.2515151500701904,1.8401508331298828,-0.006257575750350952,0.009200754165649415,-0.015458329916000366,76,117,7,-0.02029358983039856,-0.010641472339630127,2000,20260840
vision_minus_condition,preference,mean_margin,step-001500,vision,step-001500,paired_counterfactual_image,coordinate,200,-1.2515151500701904,1.2515151500701904,-0.006257575750350952,0.006257575750350952,-0.012515151500701904,93,92,15,-0.01974829435348511,-0.005439870357513428,2000,20260841
vision_minus_condition,preference,mean_margin,step-001500,vision,step-001500,shuffled_image,coordinate,200,-1.2515151500701904,0.18758916854858398,-0.006257575750350952,0.00093794584274292,-0.0071955215930938725,90,100,10,-0.012583757638931275,-0.0021943402290344237,2000,20260842
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,background_matched_aux,count,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260843
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,paired_counterfactual_image,count,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260844
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,shuffled_image,count,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260845
vision_minus_condition,preference,sample_preference,step-001500,vision,step-001500,background_matched_aux,count,200,100.0,100.0,0.5,0.5,0.0,0,0,200,0.0,0.0,2000,20260846
vision_minus_condition,preference,sample_preference,step-001500,vision,step-001500,paired_counterfactual_image,count,200,100.0,100.0,0.5,0.5,0.0,0,0,200,0.0,0.0,2000,20260847
vision_minus_condition,preference,sample_preference,step-001500,vision,step-001500,shuffled_image,count,200,100.0,100.0,0.5,0.5,0.0,0,0,200,0.0,0.0,2000,20260848
vision_minus_condition,preference,mean_margin,step-001500,vision,step-001500,background_matched_aux,count,200,1.1562508046627045,0.37499940395355225,0.0057812540233135225,0.0018749970197677612,0.003906257003545761,88,57,55,0.00015625327825546264,0.007656257748603821,2000,20260849
vision_minus_condition,preference,mean_margin,step-001500,vision,step-001500,paired_counterfactual_image,count,200,1.1562508046627045,-1.1562508046627045,0.0057812540233135225,-0.0057812540233135225,0.011562508046627045,85,42,73,0.005937506556510925,0.017187512814998626,2000,20260850
vision_minus_condition,preference,mean_margin,step-001500,vision,step-001500,shuffled_image,count,200,1.1562508046627045,0.4687497019767761,0.0057812540233135225,0.0023437485098838804,0.0034375055134296417,89,65,46,-0.0004687410593032837,0.00734375849366188,2000,20260851
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,background_matched_aux,ocr,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260852
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,paired_counterfactual_image,ocr,200,0.0,3.0,0.0,0.015,-0.015,0,3,197,-0.035,0.0,2000,20260853
vision_minus_condition,preference,paired_preference,step-001500,vision,step-001500,shuffled_image,ocr,200,0.0,0.0,0.0,0.0,0.0,0,0,200,0.0,0.0,2000,20260854
