modality,checkpoint,condition,task,metric,pairs,mean
preference,step-001500,background_matched_aux,overall,paired_preference,1200,0.0225
preference,step-001500,background_matched_aux,overall,sample_preference,1200,0.51
preference,step-001500,background_matched_aux,overall,mean_margin,1200,0.03579688713238353
preference,step-001500,background_matched_aux,color,paired_preference,200,0.0
preference,step-001500,background_matched_aux,color,sample_preference,200,0.4925
preference,step-001500,background_matched_aux,color,mean_margin,200,0.021562503576278688
preference,step-001500,background_matched_aux,coordinate,paired_preference,200,0.03
preference,step-001500,background_matched_aux,coordinate,sample_preference,200,0.515
preference,step-001500,background_matched_aux,coordinate,mean_margin,200,0.009200754165649415
preference,step-001500,background_matched_aux,count,paired_preference,200,0.0
preference,step-001500,background_matched_aux,count,sample_preference,200,0.5
preference,step-001500,background_matched_aux,count,mean_margin,200,0.0018749970197677612
preference,step-001500,background_matched_aux,ocr,paired_preference,200,0.0
preference,step-001500,background_matched_aux,ocr,sample_preference,200,0.5
preference,step-001500,background_matched_aux,ocr,mean_margin,200,0.00398840011869159
preference,step-001500,background_matched_aux,shape,paired_preference,200,0.105
preference,step-001500,background_matched_aux,shape,sample_preference,200,0.5525
preference,step-001500,background_matched_aux,shape,mean_margin,200,0.17140622258186342
preference,step-001500,background_matched_aux,spatial,paired_preference,200,0.0
preference,step-001500,background_matched_aux,spatial,sample_preference,200,0.5
preference,step-001500,background_matched_aux,spatial,mean_margin,200,0.0067484453320503235
preference,step-001500,paired_counterfactual_image,overall,paired_preference,1200,0.04416666666666667
preference,step-001500,paired_counterfactual_image,overall,sample_preference,1200,0.5095833333333334
preference,step-001500,paired_counterfactual_image,overall,mean_margin,1200,-0.017687294908459227
preference,step-001500,paired_counterfactual_image,color,paired_preference,200,0.0
preference,step-001500,paired_counterfactual_image,color,sample_preference,200,0.49
preference,step-001500,paired_counterfactual_image,color,mean_margin,200,-0.012968751192092896
preference,step-001500,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,step-001500,paired_counterfactual_image,coordinate,sample_preference,200,0.5
preference,step-001500,paired_counterfactual_image,coordinate,mean_margin,200,0.006257575750350952
preference,step-001500,paired_counterfactual_image,count,paired_preference,200,0.0
preference,step-001500,paired_counterfactual_image,count,sample_preference,200,0.5
preference,step-001500,paired_counterfactual_image,count,mean_margin,200,-0.0057812540233135225
preference,step-001500,paired_counterfactual_image,ocr,paired_preference,200,0.015
preference,step-001500,paired_counterfactual_image,ocr,sample_preference,200,0.5075
preference,step-001500,paired_counterfactual_image,ocr,mean_margin,200,-0.001912658680053002
preference,step-001500,paired_counterfactual_image,shape,paired_preference,200,0.0
preference,step-001500,paired_counterfactual_image,shape,sample_preference,200,0.435
preference,step-001500,paired_counterfactual_image,shape,mean_margin,200,-0.1329687276482582
preference,step-001500,paired_counterfactual_image,spatial,paired_preference,200,0.25
preference,step-001500,paired_counterfactual_image,spatial,sample_preference,200,0.625
preference,step-001500,paired_counterfactual_image,spatial,mean_margin,200,0.04125004634261131
preference,step-001500,shuffled_image,overall,paired_preference,1200,0.0025
preference,step-001500,shuffled_image,overall,sample_preference,1200,0.49333333333333335
preference,step-001500,shuffled_image,overall,mean_margin,1200,-0.008209860454712595
preference,step-001500,shuffled_image,color,paired_preference,200,0.0
preference,step-001500,shuffled_image,color,sample_preference,200,0.4825
preference,step-001500,shuffled_image,color,mean_margin,200,-0.0018749994039535523
preference,step-001500,shuffled_image,coordinate,paired_preference,200,0.0
preference,step-001500,shuffled_image,coordinate,sample_preference,200,0.495
preference,step-001500,shuffled_image,coordinate,mean_margin,200,0.00093794584274292
preference,step-001500,shuffled_image,count,paired_preference,200,0.0
preference,step-001500,shuffled_image,count,sample_preference,200,0.5
