checkpoint,optimizer_steps,examples_seen,source,records,shuffle_repeats,mean_true_loss,mean_shuffled_loss,mean_delta,shuffle_delta_std
step-001500,1500,12000,overall,32,10,3.9284450449049473,5.014595116861164,1.0861500719562174,0.3699897048949734
step-001500,1500,12000,docvqa_train,9,10,2.944718745019701,3.407591479354435,0.4628727343347338,0.10683563726648512
step-001500,1500,12000,showui_desktop,3,10,1.197600523630778,5.016082843144734,3.8184823195139566,0.4319672077176833
step-001500,1500,12000,textvqa_train,17,10,5.0904137947980095,5.960745362323873,0.8703315675258638,0.6670956139272914
step-001500,1500,12000,train,3,10,3.0259788831075034,4.4726002454757685,1.4466213623682658,0.32464031926977166
balanced-projector-step25,1525,12600,overall,32,10,4.319352146238089,5.32023868560791,1.0008865393698216,0.3570089960629841
balanced-projector-step25,1525,12600,docvqa_train,9,10,3.0592698653539023,3.5229068040847777,0.4636369387308755,0.22219331904458364
balanced-projector-step25,1525,12600,showui_desktop,3,10,1.3219329118728638,5.430350661277771,4.108417749404907,0.4975607749268773
balanced-projector-step25,1525,12600,textvqa_train,17,10,5.724740806747885,6.4247596530353315,0.7000188462874469,0.6225238622601982
balanced-projector-step25,1525,12600,train,3,10,3.1331491470336914,4.343170205752055,1.2100210587183635,0.3561851300193268
balanced-projector-step50,1550,13200,overall,32,10,4.335985645651817,5.339058825746179,1.0030731800943613,0.3265240575243808
balanced-projector-step50,1550,13200,docvqa_train,9,10,3.0822092294692993,3.5948883361286588,0.5126791066593595,0.23786414102003825
balanced-projector-step50,1550,13200,showui_desktop,3,10,1.396452824274699,5.515401510397592,4.118948686122894,0.4905504322602884
balanced-projector-step50,1550,13200,textvqa_train,17,10,5.719161671750686,6.35323915832183,0.6340774865711437,0.5496913149182129
balanced-projector-step50,1550,13200,train,3,10,3.198850234349569,4.6482057253519695,1.449355491002401,0.3506182082791694
balanced-projector-step100,1600,14400,overall,32,10,4.43900103867054,5.512418437749147,1.0734173990786076,0.32551755031295576
balanced-projector-step100,1600,14400,docvqa_train,9,10,3.1153995990753174,3.783576916323768,0.6681773172484503,0.20334311469799266
balanced-projector-step100,1600,14400,showui_desktop,3,10,1.4504117965698242,5.501710013548533,4.051298216978709,0.5067399187075211
balanced-projector-step100,1600,14400,textvqa_train,17,10,5.882388072855332,6.565944180769079,0.6835561079137465,0.5407408118710932
balanced-projector-step100,1600,14400,train,3,10,3.219201405843099,4.739672215779623,1.5204708099365236,0.5170292781960428
