checkpoint,optimizer_steps,examples_seen,condition,task,accuracy_numerator,accuracy_denominator,accuracy,paired_numerator,paired_denominator,paired_accuracy,answer_flip_numerator,answer_flip_denominator,answer_flip_accuracy,prediction_flip_rate
step-001500,1500,12000,vision,overall,81,600,0.135,0,300,0.0,0,300,0.0,0.2733333333333333
step-001500,1500,12000,vision,color,22,100,0.22,0,50,0.0,0,50,0.0,0.4
step-001500,1500,12000,vision,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.52
step-001500,1500,12000,vision,count,11,100,0.11,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,vision,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.5
step-001500,1500,12000,vision,shape,26,100,0.26,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,vision,spatial,22,100,0.22,0,50,0.0,0,50,0.0,0.22
step-001500,1500,12000,blind,overall,0,600,0.0,0,300,0.0,0,300,0.0,0.0
step-001500,1500,12000,blind,color,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,blind,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,blind,count,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,blind,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,blind,shape,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,blind,spatial,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,shuffled_image,overall,88,600,0.14666666666666667,0,300,0.0,0,300,0.0,0.19
step-001500,1500,12000,shuffled_image,color,18,100,0.18,0,50,0.0,0,50,0.0,0.34
step-001500,1500,12000,shuffled_image,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.42
step-001500,1500,12000,shuffled_image,count,11,100,0.11,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,shuffled_image,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.38
step-001500,1500,12000,shuffled_image,shape,26,100,0.26,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,shuffled_image,spatial,33,100,0.33,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,paired_counterfactual_image,overall,81,600,0.135,0,300,0.0,0,300,0.0,0.2733333333333333
step-001500,1500,12000,paired_counterfactual_image,color,22,100,0.22,0,50,0.0,0,50,0.0,0.4
step-001500,1500,12000,paired_counterfactual_image,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.52
step-001500,1500,12000,paired_counterfactual_image,count,11,100,0.11,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,paired_counterfactual_image,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.5
step-001500,1500,12000,paired_counterfactual_image,shape,26,100,0.26,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,paired_counterfactual_image,spatial,22,100,0.22,0,50,0.0,0,50,0.0,0.22
step-001500,1500,12000,background_matched_aux,overall,88,600,0.14666666666666667,0,300,0.0,0,300,0.0,0.17
step-001500,1500,12000,background_matched_aux,color,18,100,0.18,0,50,0.0,0,50,0.0,0.06
step-001500,1500,12000,background_matched_aux,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.56
step-001500,1500,12000,background_matched_aux,count,11,100,0.11,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,background_matched_aux,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.4
step-001500,1500,12000,background_matched_aux,shape,26,100,0.26,0,50,0.0,0,50,0.0,0.0
step-001500,1500,12000,background_matched_aux,spatial,33,100,0.33,0,50,0.0,0,50,0.0,0.0
balanced-projector-step25,1525,12600,vision,overall,83,600,0.13833333333333334,0,300,0.0,0,300,0.0,0.01
