family,modality,metric,state_a,condition_a,state_b,condition_b,task,denominator,sum_a,sum_b,mean_a,mean_b,mean_gap,a_only_better,b_only_better,equal,ci95_low,ci95_high,bootstrap_samples,seed
stratified_minus_global,preference,paired_preference,stratified-step25,vision,global-step25,vision,overall,1200,242.0,289.0,0.20166666666666666,0.24083333333333334,-0.03916666666666667,60,107,1033,-0.06166666666666667,-0.018333333333333333,2000,20260822
stratified_minus_start,preference,paired_preference,stratified-step25,vision,frozen-base,vision,overall,1200,242.0,269.0,0.20166666666666666,0.22416666666666665,-0.0225,122,149,929,-0.049166666666666664,0.004166666666666667,2000,20260823
global_minus_start,preference,paired_preference,global-step25,vision,frozen-base,vision,overall,1200,289.0,269.0,0.24083333333333334,0.22416666666666665,0.016666666666666666,140,120,940,-0.01,0.043333333333333335,2000,20260824
stratified_minus_global,preference,sample_preference,stratified-step25,vision,global-step25,vision,overall,1200,711.0,733.0,0.5925,0.6108333333333333,-0.018333333333333333,70,114,1016,-0.029166666666666667,-0.0075,2000,20260825
stratified_minus_start,preference,sample_preference,stratified-step25,vision,frozen-base,vision,overall,1200,711.0,727.0,0.5925,0.6058333333333333,-0.013333333333333334,133,165,902,-0.027083333333333334,0.0008333333333333334,2000,20260826
global_minus_start,preference,sample_preference,global-step25,vision,frozen-base,vision,overall,1200,733.0,727.0,0.6108333333333333,0.6058333333333333,0.005,146,134,920,-0.00875,0.018333333333333333,2000,20260827
stratified_minus_global,preference,mean_margin,stratified-step25,vision,global-step25,vision,overall,1200,990.1168573011245,951.7001326482921,0.8250973810842704,0.7930834438735768,0.03201393721069372,501,641,58,0.010716137911710479,0.054384937375813486,2000,20260828
stratified_minus_start,preference,mean_margin,stratified-step25,vision,frozen-base,vision,overall,1200,990.1168573011245,1144.4697406688972,0.8250973810842704,0.9537247838907477,-0.1286274028064772,721,458,21,-0.1650490704981817,-0.0943022416386576,2000,20260829
global_minus_start,preference,mean_margin,global-step25,vision,frozen-base,vision,overall,1200,951.7001326482921,1144.4697406688972,0.7930834438735768,0.9537247838907477,-0.1606413400171709,720,434,46,-0.20977102902366057,-0.11004046855872825,2000,20260830
stratified_minus_global,preference,paired_preference,stratified-step25,vision,global-step25,vision,color,200,38.0,58.0,0.19,0.29,-0.1,23,43,134,-0.175,-0.02,2000,20260831
stratified_minus_start,preference,paired_preference,stratified-step25,vision,frozen-base,vision,color,200,38.0,46.0,0.19,0.23,-0.04,25,33,142,-0.115,0.035,2000,20260832
global_minus_start,preference,paired_preference,global-step25,vision,frozen-base,vision,color,200,58.0,46.0,0.29,0.23,0.06,32,20,148,-0.015,0.125,2000,20260833
stratified_minus_global,preference,sample_preference,stratified-step25,vision,global-step25,vision,color,200,119.0,129.0,0.595,0.645,-0.05,23,43,134,-0.09,-0.0125,2000,20260834
stratified_minus_start,preference,sample_preference,stratified-step25,vision,frozen-base,vision,color,200,119.0,123.0,0.595,0.615,-0.02,25,33,142,-0.0575,0.0175,2000,20260835
global_minus_start,preference,sample_preference,global-step25,vision,frozen-base,vision,color,200,129.0,123.0,0.645,0.615,0.03,32,20,148,-0.005,0.065,2000,20260836
stratified_minus_global,preference,mean_margin,stratified-step25,vision,global-step25,vision,color,200,159.3437495827675,169.43750050663948,0.7967187479138375,0.8471875025331974,-0.05046875461935997,92,90,18,-0.08375001221895217,-0.017499999403953553,2000,20260837
stratified_minus_start,preference,mean_margin,stratified-step25,vision,frozen-base,vision,color,200,159.3437495827675,126.78125369548798,0.7967187479138375,0.6339062684774399,0.16281247943639754,163,36,1,0.13515621483325957,0.19124998569488524,2000,20260838
global_minus_start,preference,mean_margin,global-step25,vision,frozen-base,vision,color,200,169.43750050663948,126.78125369548798,0.8471875025331974,0.6339062684774399,0.21328123405575752,145,48,7,0.17406249210238456,0.25265623137354853,2000,20260839
stratified_minus_global,preference,paired_preference,stratified-step25,vision,global-step25,vision,coordinate,200,19.0,27.0,0.095,0.135,-0.04,11,19,170,-0.095,0.015,2000,20260840
stratified_minus_start,preference,paired_preference,stratified-step25,vision,frozen-base,vision,coordinate,200,19.0,11.0,0.095,0.055,0.04,11,3,186,0.005,0.075,2000,20260841
global_minus_start,preference,paired_preference,global-step25,vision,frozen-base,vision,coordinate,200,27.0,11.0,0.135,0.055,0.08,16,0,184,0.045,0.12,2000,20260842
stratified_minus_global,preference,sample_preference,stratified-step25,vision,global-step25,vision,coordinate,200,109.5,113.5,0.5475,0.5675,-0.02,11,19,170,-0.045,0.0075,2000,20260843
stratified_minus_start,preference,sample_preference,stratified-step25,vision,frozen-base,vision,coordinate,200,109.5,105.5,0.5475,0.5275,0.02,11,3,186,0.0025,0.0375,2000,20260844
global_minus_start,preference,sample_preference,global-step25,vision,frozen-base,vision,coordinate,200,113.5,105.5,0.5675,0.5275,0.04,16,0,184,0.0225,0.06,2000,20260845
