modality,state,condition,task,metric,pairs,mean
preference,frozen-base,paired_counterfactual_image,overall,paired_preference,1200,0.0008333333333333334
preference,frozen-base,paired_counterfactual_image,overall,sample_preference,1200,0.37166666666666665
preference,frozen-base,paired_counterfactual_image,overall,mean_margin,1200,-0.9537247838907477
preference,frozen-base,paired_counterfactual_image,color,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,color,sample_preference,200,0.36
preference,frozen-base,paired_counterfactual_image,color,mean_margin,200,-0.6339062684774399
preference,frozen-base,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,coordinate,sample_preference,200,0.4725
preference,frozen-base,paired_counterfactual_image,coordinate,mean_margin,200,-0.06757493585348129
preference,frozen-base,paired_counterfactual_image,count,paired_preference,200,0.005
preference,frozen-base,paired_counterfactual_image,count,sample_preference,200,0.385
preference,frozen-base,paired_counterfactual_image,count,mean_margin,200,-0.03609375059604645
preference,frozen-base,paired_counterfactual_image,ocr,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,ocr,sample_preference,200,0.4325
preference,frozen-base,paired_counterfactual_image,ocr,mean_margin,200,-0.4066392201866422
preference,frozen-base,paired_counterfactual_image,shape,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,shape,sample_preference,200,0.205
preference,frozen-base,paired_counterfactual_image,shape,mean_margin,200,-4.43742190008983
preference,frozen-base,paired_counterfactual_image,spatial,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,spatial,sample_preference,200,0.375
preference,frozen-base,paired_counterfactual_image,spatial,mean_margin,200,-0.14071262814104557
preference,frozen-base,shuffled_image,overall,paired_preference,1200,0.06
preference,frozen-base,shuffled_image,overall,sample_preference,1200,0.45208333333333334
preference,frozen-base,shuffled_image,overall,mean_margin,1200,-0.07957569763909966
preference,frozen-base,shuffled_image,color,paired_preference,200,0.095
preference,frozen-base,shuffled_image,color,sample_preference,200,0.455
preference,frozen-base,shuffled_image,color,mean_margin,200,-0.010624995529651642
preference,frozen-base,shuffled_image,coordinate,paired_preference,200,0.0
preference,frozen-base,shuffled_image,coordinate,sample_preference,200,0.4875
preference,frozen-base,shuffled_image,coordinate,mean_margin,200,0.0024079552292823794
preference,frozen-base,shuffled_image,count,paired_preference,200,0.06
preference,frozen-base,shuffled_image,count,sample_preference,200,0.435
preference,frozen-base,shuffled_image,count,mean_margin,200,-0.009843750447034836
preference,frozen-base,shuffled_image,ocr,paired_preference,200,0.05
preference,frozen-base,shuffled_image,ocr,sample_preference,200,0.485
preference,frozen-base,shuffled_image,ocr,mean_margin,200,0.023613779158819286
preference,frozen-base,shuffled_image,shape,paired_preference,200,0.155
preference,frozen-base,shuffled_image,shape,sample_preference,200,0.475
preference,frozen-base,shuffled_image,shape,mean_margin,200,-0.368593763820827
preference,frozen-base,shuffled_image,spatial,paired_preference,200,0.0
preference,frozen-base,shuffled_image,spatial,sample_preference,200,0.375
preference,frozen-base,shuffled_image,spatial,mean_margin,200,-0.11441341042518616
preference,frozen-base,vision,overall,paired_preference,1200,0.22416666666666665
preference,frozen-base,vision,overall,sample_preference,1200,0.6058333333333333
preference,frozen-base,vision,overall,mean_margin,1200,0.9537247838907477
preference,frozen-base,vision,color,paired_preference,200,0.23
preference,frozen-base,vision,color,sample_preference,200,0.615
preference,frozen-base,vision,color,mean_margin,200,0.6339062684774399
preference,frozen-base,vision,coordinate,paired_preference,200,0.055
preference,frozen-base,vision,coordinate,sample_preference,200,0.5275
preference,frozen-base,vision,coordinate,mean_margin,200,0.06757493585348129
preference,frozen-base,vision,count,paired_preference,200,0.115
preference,frozen-base,vision,count,sample_preference,200,0.52
preference,frozen-base,vision,count,mean_margin,200,0.03609375059604645
preference,frozen-base,vision,ocr,paired_preference,200,0.135
preference,frozen-base,vision,ocr,sample_preference,200,0.5675
preference,frozen-base,vision,ocr,mean_margin,200,0.4066392201866422
preference,frozen-base,vision,shape,paired_preference,200,0.56
preference,frozen-base,vision,shape,sample_preference,200,0.78
preference,frozen-base,vision,shape,mean_margin,200,4.43742190008983
preference,frozen-base,vision,spatial,paired_preference,200,0.25
preference,frozen-base,vision,spatial,sample_preference,200,0.625
preference,frozen-base,vision,spatial,mean_margin,200,0.14071262814104557
preference,global-step100,paired_counterfactual_image,overall,paired_preference,1200,0.025
preference,global-step100,paired_counterfactual_image,overall,sample_preference,1200,0.24
preference,global-step100,paired_counterfactual_image,overall,mean_margin,1200,-2.5009808275550633
preference,global-step100,paired_counterfactual_image,color,paired_preference,200,0.0
preference,global-step100,paired_counterfactual_image,color,sample_preference,200,0.08
preference,global-step100,paired_counterfactual_image,color,mean_margin,200,-3.7681250036670826
preference,global-step100,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,global-step100,paired_counterfactual_image,coordinate,sample_preference,200,0.295
preference,global-step100,paired_counterfactual_image,coordinate,mean_margin,200,-1.1111179831624032
preference,global-step100,paired_counterfactual_image,count,paired_preference,200,0.15
preference,global-step100,paired_counterfactual_image,count,sample_preference,200,0.535
preference,global-step100,paired_counterfactual_image,count,mean_margin,200,-0.21562499418854714
preference,global-step100,paired_counterfactual_image,ocr,paired_preference,200,0.0
preference,global-step100,paired_counterfactual_image,ocr,sample_preference,200,0.3925
preference,global-step100,paired_counterfactual_image,ocr,mean_margin,200,-0.6129397435983023
preference,global-step100,paired_counterfactual_image,shape,paired_preference,200,0.0
preference,global-step100,paired_counterfactual_image,shape,sample_preference,200,0.1375
preference,global-step100,paired_counterfactual_image,shape,mean_margin,200,-6.0701563272345815
preference,global-step100,paired_counterfactual_image,spatial,paired_preference,200,0.0
preference,global-step100,paired_counterfactual_image,spatial,sample_preference,200,0.0
preference,global-step100,paired_counterfactual_image,spatial,mean_margin,200,-3.2279209134794655
preference,global-step100,shuffled_image,overall,paired_preference,1200,0.13333333333333333
preference,global-step100,shuffled_image,overall,sample_preference,1200,0.43916666666666665
preference,global-step100,shuffled_image,overall,mean_margin,1200,-0.36411480700851756
preference,global-step100,shuffled_image,color,paired_preference,200,0.275
preference,global-step100,shuffled_image,color,sample_preference,200,0.5225
preference,global-step100,shuffled_image,color,mean_margin,200,0.08234375455416738
preference,global-step100,shuffled_image,coordinate,paired_preference,200,0.11
preference,global-step100,shuffled_image,coordinate,sample_preference,200,0.535
preference,global-step100,shuffled_image,coordinate,mean_margin,200,-0.01064199447631836
preference,global-step100,shuffled_image,count,paired_preference,200,0.14
preference,global-step100,shuffled_image,count,sample_preference,200,0.47
preference,global-step100,shuffled_image,count,mean_margin,200,-0.022968753948807718
preference,global-step100,shuffled_image,ocr,paired_preference,200,0.075
preference,global-step100,shuffled_image,ocr,sample_preference,200,0.5025
preference,global-step100,shuffled_image,ocr,mean_margin,200,0.030432392375809796
preference,global-step100,shuffled_image,shape,paired_preference,200,0.2
preference,global-step100,shuffled_image,shape,sample_preference,200,0.48
preference,global-step100,shuffled_image,shape,mean_margin,200,-0.43859376132721084
preference,global-step100,shuffled_image,spatial,paired_preference,200,0.0
preference,global-step100,shuffled_image,spatial,sample_preference,200,0.125
preference,global-step100,shuffled_image,spatial,mean_margin,200,-1.8252604792287457
preference,global-step100,vision,overall,paired_preference,1200,0.5308333333333334
preference,global-step100,vision,overall,sample_preference,1200,0.7520833333333333
preference,global-step100,vision,overall,mean_margin,1200,2.5009808275550633
preference,global-step100,vision,color,paired_preference,200,0.825
preference,global-step100,vision,color,sample_preference,200,0.9125
preference,global-step100,vision,color,mean_margin,200,3.7681250036670826
preference,global-step100,vision,coordinate,paired_preference,200,0.41
preference,global-step100,vision,coordinate,sample_preference,200,0.705
