state,step,task_a,task_b,cosine,conflict
frozen-base,0,color,coordinate,-0.04977945610880852,True
frozen-base,0,color,count,-0.08195403218269348,True
frozen-base,0,color,ocr,-0.04279807582497597,True
frozen-base,0,color,shape,0.04165034368634224,False
frozen-base,0,color,spatial,0.1826484352350235,False
frozen-base,0,coordinate,count,-0.19058415293693542,True
frozen-base,0,coordinate,ocr,0.05141141638159752,False
frozen-base,0,coordinate,shape,-0.12411556392908096,True
frozen-base,0,coordinate,spatial,-0.07153011858463287,True
frozen-base,0,count,ocr,-0.0944017618894577,True
frozen-base,0,count,shape,0.245452418923378,False
frozen-base,0,count,spatial,0.06703268736600876,False
frozen-base,0,ocr,shape,-0.04229428619146347,True
frozen-base,0,ocr,spatial,0.009172546677291393,False
frozen-base,0,shape,spatial,0.21243643760681152,False
stratified-step25,25,color,coordinate,-0.010030366480350494,True
stratified-step25,25,color,count,-0.05199739336967468,True
stratified-step25,25,color,ocr,-0.030819818377494812,True
stratified-step25,25,color,shape,0.0558784045279026,False
stratified-step25,25,color,spatial,-0.076230987906456,True
stratified-step25,25,coordinate,count,0.08139027655124664,False
stratified-step25,25,coordinate,ocr,0.038311708718538284,False
stratified-step25,25,coordinate,shape,0.03581681847572327,False
stratified-step25,25,coordinate,spatial,0.026676619425415993,False
stratified-step25,25,count,ocr,0.1419767141342163,False
stratified-step25,25,count,shape,0.2788100242614746,False
stratified-step25,25,count,spatial,0.2940976321697235,False
stratified-step25,25,ocr,shape,0.023135248571634293,False
stratified-step25,25,ocr,spatial,0.03510173782706261,False
stratified-step25,25,shape,spatial,0.18872350454330444,False
stratified-step50,50,color,coordinate,-0.054467130452394485,True
stratified-step50,50,color,count,0.02090025506913662,False
stratified-step50,50,color,ocr,-0.0007172369514591992,True
stratified-step50,50,color,shape,-0.05067009478807449,True
stratified-step50,50,color,spatial,0.28088709712028503,False
stratified-step50,50,coordinate,count,0.047158703207969666,False
stratified-step50,50,coordinate,ocr,0.0341256782412529,False
stratified-step50,50,coordinate,shape,-0.019670406356453896,True
stratified-step50,50,coordinate,spatial,0.022968119010329247,False
stratified-step50,50,count,ocr,0.10343065112829208,False
stratified-step50,50,count,shape,-0.08157677948474884,True
stratified-step50,50,count,spatial,0.22041265666484833,False
stratified-step50,50,ocr,shape,0.06698565930128098,False
stratified-step50,50,ocr,spatial,0.012680092826485634,False
stratified-step50,50,shape,spatial,-0.06441423296928406,True
stratified-step100,100,color,coordinate,0.03297906741499901,False
stratified-step100,100,color,count,0.001965692499652505,False
stratified-step100,100,color,ocr,-0.002375028096139431,True
stratified-step100,100,color,shape,0.056647125631570816,False
stratified-step100,100,color,spatial,0.2493816614151001,False
stratified-step100,100,coordinate,count,0.15483610332012177,False
stratified-step100,100,coordinate,ocr,-0.012941623106598854,True
stratified-step100,100,coordinate,shape,0.020073525607585907,False
stratified-step100,100,coordinate,spatial,0.16999034583568573,False
stratified-step100,100,count,ocr,-0.06850643455982208,True
stratified-step100,100,count,shape,-0.17038141191005707,True
stratified-step100,100,count,spatial,0.18440774083137512,False
stratified-step100,100,ocr,shape,-0.02770165354013443,True
stratified-step100,100,ocr,spatial,-0.024772891774773598,True
stratified-step100,100,shape,spatial,0.032622456550598145,False
global-step25,25,color,coordinate,-0.02523725852370262,True
global-step25,25,color,count,0.11634749919176102,False
global-step25,25,color,ocr,0.0022220569662749767,False
global-step25,25,color,shape,0.22969166934490204,False
global-step25,25,color,spatial,0.2213132083415985,False
global-step25,25,coordinate,count,-0.02619306743144989,True
global-step25,25,coordinate,ocr,-0.02605641633272171,True
global-step25,25,coordinate,shape,0.06850523501634598,False
global-step25,25,coordinate,spatial,0.16709430515766144,False
global-step25,25,count,ocr,0.0651436448097229,False
global-step25,25,count,shape,0.012706702575087547,False
global-step25,25,count,spatial,0.20681367814540863,False
global-step25,25,ocr,shape,-0.018816649913787842,True
global-step25,25,ocr,spatial,0.06045863777399063,False
global-step25,25,shape,spatial,0.1913142204284668,False
global-step50,50,color,coordinate,0.10837128013372421,False
global-step50,50,color,count,-0.037527378648519516,True
global-step50,50,color,ocr,0.04080076515674591,False
global-step50,50,color,shape,0.1350545585155487,False
global-step50,50,color,spatial,0.20203708112239838,False
global-step50,50,coordinate,count,0.010776964016258717,False
global-step50,50,coordinate,ocr,0.021082710474729538,False
global-step50,50,coordinate,shape,-0.03878206014633179,True
global-step50,50,coordinate,spatial,0.09809853136539459,False
global-step50,50,count,ocr,-0.05821073055267334,True
global-step50,50,count,shape,0.0834294930100441,False
global-step50,50,count,spatial,0.06021227315068245,False
global-step50,50,ocr,shape,0.05439961329102516,False
global-step50,50,ocr,spatial,0.03540210798382759,False
global-step50,50,shape,spatial,0.13913381099700928,False
global-step100,100,color,coordinate,0.0518520288169384,False
global-step100,100,color,count,0.19972021877765656,False
global-step100,100,color,ocr,0.03503265231847763,False
global-step100,100,color,shape,0.24200056493282318,False
global-step100,100,color,spatial,0.2679910659790039,False
global-step100,100,coordinate,count,0.07189718633890152,False
global-step100,100,coordinate,ocr,0.03758100047707558,False
global-step100,100,coordinate,shape,0.09312160313129425,False
global-step100,100,coordinate,spatial,0.17989696562290192,False
global-step100,100,count,ocr,0.15988141298294067,False
global-step100,100,count,shape,0.06942280381917953,False
global-step100,100,count,spatial,0.1299087107181549,False
global-step100,100,ocr,shape,0.007971929386258125,False
global-step100,100,ocr,spatial,0.012478630058467388,False
global-step100,100,shape,spatial,0.21882113814353943,False
