state,step,task,records,answer_tokens,loss,gradient_norm
frozen-base,0,color,8,16,0.39321190118789673,3.0741934776306152
frozen-base,0,coordinate,8,22,0.7528533935546875,2.158693313598633
frozen-base,0,count,8,24,0.6636304259300232,5.774372100830078
frozen-base,0,ocr,8,32,3.783085823059082,3.0851879119873047
frozen-base,0,shape,8,16,0.02656933292746544,0.6246675848960876
frozen-base,0,spatial,8,18,0.3115392327308655,0.6219952702522278
stratified-step25,25,color,8,16,0.3760524094104767,2.4615039825439453
stratified-step25,25,coordinate,8,22,0.7371160387992859,1.119802474975586
stratified-step25,25,count,8,24,0.32013270258903503,1.4340053796768188
stratified-step25,25,ocr,8,32,3.720857620239258,1.8884469270706177
stratified-step25,25,shape,8,16,0.026218555867671967,0.7073478698730469
stratified-step25,25,spatial,8,18,0.29741063714027405,0.618355393409729
stratified-step50,50,color,8,16,0.08120813965797424,0.918778121471405
stratified-step50,50,coordinate,8,22,0.40607091784477234,1.5241174697875977
stratified-step50,50,count,8,24,0.31655728816986084,0.6820951700210571
stratified-step50,50,ocr,8,32,3.790870189666748,4.623649597167969
stratified-step50,50,shape,8,16,0.019131245091557503,0.33324435353279114
stratified-step50,50,spatial,8,18,0.14137761294841766,0.5412313938140869
stratified-step100,100,color,8,16,0.009937494993209839,0.18580178916454315
stratified-step100,100,coordinate,8,22,0.015847472473978996,0.14172373712062836
stratified-step100,100,count,8,24,0.1840084344148636,0.6835806965827942
stratified-step100,100,ocr,8,32,3.5980401039123535,0.87105792760849
stratified-step100,100,shape,8,16,0.0031879879534244537,0.03798134997487068
stratified-step100,100,spatial,8,18,0.009068896993994713,0.07132141292095184
global-step25,25,color,8,16,0.18547727167606354,1.3667656183242798
global-step25,25,coordinate,8,22,0.6553113460540771,1.0311834812164307
global-step25,25,count,8,24,0.46570029854774475,1.324681282043457
global-step25,25,ocr,8,32,3.733612060546875,2.74326491355896
global-step25,25,shape,8,16,0.020399529486894608,0.5285425186157227
global-step25,25,spatial,8,18,0.2667848765850067,0.6622928380966187
global-step50,50,color,8,16,0.21307475864887238,1.879159927368164
global-step50,50,coordinate,8,22,0.4861585795879364,1.936740517616272
global-step50,50,count,8,24,0.3831759989261627,2.7184031009674072
global-step50,50,ocr,8,32,3.8537216186523438,2.9340903759002686
global-step50,50,shape,8,16,0.028911640867590904,0.4096473157405853
global-step50,50,spatial,8,18,0.20416608452796936,0.29773202538490295
global-step100,100,color,8,16,0.034360677003860474,0.43735772371292114
global-step100,100,coordinate,8,22,0.1893390268087387,1.627808690071106
global-step100,100,count,8,24,0.4152334928512573,2.868086338043213
global-step100,100,ocr,8,32,3.6472294330596924,1.2837159633636475
global-step100,100,shape,8,16,0.0058072395622730255,0.08332300186157227
global-step100,100,spatial,8,18,0.02179841324687004,0.15929794311523438
