checkpoint,task,examples_seen,paired_preference_accuracy,generation_paired_accuracy
step-000000,color,0,0.015,0.0
step-000500,color,4000,0.015,0.0
step-001000,color,8000,0.0,0.0
step-001500,color,12000,0.0,0.0
step-002000,color,16000,0.0,0.0
step-000000,coordinate,0,0.07,0.0
step-000500,coordinate,4000,0.0,0.0
step-001000,coordinate,8000,0.035,0.0
step-001500,coordinate,12000,0.0,0.0
step-002000,coordinate,16000,0.0,0.0
step-000000,count,0,0.0,0.0
step-000500,count,4000,0.0,0.0
step-001000,count,8000,0.0,0.0
step-001500,count,12000,0.0,0.0
step-002000,count,16000,0.0,0.0
step-000000,ocr,0,0.03,0.0
step-000500,ocr,4000,0.0,0.0
step-001000,ocr,8000,0.0,0.0
step-001500,ocr,12000,0.0,0.0
step-002000,ocr,16000,0.0,0.0
step-000000,shape,0,0.055,0.0
step-000500,shape,4000,0.0,0.0
step-001000,shape,8000,0.0,0.0
step-001500,shape,12000,0.13,0.0
step-002000,shape,16000,0.0,0.0
step-000000,spatial,0,0.0,0.0
step-000500,spatial,4000,0.0,0.0
step-001000,spatial,8000,0.0,0.0
step-001500,spatial,12000,0.0,0.0
step-002000,spatial,16000,0.0,0.0
