previous_checkpoint,checkpoint,previous_examples_seen,examples_seen,task,metric,sum_a,sum_b,denominator,mean_a,mean_b,mean_gap,ci95_low,ci95_high
step-000000,step-000500,0,4000,overall,paired_answer_flip_accuracy,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
step-000000,step-000500,0,4000,color,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-000000,step-000500,0,4000,coordinate,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-000000,step-000500,0,4000,count,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-000000,step-000500,0,4000,ocr,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-000000,step-000500,0,4000,shape,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-000000,step-000500,0,4000,spatial,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-000500,step-001000,4000,8000,overall,paired_answer_flip_accuracy,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
step-000500,step-001000,4000,8000,color,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-000500,step-001000,4000,8000,coordinate,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-000500,step-001000,4000,8000,count,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-000500,step-001000,4000,8000,ocr,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-000500,step-001000,4000,8000,shape,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-000500,step-001000,4000,8000,spatial,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-001000,step-001500,8000,12000,overall,paired_answer_flip_accuracy,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
step-001000,step-001500,8000,12000,color,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-001000,step-001500,8000,12000,coordinate,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-001000,step-001500,8000,12000,count,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-001000,step-001500,8000,12000,ocr,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-001000,step-001500,8000,12000,shape,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-001000,step-001500,8000,12000,spatial,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-001500,step-002000,12000,16000,overall,paired_answer_flip_accuracy,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
step-001500,step-002000,12000,16000,color,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-001500,step-002000,12000,16000,coordinate,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-001500,step-002000,12000,16000,count,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-001500,step-002000,12000,16000,ocr,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-001500,step-002000,12000,16000,shape,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
step-001500,step-002000,12000,16000,spatial,paired_answer_flip_accuracy,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
