checkpoint,examples_seen,task,metric,a,b,sum_a,sum_b,denominator,mean_a,mean_b,mean_gap,ci95_low,ci95_high,a_only_better,b_only_better,equal
step-000000,0,overall,sample_accuracy,vision,blind,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0,0,300
step-000000,0,overall,sample_accuracy,vision,blank,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0,0,300
step-000000,0,overall,sample_accuracy,vision,same_image,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0,0,300
step-000000,0,overall,sample_accuracy,vision,shuffled_image,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0,0,300
step-000000,0,overall,sample_accuracy,vision,patch_permutation,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0,0,300
step-000000,0,overall,sample_accuracy,vision,paired_counterfactual_image,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0,0,300
step-000000,0,overall,sample_accuracy,vision,background_matched_aux,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0,0,300
step-000000,0,overall,paired_answer_flip_accuracy,vision,blind,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0,0,300
step-000000,0,color,sample_accuracy,vision,blind,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0,0,50
step-000000,0,color,sample_accuracy,vision,blank,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0,0,50
step-000000,0,color,sample_accuracy,vision,same_image,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0,0,50
step-000000,0,color,sample_accuracy,vision,shuffled_image,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0,0,50
step-000000,0,color,sample_accuracy,vision,patch_permutation,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0,0,50
step-000000,0,color,sample_accuracy,vision,paired_counterfactual_image,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0,0,50
step-000000,0,color,sample_accuracy,vision,background_matched_aux,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0,0,50
step-000000,0,color,paired_answer_flip_accuracy,vision,blind,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0,0,50
