checkpoint,optimizer_steps,examples_seen,source,records,shuffle_repeats,mean_true_loss,mean_shuffled_loss,mean_delta,shuffle_delta_std
step-000000,0,0,overall,32,10,6.7470477521419525,6.7375450566411015,-0.009502695500850755,0.06926094239062779
step-000000,0,0,docvqa_train,9,10,3.8444527520073786,3.9294892258114285,0.08503647380404998,0.04301432603043902
step-000000,0,0,showui_desktop,3,10,5.59733788172404,5.485897016525269,-0.11144086519877128,0.0833319193209821
step-000000,0,0,textvqa_train,17,10,8.85615031859454,8.844737843906177,-0.011412474688361747,0.1328734644892925
step-000000,0,0,train,3,10,4.652961413065593,4.472601461410522,-0.18035995165507016,0.05516086713150745
step-000500,500,4000,overall,32,10,3.9588131196796894,4.985088237933814,1.0262751182541252,0.21107108037776562
step-000500,500,4000,docvqa_train,9,10,2.89377060201433,3.324118004904853,0.43034740289052326,0.22926367243551918
step-000500,500,4000,showui_desktop,3,10,1.182278315226237,4.682101662953695,3.499823347727458,0.5964713422443061
step-000500,500,4000,textvqa_train,17,10,5.1276911146500534,6.019191929522683,0.8915008148726296,0.41334023007632514
step-000500,500,4000,train,3,10,3.306833505630493,4.411064592997233,1.10423108736674,1.0207401586426996
step-001000,1000,8000,overall,32,10,4.002462577074766,4.672770315222442,0.6703077381476759,0.19726227971448157
step-001000,1000,8000,docvqa_train,9,10,2.98072440094418,3.1056201616923014,0.12489576074812139,0.09413051225972281
step-001000,1000,8000,showui_desktop,3,10,1.17339289188385,4.747311969598134,3.5739190777142844,0.6049895408892829
step-001000,1000,8000,textvqa_train,17,10,5.175800035981571,5.612278041068245,0.4364780050866742,0.3181462201369642
step-001000,1000,8000,train,3,10,3.2478345235188804,3.9758020083109535,0.7279674847920736,0.40268282873645483
step-001500,1500,12000,overall,32,10,3.9284450449049473,4.881767233833671,0.9533221889287233,0.2824145767556118
step-001500,1500,12000,docvqa_train,9,10,2.944718745019701,3.326823592185974,0.3821048471662734,0.14541495939983634
step-001500,1500,12000,showui_desktop,3,10,1.197600523630778,4.762804798285166,3.565204274654388,0.6205915484407092
step-001500,1500,12000,textvqa_train,17,10,5.0904137947980095,5.794442671888015,0.7040288770900054,0.45798677003730537
step-001500,1500,12000,train,3,10,3.0259788831075034,4.493733112017313,1.4677542289098104,0.5644961155862347
step-002000,2000,16000,overall,32,10,3.850666753947735,5.039231545291841,1.1885647913441062,0.24773464556692362
step-002000,2000,16000,docvqa_train,9,10,2.8229645358191595,3.307424815495809,0.4844602796766494,0.1678138776864617
step-002000,2000,16000,showui_desktop,3,10,1.1785593430201213,5.055457083384196,3.876897740364075,0.6683411987767105
step-002000,2000,16000,textvqa_train,17,10,5.0297552417306335,6.031990581049638,1.0022353393190047,0.4476317683324291
step-002000,2000,16000,train,3,10,2.9243793884913125,4.592791660626729,1.6684122721354167,0.777225755061335
current-final,2000,16000,overall,32,10,3.850666753947735,5.039231545291841,1.1885647913441062,0.24773464556692362
current-final,2000,16000,docvqa_train,9,10,2.8229645358191595,3.307424815495809,0.4844602796766494,0.1678138776864617
current-final,2000,16000,showui_desktop,3,10,1.1785593430201213,5.055457083384196,3.876897740364075,0.6683411987767105
current-final,2000,16000,textvqa_train,17,10,5.0297552417306335,6.031990581049638,1.0022353393190047,0.4476317683324291
current-final,2000,16000,train,3,10,2.9243793884913125,4.592791660626729,1.6684122721354167,0.777225755061335
