checkpoint,optimizer_steps,examples_seen,condition,task,accuracy_numerator,accuracy_denominator,accuracy,paired_numerator,paired_denominator,paired_accuracy,answer_flip_numerator,answer_flip_denominator,answer_flip_accuracy,prediction_flip_rate
step-000000,0,0,vision,overall,0,600,0.0,0,300,0.0,0,300,0.0,0.49
step-000000,0,0,vision,color,0,100,0.0,0,50,0.0,0,50,0.0,0.66
step-000000,0,0,vision,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,vision,count,0,100,0.0,0,50,0.0,0,50,0.0,0.66
step-000000,0,0,vision,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.7
step-000000,0,0,vision,shape,0,100,0.0,0,50,0.0,0,50,0.0,0.92
step-000000,0,0,vision,spatial,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,blind,overall,0,600,0.0,0,300,0.0,0,300,0.0,0.0
step-000000,0,0,blind,color,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,blind,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,blind,count,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,blind,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,blind,shape,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,blind,spatial,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,blank,overall,0,600,0.0,0,300,0.0,0,300,0.0,0.0
step-000000,0,0,blank,color,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,blank,coordinate,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,blank,count,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,blank,ocr,0,100,0.0,0,50,0.0,0,50,0.0,0.0
step-000000,0,0,blank,shape,0,100,0.0,0,50,0.0,0,50,0.0,0.0
