previous_checkpoint,checkpoint,previous_examples_seen,examples_seen,task,condition,metric,denominator,mean_a,mean_b,mean_gap,ci95_low,ci95_high,bootstrap_samples,seed
step-000000,step-000500,0,4000,overall,vision,paired_preference,1200,0.0025,0.028333333333333332,-0.025833333333333333,-0.035833333333333335,-0.016666666666666666,2000,20460904
step-000000,step-000500,0,4000,overall,vision,mean_margin,1200,0.0036899462737261367,0.012338334139377355,-0.008648387865651218,-0.0214402441058367,0.005075194792851572,2000,20460905
step-000000,step-000500,0,4000,color,vision,paired_preference,200,0.015,0.015,0.0,-0.025,0.025,2000,20460914
step-000000,step-000500,0,4000,color,vision,mean_margin,200,0.00765625,-0.05343745470046997,0.06109370470046997,0.0331249737739563,0.08765619874000549,2000,20460915
step-000000,step-000500,0,4000,coordinate,vision,paired_preference,200,0.0,0.07,-0.07,-0.11,-0.035,2000,20460924
step-000000,step-000500,0,4000,coordinate,vision,mean_margin,200,0.0004347670078277588,-0.027265390157699586,0.027700157165527345,0.0008553004264831543,0.05344341278076172,2000,20460925
step-000000,step-000500,0,4000,count,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20460934
step-000000,step-000500,0,4000,count,vision,mean_margin,200,-0.001093747466802597,0.012656247019767761,-0.013749994486570358,-0.022499996721744537,-0.005624991953372955,2000,20460935
step-000000,step-000500,0,4000,ocr,vision,paired_preference,200,0.0,0.03,-0.03,-0.055,-0.01,2000,20460944
step-000000,step-000500,0,4000,ocr,vision,mean_margin,200,-0.003028946728933387,0.0331831223737626,-0.03621206910269598,-0.0830539583819253,0.01211129093170171,2000,20460945
step-000000,step-000500,0,4000,shape,vision,paired_preference,200,0.0,0.055,-0.055,-0.09,-0.025,2000,20460954
step-000000,step-000500,0,4000,shape,vision,mean_margin,200,0.039531238079071045,-0.0214843487739563,0.06101558685302735,0.02585934042930603,0.09624995291233063,2000,20460955
step-000000,step-000500,0,4000,spatial,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20460964
step-000000,step-000500,0,4000,spatial,vision,mean_margin,200,-0.021359883248806,0.13037782907485962,-0.15173771232366562,-0.17560220137238503,-0.1274462342262268,2000,20460965
step-000500,step-001000,4000,8000,overall,vision,paired_preference,1200,0.005833333333333334,0.0025,0.0033333333333333335,-0.0016666666666666668,0.008333333333333333,2000,20461004
step-000500,step-001000,4000,8000,overall,vision,mean_margin,1200,0.006445234641196237,0.0036899462737261367,0.0027552883674701006,-0.0005390516848318179,0.005855284800486899,2000,20461005
step-000500,step-001000,4000,8000,color,vision,paired_preference,200,0.0,0.015,-0.015,-0.035,0.0,2000,20461014
step-000500,step-001000,4000,8000,color,vision,mean_margin,200,0.01328125,0.00765625,0.005625,0.000625,0.01078125,2000,20461015
step-000500,step-001000,4000,8000,coordinate,vision,paired_preference,200,0.035,0.0,0.035,0.01,0.065,2000,20461024
step-000500,step-001000,4000,8000,coordinate,vision,mean_margin,200,-0.005395808219909668,0.0004347670078277588,-0.005830575227737427,-0.009866300821304321,-0.0018055272102355958,2000,20461025
step-000500,step-001000,4000,8000,count,vision,paired_preference,200,0.0,0.0,0.0,0.0,0.0,2000,20461034
