checkpoint,optimizer_steps,examples_seen,task,condition,samples,pairs,sample_preference_accuracy,paired_preference_accuracy,mean_correct_margin,median_correct_margin,mean_correct_token_nll,mean_counterfactual_token_nll
step-000000,0,0,overall,vision,2400,1200,0.50125,0.028333333333333332,0.012338334139377355,0.03125,7.831905703913124,7.844244038052502
step-000000,0,0,color,vision,400,200,0.4725,0.015,-0.05343745470046997,-0.0625,7.651461102962494,7.598023648262024
step-000000,0,0,coordinate,vision,400,200,0.535,0.07,-0.027265390157699586,0.1022796630859375,10.048352905511855,10.021087515354157
step-000000,0,0,count,vision,400,200,0.47,0.0,0.012656247019767761,0.0,2.183992072045803,2.196648319065571
step-000000,0,0,ocr,vision,400,200,0.5025,0.03,0.0331831223737626,0.010843276977538174,8.720491645461037,8.7536747678348
step-000000,0,0,shape,vision,400,200,0.5275,0.055,-0.0214843487739563,0.0625,10.35418067216873,10.332696323394776
step-000000,0,0,spatial,vision,400,200,0.5,0.0,0.13037782907485962,0.11798739433288574,8.032955825328827,8.163333654403687
step-000000,0,0,overall,blind,2400,1200,0.4979166666666667,0.0,0.0,0.0,10.398102144318914,10.398102144318914
step-000000,0,0,color,blind,400,200,0.5,0.0,0.0,0.0,12.21103588104248,12.21103588104248
step-000000,0,0,coordinate,blind,400,200,0.5,0.0,0.0,0.0,12.75480099439621,12.75480099439621
step-000000,0,0,count,blind,400,200,0.4875,0.0,0.0,0.0,4.198449039459229,4.198449039459229
step-000000,0,0,ocr,blind,400,200,0.5,0.0,0.0,0.0,9.212698685634704,9.212698685634704
step-000000,0,0,shape,blind,400,200,0.5,0.0,0.0,0.0,10.13686954498291,10.13686954498291
step-000000,0,0,spatial,blind,400,200,0.5,0.0,0.0,0.0,13.87475872039795,13.87475872039795
step-000000,0,0,overall,blank,2400,1200,0.49083333333333334,0.0,0.0,0.0,8.40529132780149,8.40529132780149
step-000000,0,0,color,blank,400,200,0.5,0.0,0.0,0.0,8.657901458740234,8.657901458740234
step-000000,0,0,coordinate,blank,400,200,0.5,0.0,0.0,0.0,9.459104075431824,9.459104075431824
step-000000,0,0,count,blank,400,200,0.445,0.0,0.0,0.0,2.412776026427746,2.412776026427746
step-000000,0,0,ocr,blank,400,200,0.5,0.0,0.0,0.0,8.806760550839561,8.806760550839561
step-000000,0,0,shape,blank,400,200,0.5,0.0,0.0,0.0,11.489113998413085,11.489113998413085
step-000000,0,0,spatial,blank,400,200,0.5,0.0,0.0,0.0,9.606091856956482,9.606091856956482
step-000000,0,0,overall,same_image,2400,1200,0.4766666666666667,0.0,0.0,0.0,7.87879464669644,7.87879464669644
step-000000,0,0,color,same_image,400,200,0.5,0.0,0.0,0.0,7.623124806880951,7.623124806880951
step-000000,0,0,coordinate,same_image,400,200,0.49,0.0,0.0,0.0,9.097000558376312,9.097000558376312
step-000000,0,0,count,same_image,400,200,0.4775,0.0,0.0,0.0,1.7429473972320557,1.7429473972320557
step-000000,0,0,ocr,same_image,400,200,0.5,0.0,0.0,0.0,8.872274251199904,8.872274251199904
step-000000,0,0,shape,same_image,400,200,0.3925,0.0,0.0,0.0,11.508327445983888,11.508327445983888
step-000000,0,0,spatial,same_image,400,200,0.5,0.0,0.0,0.0,8.429093420505524,8.429093420505524
step-000000,0,0,overall,shuffled_image,2400,1200,0.49625,0.021666666666666667,0.008237024044706704,0.0,7.800438174916638,7.808675198961344
step-000000,0,0,color,shuffled_image,400,200,0.4925,0.04,-0.01593750238418579,-0.03125,7.607789273262024,7.591851770877838
step-000000,0,0,coordinate,shuffled_image,400,200,0.5025,0.03,-0.009294219017028808,0.027539730072021484,10.03334261894226,10.024048399925231
step-000000,0,0,count,shuffled_image,400,200,0.4825,0.015,0.0017187467217445373,0.0,2.18696082174778,2.1886795684695244
step-000000,0,0,ocr,shuffled_image,400,200,0.495,0.02,0.026505015168871188,-0.020804309844970614,8.727080283244451,8.753585298413322
step-000000,0,0,shape,shuffled_image,400,200,0.505,0.025,-0.003046877384185791,0.0625,10.336133816242217,10.333086938858033
step-000000,0,0,spatial,shuffled_image,400,200,0.5,0.0,0.0494769811630249,-0.1458423137664795,7.911322236061096,7.960799217224121
step-000000,0,0,overall,patch_permutation,2400,1200,0.49916666666666665,0.04083333333333333,0.03875763160274142,0.0,8.406082680225845,8.444840311828587
step-000000,0,0,color,patch_permutation,400,200,0.4775,0.065,-0.08874998569488525,-0.0625,7.682874767780304,7.5941247820854185
step-000000,0,0,coordinate,patch_permutation,400,200,0.4875,0.04,-0.07311836957931518,-0.08072519302368164,11.006909439563751,10.933791069984435
step-000000,0,0,count,patch_permutation,400,200,0.4825,0.005,-0.000937502384185791,0.0,2.2671848705410955,2.2662473681569097
step-000000,0,0,ocr,patch_permutation,400,200,0.515,0.05,0.03912805570874896,0.03188737233479788,8.823601931038358,8.862729986747105
