checkpoint,examples_seen,task,metric,a,b,denominator,mean_a,mean_b,mean_gap,ci95_low,ci95_high,a_only_better,b_only_better,equal,bootstrap_samples,seed
step-000000,0,overall,paired_preference,vision,blind,1200,0.028333333333333332,0.0,0.028333333333333332,0.019166666666666665,0.03833333333333333,34,0,1166,2000,20360904
step-000000,0,overall,mean_margin,vision,blind,1200,0.012338334139377355,0.0,0.012338334139377355,-6.537825862566275e-05,0.025039095563547956,544,596,60,2000,20360905
step-000000,0,overall,paired_preference,vision,blank,1200,0.028333333333333332,0.0,0.028333333333333332,0.019166666666666665,0.0375,34,0,1166,2000,20361004
step-000000,0,overall,mean_margin,vision,blank,1200,0.012338334139377355,0.0,0.012338334139377355,-0.0010948940042465423,0.02467165227494543,544,596,60,2000,20361005
step-000000,0,overall,paired_preference,vision,same_image,1200,0.028333333333333332,0.0,0.028333333333333332,0.019166666666666665,0.03833333333333333,34,0,1166,2000,20361104
step-000000,0,overall,mean_margin,vision,same_image,1200,0.012338334139377355,0.0,0.012338334139377355,0.0002768227273509616,0.02488465431474504,544,596,60,2000,20361105
step-000000,0,overall,paired_preference,vision,shuffled_image,1200,0.028333333333333332,0.021666666666666667,0.006666666666666667,-0.005833333333333334,0.018333333333333333,30,22,1148,2000,20361204
step-000000,0,overall,mean_margin,vision,shuffled_image,1200,0.012338334139377355,0.008237024044706704,0.0041013100946706476,-0.014426202421623558,0.021749102185169858,613,537,50,2000,20361205
step-000000,0,overall,paired_preference,vision,patch_permutation,1200,0.028333333333333332,0.04083333333333333,-0.0125,-0.025,0.0,25,40,1135,2000,20361304
step-000000,0,overall,mean_margin,vision,patch_permutation,1200,0.012338334139377355,0.03875763160274142,-0.02641929746336407,-0.04842353267518301,-0.00448408159992052,590,572,38,2000,20361305
step-000000,0,overall,paired_preference,vision,paired_counterfactual_image,1200,0.028333333333333332,0.015833333333333335,0.0125,0.0,0.025,34,19,1147,2000,20361404
step-000000,0,overall,mean_margin,vision,paired_counterfactual_image,1200,0.012338334139377355,-0.012338334139377355,0.02467666827875471,-0.0012457099481234413,0.048914940992991145,544,596,60,2000,20361405
step-000000,0,overall,paired_preference,vision,background_matched_aux,1200,0.028333333333333332,0.019166666666666665,0.009166666666666667,0.0,0.019166666666666665,23,12,1165,2000,20361504
step-000000,0,overall,mean_margin,vision,background_matched_aux,1200,0.012338334139377355,-0.016357626125453013,0.028695960264830365,0.014306329765490119,0.04381273089325617,633,533,34,2000,20361505
step-000000,0,color,paired_preference,vision,blind,200,0.015,0.0,0.015,0.0,0.035,3,0,197,2000,20360914
step-000000,0,color,mean_margin,vision,blind,200,-0.05343745470046997,0.0,-0.05343745470046997,-0.08101557850837708,-0.02601559281349182,78,115,7,2000,20360915
step-000000,0,color,paired_preference,vision,blank,200,0.015,0.0,0.015,0.0,0.035,3,0,197,2000,20361014
step-000000,0,color,mean_margin,vision,blank,200,-0.05343745470046997,0.0,-0.05343745470046997,-0.0807811975479126,-0.02343746066093445,78,115,7,2000,20361015
step-000000,0,color,paired_preference,vision,same_image,200,0.015,0.0,0.015,0.0,0.035,3,0,197,2000,20361114
step-000000,0,color,mean_margin,vision,same_image,200,-0.05343745470046997,0.0,-0.05343745470046997,-0.08140619039535522,-0.02679684042930603,78,115,7,2000,20361115
step-000000,0,color,paired_preference,vision,shuffled_image,200,0.015,0.04,-0.025,-0.06,0.005,3,8,189,2000,20361214
step-000000,0,color,mean_margin,vision,shuffled_image,200,-0.05343745470046997,-0.01593750238418579,-0.03749995231628418,-0.0789061987400055,0.0023438000679016115,94,101,5,2000,20361215
step-000000,0,color,paired_preference,vision,patch_permutation,200,0.015,0.065,-0.05,-0.085,-0.02,1,11,188,2000,20361314
step-000000,0,color,mean_margin,vision,patch_permutation,200,-0.05343745470046997,-0.08874998569488525,0.03531253099441528,-0.008671852350234986,0.07976563692092896,101,92,7,2000,20361315
step-000000,0,color,paired_preference,vision,paired_counterfactual_image,200,0.015,0.07,-0.055,-0.095,-0.02,3,14,183,2000,20361414
step-000000,0,color,mean_margin,vision,paired_counterfactual_image,200,-0.05343745470046997,0.05343745470046997,-0.10687490940093994,-0.16124989032745363,-0.05328115940093994,78,115,7,2000,20361415
step-000000,0,color,paired_preference,vision,background_matched_aux,200,0.015,0.035,-0.02,-0.04,-0.005,0,4,196,2000,20361514
step-000000,0,color,mean_margin,vision,background_matched_aux,200,-0.05343745470046997,-0.06851561784744263,0.015078163146972657,-0.01304684042930603,0.04296881079673767,94,104,2,2000,20361515
step-000000,0,coordinate,paired_preference,vision,blind,200,0.07,0.0,0.07,0.035,0.105,14,0,186,2000,20360924
step-000000,0,coordinate,mean_margin,vision,blind,200,-0.027265390157699586,0.0,-0.027265390157699586,-0.053041478395462034,-0.00039404034614562986,79,121,0,2000,20360925
step-000000,0,coordinate,paired_preference,vision,blank,200,0.07,0.0,0.07,0.035,0.105,14,0,186,2000,20361024
step-000000,0,coordinate,mean_margin,vision,blank,200,-0.027265390157699586,0.0,-0.027265390157699586,-0.05449144721031189,-0.0014000940322875977,79,121,0,2000,20361025
step-000000,0,coordinate,paired_preference,vision,same_image,200,0.07,0.0,0.07,0.04,0.105,14,0,186,2000,20361124
step-000000,0,coordinate,mean_margin,vision,same_image,200,-0.027265390157699586,0.0,-0.027265390157699586,-0.05385362863540649,0.0002455568313598633,79,121,0,2000,20361125
step-000000,0,coordinate,paired_preference,vision,shuffled_image,200,0.07,0.03,0.04,0.0,0.08,12,4,184,2000,20361224
step-000000,0,coordinate,mean_margin,vision,shuffled_image,200,-0.027265390157699586,-0.009294219017028808,-0.017971171140670775,-0.0540666675567627,0.019448264837265014,87,109,4,2000,20361225
step-000000,0,coordinate,paired_preference,vision,patch_permutation,200,0.07,0.04,0.03,-0.01,0.075,12,6,182,2000,20361324
step-000000,0,coordinate,mean_margin,vision,patch_permutation,200,-0.027265390157699586,-0.07311836957931518,0.0458529794216156,-0.018810949325561523,0.10999429821968079,98,100,2,2000,20361325
step-000000,0,coordinate,paired_preference,vision,paired_counterfactual_image,200,0.07,0.0,0.07,0.04,0.105,14,0,186,2000,20361424
step-000000,0,coordinate,mean_margin,vision,paired_counterfactual_image,200,-0.027265390157699586,0.027265390157699586,-0.05453078031539917,-0.10729028224945068,-0.002400467395782471,79,121,0,2000,20361425
step-000000,0,coordinate,paired_preference,vision,background_matched_aux,200,0.07,0.03,0.04,0.015,0.07,8,0,192,2000,20361524
step-000000,0,coordinate,mean_margin,vision,background_matched_aux,200,-0.027265390157699586,0.045272074937820435,-0.07253746509552002,-0.09366620421409606,-0.050233834981918336,54,146,0,2000,20361525
step-000000,0,count,paired_preference,vision,blind,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20360934
step-000000,0,count,mean_margin,vision,blind,200,0.012656247019767761,0.0,0.012656247019767761,0.004999993741512299,0.02078124910593033,93,54,53,2000,20360935
step-000000,0,count,paired_preference,vision,blank,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361034
step-000000,0,count,mean_margin,vision,blank,200,0.012656247019767761,0.0,0.012656247019767761,0.005312493741512298,0.020624998807907104,93,54,53,2000,20361035
step-000000,0,count,paired_preference,vision,same_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361134
step-000000,0,count,mean_margin,vision,same_image,200,0.012656247019767761,0.0,0.012656247019767761,0.004687496721744538,0.02078124701976776,93,54,53,2000,20361135
step-000000,0,count,paired_preference,vision,shuffled_image,200,0.0,0.015,-0.015,-0.035,0.0,0,3,197,2000,20361234
step-000000,0,count,mean_margin,vision,shuffled_image,200,0.012656247019767761,0.0017187467217445373,0.010937500298023223,0.0001562473177909851,0.022031248807907106,94,69,37,2000,20361235
step-000000,0,count,paired_preference,vision,patch_permutation,200,0.0,0.005,-0.005,-0.015,0.0,0,1,199,2000,20361334
step-000000,0,count,mean_margin,vision,patch_permutation,200,0.012656247019767761,-0.000937502384185791,0.013593749403953552,0.004843748807907104,0.022968748509883882,102,74,24,2000,20361335
step-000000,0,count,paired_preference,vision,paired_counterfactual_image,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20361434
step-000000,0,count,mean_margin,vision,paired_counterfactual_image,200,0.012656247019767761,-0.012656247019767761,0.025312494039535522,0.009999997615814209,0.0415625,93,54,53,2000,20361435
step-000000,0,count,paired_preference,vision,background_matched_aux,200,0.0,0.005,-0.005,-0.015,0.0,0,1,199,2000,20361534
step-000000,0,count,mean_margin,vision,background_matched_aux,200,0.012656247019767761,0.026875002682209014,-0.014218755662441254,-0.02343750685453415,-0.004687504768371582,76,92,32,2000,20361535
step-000000,0,ocr,paired_preference,vision,blind,200,0.03,0.0,0.03,0.01,0.055,6,0,194,2000,20360944
step-000000,0,ocr,mean_margin,vision,blind,200,0.0331831223737626,0.0,0.0331831223737626,-0.014743137132553824,0.07890798115730288,94,106,0,2000,20360945
step-000000,0,ocr,paired_preference,vision,blank,200,0.03,0.0,0.03,0.01,0.055,6,0,194,2000,20361044
step-000000,0,ocr,mean_margin,vision,blank,200,0.0331831223737626,0.0,0.0331831223737626,-0.012302099193845444,0.07868005477814448,94,106,0,2000,20361045
step-000000,0,ocr,paired_preference,vision,same_image,200,0.03,0.0,0.03,0.01,0.055,6,0,194,2000,20361144
step-000000,0,ocr,mean_margin,vision,same_image,200,0.0331831223737626,0.0,0.0331831223737626,-0.0157925014722915,0.07930626736368451,94,106,0,2000,20361145
step-000000,0,ocr,paired_preference,vision,shuffled_image,200,0.03,0.02,0.01,-0.02,0.04,5,3,192,2000,20361244
step-000000,0,ocr,mean_margin,vision,shuffled_image,200,0.0331831223737626,0.026505015168871188,0.006678107204891409,-0.05786776068097067,0.06988920626186186,92,108,0,2000,20361245
step-000000,0,ocr,paired_preference,vision,patch_permutation,200,0.03,0.05,-0.02,-0.055,0.015,4,8,188,2000,20361344
