checkpoint,examples_seen,task,metric,a,b,denominator,mean_a,mean_b,mean_gap,ci95_low,ci95_high,a_only_better,b_only_better,equal,bootstrap_samples,seed
step-000000,0,overall,paired_preference,,,1200,0.028333333333333332,0.0,0.028333333333333332,0.02,0.03833333333333333,34,0,1166,2000,20260804
step-000000,0,overall,mean_margin,,,1200,0.012338334139377355,0.0,0.012338334139377355,-0.00031491250367391403,0.02463429739692855,544,596,60,2000,20260805
step-000000,0,color,paired_preference,,,200,0.015,0.0,0.015,0.0,0.035,3,0,197,2000,20260814
step-000000,0,color,mean_margin,,,200,-0.05343745470046997,0.0,-0.05343745470046997,-0.08132809162139892,-0.02492182731628418,78,115,7,2000,20260815
step-000000,0,coordinate,paired_preference,,,200,0.07,0.0,0.07,0.035,0.11,14,0,186,2000,20260824
step-000000,0,coordinate,mean_margin,,,200,-0.027265390157699586,0.0,-0.027265390157699586,-0.05308573961257935,-0.00027640461921691896,79,121,0,2000,20260825
step-000000,0,count,paired_preference,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260834
step-000000,0,count,mean_margin,,,200,0.012656247019767761,0.0,0.012656247019767761,0.004687498509883881,0.02078124910593033,93,54,53,2000,20260835
step-000000,0,ocr,paired_preference,,,200,0.03,0.0,0.03,0.01,0.055,6,0,194,2000,20260844
step-000000,0,ocr,mean_margin,,,200,0.0331831223737626,0.0,0.0331831223737626,-0.010545520521345575,0.07916363735426044,94,106,0,2000,20260845
step-000000,0,shape,paired_preference,,,200,0.055,0.0,0.055,0.025,0.09,11,0,189,2000,20260854
step-000000,0,shape,mean_margin,,,200,-0.0214843487739563,0.0,-0.0214843487739563,-0.056718722581863404,0.012109394073486329,100,100,0,2000,20260855
step-000000,0,spatial,paired_preference,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260864
step-000000,0,spatial,mean_margin,,,200,0.13037782907485962,0.0,0.13037782907485962,0.10650208830833435,0.15384368300437928,100,100,0,2000,20260865
step-000000,0,overall,paired_preference,,,1200,0.0,0.0,0.0,0.0,0.0,0,0,1200,2000,20260904
step-000000,0,overall,mean_margin,,,1200,0.0,0.0,0.0,0.0,0.0,0,0,1200,2000,20260905
step-000000,0,color,paired_preference,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260914
step-000000,0,color,mean_margin,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260915
step-000000,0,coordinate,paired_preference,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260924
step-000000,0,coordinate,mean_margin,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260925
step-000000,0,count,paired_preference,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260934
step-000000,0,count,mean_margin,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260935
step-000000,0,ocr,paired_preference,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260944
step-000000,0,ocr,mean_margin,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260945
step-000000,0,shape,paired_preference,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260954
step-000000,0,shape,mean_margin,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260955
step-000000,0,spatial,paired_preference,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260964
step-000000,0,spatial,mean_margin,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20260965
step-000000,0,overall,paired_preference,,,1200,0.0,0.0,0.0,0.0,0.0,0,0,1200,2000,20261004
step-000000,0,overall,mean_margin,,,1200,0.0,0.0,0.0,0.0,0.0,0,0,1200,2000,20261005
step-000000,0,color,paired_preference,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20261014
step-000000,0,color,mean_margin,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20261015
step-000000,0,coordinate,paired_preference,,,200,0.0,0.0,0.0,0.0,0.0,0,0,200,2000,20261024
