comparison,checkpoint,site,pairs,records,mean_delta,ci95_low,ci95_high,bootstrap_samples,seed
vision_vs_random_label_probe,step-000000,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20260807
vision_vs_paired_counterfactual_image,step-000000,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20260808
vision_vs_shuffled_image,step-000000,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20260809
vision_vs_patch_permutation,step-000000,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20260810
vision_vs_random_label_probe,step-000000,layer_00_image_mean,200,400,0.805,0.77,0.8375,2000,20260808
vision_vs_paired_counterfactual_image,step-000000,layer_00_image_mean,200,400,1.0,1.0,1.0,2000,20260818
vision_vs_shuffled_image,step-000000,layer_00_image_mean,200,400,0.7625,0.72,0.8000624999999997,2000,20260819
vision_vs_patch_permutation,step-000000,layer_00_image_mean,200,400,0.0,0.0,0.0,2000,20260820
vision_vs_random_label_probe,step-000000,layer_01_assistant,200,400,0.33,0.2825,0.38,2000,20260809
vision_vs_paired_counterfactual_image,step-000000,layer_01_assistant,200,400,0.43,0.3724375,0.4875,2000,20260828
vision_vs_shuffled_image,step-000000,layer_01_assistant,200,400,0.345,0.2925,0.39506249999999965,2000,20260829
vision_vs_patch_permutation,step-000000,layer_01_assistant,200,400,-0.0075,-0.0575,0.0425,2000,20260830
vision_vs_random_label_probe,step-000000,layer_01_image_mean,200,400,0.805,0.7725,0.8375,2000,20260810
vision_vs_paired_counterfactual_image,step-000000,layer_01_image_mean,200,400,1.0,1.0,1.0,2000,20260838
vision_vs_shuffled_image,step-000000,layer_01_image_mean,200,400,0.7625,0.7225,0.805,2000,20260839
vision_vs_patch_permutation,step-000000,layer_01_image_mean,200,400,0.0,0.0,0.0,2000,20260840
vision_vs_random_label_probe,step-000000,layer_02_assistant,200,400,0.3575,0.3175,0.4,2000,20260811
vision_vs_paired_counterfactual_image,step-000000,layer_02_assistant,200,400,0.615,0.56,0.6675,2000,20260848
vision_vs_shuffled_image,step-000000,layer_02_assistant,200,400,0.4975,0.4525,0.545,2000,20260849
vision_vs_patch_permutation,step-000000,layer_02_assistant,200,400,0.005,0.0,0.0125,2000,20260850
vision_vs_random_label_probe,step-000000,layer_02_image_mean,200,400,0.795,0.76,0.8275,2000,20260812
vision_vs_paired_counterfactual_image,step-000000,layer_02_image_mean,200,400,1.0,1.0,1.0,2000,20260858
vision_vs_shuffled_image,step-000000,layer_02_image_mean,200,400,0.7625,0.7225,0.8,2000,20260859
vision_vs_patch_permutation,step-000000,layer_02_image_mean,200,400,0.0,0.0,0.0,2000,20260860
vision_vs_random_label_probe,step-000000,layer_03_assistant,200,400,0.705,0.665,0.7425,2000,20260813
vision_vs_paired_counterfactual_image,step-000000,layer_03_assistant,200,400,1.0,1.0,1.0,2000,20260868
vision_vs_shuffled_image,step-000000,layer_03_assistant,200,400,0.7625,0.72,0.8025,2000,20260869
vision_vs_patch_permutation,step-000000,layer_03_assistant,200,400,0.0225,0.01,0.0375,2000,20260870
vision_vs_random_label_probe,step-000000,layer_03_image_mean,200,400,0.725,0.685,0.765,2000,20260814
vision_vs_paired_counterfactual_image,step-000000,layer_03_image_mean,200,400,1.0,1.0,1.0,2000,20260878
vision_vs_shuffled_image,step-000000,layer_03_image_mean,200,400,0.7625,0.72,0.8025,2000,20260879
