checkpoint,site,condition,records,target_accuracy,target_balanced_accuracy,source_accuracy,random_label_target_accuracy,alpha,pair_null_mean,pair_null_ci95_low,pair_null_ci95_high,pair_permutation_p,pair_permutation_samples
step-000000,layer_00_assistant,vision,400,0.2849999964237213,0.25,0.2849999964237213,0.2849999964237213,1.0,0.2849999964237213,0.2849999964237213,0.2849999964237213,1.0,2000
step-000000,layer_00_assistant,paired_counterfactual_image,400,0.2849999964237213,0.25,0.2849999964237213,0.2849999964237213,1.0,,,,,0
step-000000,layer_00_assistant,shuffled_image,400,0.2849999964237213,0.25,0.2849999964237213,0.2849999964237213,1.0,,,,,0
step-000000,layer_00_assistant,patch_permutation,400,0.2849999964237213,0.25,0.2849999964237213,0.2849999964237213,1.0,,,,,0
step-000000,layer_00_image_mean,vision,400,1.0,1.0,1.0,0.19499999284744263,1.0,0.25306374952197075,0.20749999582767487,0.29750001430511475,0.0004997501249375312,2000
step-000000,layer_00_image_mean,paired_counterfactual_image,400,0.0,0.0,1.0,0.29999998211860657,1.0,,,,,0
step-000000,layer_00_image_mean,shuffled_image,400,0.23749999701976776,0.23424719274044037,1.0,0.2775000035762787,1.0,,,,,0
step-000000,layer_00_image_mean,patch_permutation,400,1.0,1.0,1.0,0.19499999284744263,1.0,,,,,0
step-000000,layer_01_assistant,vision,400,0.5674999952316284,0.5622807145118713,0.5674999952316284,0.23749999701976776,1.0,0.2502537493929267,0.2150000035762787,0.2849999964237213,0.0004997501249375312,2000
step-000000,layer_01_assistant,paired_counterfactual_image,400,0.13750000298023224,0.14030611515045166,0.5674999952316284,0.23749999701976776,1.0,,,,,0
step-000000,layer_01_assistant,shuffled_image,400,0.2224999964237213,0.2210884392261505,0.5674999952316284,0.23749999701976776,1.0,,,,,0
step-000000,layer_01_assistant,patch_permutation,400,0.574999988079071,0.5621773600578308,0.574999988079071,0.23999999463558197,1.0,,,,,0
step-000000,layer_01_image_mean,vision,400,1.0,1.0,1.0,0.19499999284744263,1.0,0.2528199995458126,0.20499999821186066,0.30000001192092896,0.0004997501249375312,2000
step-000000,layer_01_image_mean,paired_counterfactual_image,400,0.0,0.0,1.0,0.3075000047683716,1.0,,,,,0
step-000000,layer_01_image_mean,shuffled_image,400,0.23749999701976776,0.23424719274044037,1.0,0.2849999964237213,1.0,,,,,0
step-000000,layer_01_image_mean,patch_permutation,400,1.0,1.0,1.0,0.19499999284744263,1.0,,,,,0
step-000000,layer_02_assistant,vision,400,0.7149999737739563,0.75,0.7149999737739563,0.35749998688697815,1.0,0.23871249956637622,0.20250000059604645,0.2775000035762787,0.0004997501249375312,2000
step-000000,layer_02_assistant,paired_counterfactual_image,400,0.09999999403953552,0.10642966628074646,0.7149999737739563,0.17749999463558197,1.0,,,,,0
step-000000,layer_02_assistant,shuffled_image,400,0.2175000011920929,0.22960858047008514,0.7149999737739563,0.2474999874830246,1.0,,,,,0
step-000000,layer_02_assistant,patch_permutation,400,0.7099999785423279,0.7447368502616882,0.7099999785423279,0.28999999165534973,1.0,,,,,0
step-000000,layer_02_image_mean,vision,400,1.0,1.0,1.0,0.20499999821186066,1.0,0.2528937493190169,0.20993749350309374,0.29750001430511475,0.0004997501249375312,2000
step-000000,layer_02_image_mean,paired_counterfactual_image,400,0.0,0.0,1.0,0.3075000047683716,1.0,,,,,0
step-000000,layer_02_image_mean,shuffled_image,400,0.23749999701976776,0.23424719274044037,1.0,0.29249998927116394,1.0,,,,,0
step-000000,layer_02_image_mean,patch_permutation,400,1.0,1.0,1.0,0.1599999964237213,1.0,,,,,0
step-000000,layer_03_assistant,vision,400,1.0,1.0,1.0,0.29499998688697815,1.0,0.2528174994662404,0.20749999582767487,0.30000001192092896,0.0004997501249375312,2000
step-000000,layer_03_assistant,paired_counterfactual_image,400,0.0,0.0,1.0,0.2199999988079071,1.0,,,,,0
