family,checkpoint_a,intervention_a,checkpoint_b,intervention_b,layer_index,records,pairs,mean_delta,ci95_low,ci95_high,bootstrap_samples,bootstrap_seed
correct_image_minus_wrong_label_donor,step-000000,correct_image_span,step-000000,wrong_label_donor_image_span,0,100,50,-0.018125,-0.12407812500000001,0.08907031249999996,2000,20260810
correct_image_minus_zero_donor,step-000000,correct_image_span,step-000000,zero_image_span,0,100,50,0.005,-0.0515625,0.06500781249999996,2000,20260811
correct_image_minus_wrong_label_donor,step-000000,correct_image_span,step-000000,wrong_label_donor_image_span,5,100,50,-0.059375,-0.185625,0.06564062499999991,2000,20260812
correct_image_minus_zero_donor,step-000000,correct_image_span,step-000000,zero_image_span,5,100,50,-0.02625,-0.1328125,0.07907421874999992,2000,20260813
correct_image_minus_wrong_label_donor,step-000000,correct_image_span,step-000000,wrong_label_donor_image_span,11,100,50,-0.1709375,-0.27440624999999996,-0.06875,2000,20260814
correct_image_minus_zero_donor,step-000000,correct_image_span,step-000000,zero_image_span,11,100,50,-0.3190625,-0.4561015625,-0.1823281250000001,2000,20260815
correct_image_minus_wrong_label_donor,step-000000,correct_image_span,step-000000,wrong_label_donor_image_span,17,100,50,-0.0446875,-0.1303203125,0.041875,2000,20260816
correct_image_minus_zero_donor,step-000000,correct_image_span,step-000000,zero_image_span,17,100,50,0.08875,0.00125,0.18002343749999986,2000,20260817
correct_image_minus_wrong_label_donor,step-000000,correct_image_span,step-000000,wrong_label_donor_image_span,23,100,50,0.0,0.0,0.0,2000,20260818
correct_image_minus_zero_donor,step-000000,correct_image_span,step-000000,zero_image_span,23,100,50,0.0,0.0,0.0,2000,20260819
outer_input_minus_center_input,step-000000,input_clean_outer,step-000000,input_clean_center,-1,100,50,-0.335,-0.485015625,-0.1855937500000002,2000,20260820
full_input_minus_outer_input,step-000000,input_clean_full,step-000000,input_clean_outer,-1,100,50,0.1646875,0.12561718749999998,0.20594531249999995,2000,20260821
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,0,100,50,0.0696875,-0.056890625,0.2140937499999998,2000,20260822
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,1,100,50,0.1190625,-0.0362578125,0.2712812499999998,2000,20260823
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,2,100,50,0.1296875,-0.020015625,0.2740625,2000,20260824
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,3,100,50,0.1021875,-0.039390625,0.2559921874999997,2000,20260825
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,4,100,50,0.00875,-0.138140625,0.1459375,2000,20260826
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,5,100,50,-0.0496875,-0.213140625,0.10375781249999995,2000,20260827
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,6,100,50,-0.2615625,-0.4234453125,-0.1115625,2000,20260828
correct_image_minus_assistant,step-000000,correct_image_span,step-000000,correct_assistant,7,100,50,-0.2475,-0.4106328125,-0.09308593750000022,2000,20260829
