checkpoint,intervention,layer_index,records,pairs,mean_clean_margin,mean_counterfactual_margin,mean_patched_margin,mean_effect,effect_ci95_low,effect_ci95_high,patched_preference_rate,bootstrap_samples,bootstrap_seed
step-000000,correct_assistant,0,100,50,-0.0028125,0.0028125,-0.0140625,-0.016875,-0.0390703125,0.0071875,0.5,2000,20280807
step-000000,correct_assistant,1,100,50,-0.0028125,0.0028125,0.0053125,0.0025,-0.0153125,0.0203125,0.46,2000,20280808
step-000000,correct_assistant,2,100,50,-0.0028125,0.0028125,0.009375,0.0065625,-0.015625,0.027195312499999957,0.49,2000,20280809
step-000000,correct_assistant,3,100,50,-0.0028125,0.0028125,0.018125,0.0153125,-0.00375,0.036875,0.46,2000,20280810
step-000000,correct_assistant,4,100,50,-0.0028125,0.0028125,-0.00625,-0.0090625,-0.03,0.011570312499999957,0.46,2000,20280811
step-000000,correct_assistant,5,100,50,-0.0028125,0.0028125,-0.0228125,-0.025625,-0.07625,0.0209375,0.5,2000,20280812
step-000000,correct_assistant,6,100,50,-0.0028125,0.0028125,0.035625,0.0328125,-0.0165703125,0.07875781249999995,0.5,2000,20280813
step-000000,correct_assistant,7,100,50,-0.0028125,0.0028125,0.050625,0.0478125,-0.0053125,0.0996875,0.5,2000,20280814
step-000000,correct_assistant,8,100,50,-0.0028125,0.0028125,0.0703125,0.0675,0.005304687500000001,0.12469531249999996,0.5,2000,20280815
step-000000,correct_assistant,9,100,50,-0.0028125,0.0028125,0.14625,0.1434375,0.0740625,0.210625,0.5,2000,20280816
step-000000,correct_assistant,10,100,50,-0.0028125,0.0028125,0.1790625,0.17625,0.1043671875,0.2428125,0.5,2000,20280817
step-000000,correct_assistant,11,100,50,-0.0028125,0.0028125,0.1459375,0.143125,0.065625,0.2159375,0.5,2000,20280818
step-000000,correct_assistant,12,100,50,-0.0028125,0.0028125,0.251875,0.2490625,0.1765546875,0.3171953125,0.46,2000,20280819
step-000000,correct_assistant,13,100,50,-0.0028125,0.0028125,0.28,0.2771875,0.191234375,0.3618984374999999,0.46,2000,20280820
step-000000,correct_assistant,14,100,50,-0.0028125,0.0028125,0.0965625,0.09375,0.012179687500000001,0.17973437499999975,0.46,2000,20280821
step-000000,correct_assistant,15,100,50,-0.0028125,0.0028125,0.1096875,0.106875,0.007179687500000001,0.21407031249999994,0.46,2000,20280822
step-000000,correct_assistant,16,100,50,-0.0028125,0.0028125,0.0828125,0.08,-0.026875,0.18938281249999994,0.46,2000,20280823
step-000000,correct_assistant,17,100,50,-0.0028125,0.0028125,0.113125,0.1103125,0.0071875,0.2228281249999999,0.46,2000,20280824
step-000000,correct_assistant,18,100,50,-0.0028125,0.0028125,0.08125,0.0784375,-0.022195312499999998,0.18752343749999986,0.46,2000,20280825
step-000000,correct_assistant,19,100,50,-0.0028125,0.0028125,0.048125,0.0453125,-0.063453125,0.15813281249999994,0.46,2000,20280826
step-000000,correct_assistant,20,100,50,-0.0028125,0.0028125,0.055,0.0521875,-0.069375,0.18503124999999981,0.5,2000,20280827
step-000000,correct_assistant,21,100,50,-0.0028125,0.0028125,0.1296875,0.126875,-0.0025078124999999996,0.2647421874999997,0.54,2000,20280828
step-000000,correct_assistant,22,100,50,-0.0028125,0.0028125,0.0446875,0.041875,-0.0943828125,0.18000781249999995,0.5,2000,20280829
step-000000,correct_assistant,23,100,50,-0.0028125,0.0028125,-0.0159375,-0.01875,-0.14532031250000002,0.10157812499999991,0.47,2000,20280830
