checkpoint,intervention,layer_index,records,pairs,mean_clean_margin,mean_counterfactual_margin,mean_patched_margin,mean_effect,effect_ci95_low,effect_ci95_high,patched_preference_rate,bootstrap_samples,bootstrap_seed
step-001500,correct_assistant,0,4,2,0.234375,-0.234375,-0.234375,0.0,-0.03125,0.03125,0.5,2000,20280807
step-001500,correct_assistant,23,4,2,0.234375,-0.234375,0.234375,0.46875,0.0625,0.875,0.5,2000,20280808
step-001500,correct_image_span,0,4,2,0.234375,-0.234375,0.203125,0.4375,0.0625,0.8125,0.5,2000,20280809
step-001500,correct_image_span,23,4,2,0.234375,-0.234375,-0.234375,0.0,0.0,0.0,0.5,2000,20280810
step-001500,input_clean_center,-1,4,2,0.234375,-0.234375,-0.25,-0.015625,-0.03125,0.0,0.5,2000,20280811
step-001500,input_clean_full,-1,4,2,0.234375,-0.234375,0.234375,0.46875,0.0625,0.875,0.5,2000,20280812
step-001500,input_clean_outer,-1,4,2,0.234375,-0.234375,0.25,0.484375,0.0625,0.90625,0.5,2000,20280813
step-001500,wrong_label_donor_image_span,0,4,2,0.234375,-0.234375,0.203125,0.4375,0.375,0.5,0.5,2000,20280814
step-001500,wrong_label_donor_image_span,23,4,2,0.234375,-0.234375,-0.234375,0.0,0.0,0.0,0.5,2000,20280815
step-001500,zero_image_span,0,4,2,0.234375,-0.234375,-0.015625,0.21875,0.03125,0.40625,0.5,2000,20280816
step-001500,zero_image_span,23,4,2,0.234375,-0.234375,-0.234375,0.0,0.0,0.0,0.5,2000,20280817
