family,modality,metric,state_a,condition_a,state_b,condition_b,task,denominator,sum_a,sum_b,mean_a,mean_b,mean_gap,a_only_better,b_only_better,equal,ci95_low,ci95_high,bootstrap_samples,seed
fixed_minus_ordinary_step75,preference,paired_preference,fixed-step75,vision,ordinary-step75,vision,overall,1200,571.0,662.0,0.47583333333333333,0.5516666666666666,-0.07583333333333334,32,123,1045,-0.09666666666666666,-0.055,2000,20260827
fixed_minus_ordinary_step75,preference,paired_preference,fixed-step75,vision,ordinary-step75,vision,color,200,150.0,167.0,0.75,0.835,-0.085,4,21,175,-0.135,-0.035,2000,20260828
fixed_minus_ordinary_step75,preference,paired_preference,fixed-step75,vision,ordinary-step75,vision,coordinate,200,114.0,102.0,0.57,0.51,0.06,17,5,178,0.015,0.105,2000,20260829
fixed_minus_ordinary_step75,preference,paired_preference,fixed-step75,vision,ordinary-step75,vision,count,200,15.0,15.0,0.075,0.075,0.0,1,1,198,-0.015,0.015,2000,20260830
fixed_minus_ordinary_step75,preference,paired_preference,fixed-step75,vision,ordinary-step75,vision,ocr,200,35.0,38.0,0.175,0.19,-0.015,1,4,195,-0.04,0.005,2000,20260831
fixed_minus_ordinary_step75,preference,paired_preference,fixed-step75,vision,ordinary-step75,vision,shape,200,107.0,140.0,0.535,0.7,-0.165,9,42,149,-0.235,-0.1,2000,20260832
fixed_minus_ordinary_step75,preference,paired_preference,fixed-step75,vision,ordinary-step75,vision,spatial,200,150.0,200.0,0.75,1.0,-0.25,0,50,150,-0.31,-0.19,2000,20260833
fixed_minus_ordinary_step75,preference,sample_preference,fixed-step75,vision,ordinary-step75,vision,overall,1200,875.5,921.0,0.7295833333333334,0.7675,-0.03791666666666667,34,125,1041,-0.0475,-0.028333333333333332,2000,20260834
fixed_minus_ordinary_step75,preference,sample_preference,fixed-step75,vision,ordinary-step75,vision,color,200,175.0,183.5,0.875,0.9175,-0.0425,4,21,175,-0.0675,-0.02,2000,20260835
fixed_minus_ordinary_step75,preference,sample_preference,fixed-step75,vision,ordinary-step75,vision,coordinate,200,157.0,151.0,0.785,0.755,0.03,17,5,178,0.0075,0.0525,2000,20260836
fixed_minus_ordinary_step75,preference,sample_preference,fixed-step75,vision,ordinary-step75,vision,count,200,97.5,97.5,0.4875,0.4875,0.0,3,3,194,-0.0125,0.0125,2000,20260837
