modality,state,condition,task,metric,pairs,mean
preference,frozen-base,paired_counterfactual_image,overall,paired_preference,1200,0.005833333333333334
preference,frozen-base,paired_counterfactual_image,overall,sample_preference,1200,0.23541666666666666
preference,frozen-base,paired_counterfactual_image,overall,mean_margin,1200,-1.7913725143226968
preference,frozen-base,paired_counterfactual_image,color,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,color,sample_preference,200,0.165
preference,frozen-base,paired_counterfactual_image,color,mean_margin,200,-2.14906249884516
preference,frozen-base,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,coordinate,sample_preference,200,0.2925
preference,frozen-base,paired_counterfactual_image,coordinate,mean_margin,200,-0.6878134559839963
preference,frozen-base,paired_counterfactual_image,count,paired_preference,200,0.03
preference,frozen-base,paired_counterfactual_image,count,sample_preference,200,0.285
preference,frozen-base,paired_counterfactual_image,count,mean_margin,200,-0.3317187450826168
preference,frozen-base,paired_counterfactual_image,ocr,paired_preference,200,0.005
preference,frozen-base,paired_counterfactual_image,ocr,sample_preference,200,0.425
preference,frozen-base,paired_counterfactual_image,ocr,mean_margin,200,-0.5105445665291378
preference,frozen-base,paired_counterfactual_image,shape,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,shape,sample_preference,200,0.12
preference,frozen-base,paired_counterfactual_image,shape,mean_margin,200,-6.109453103743144
preference,frozen-base,paired_counterfactual_image,spatial,paired_preference,200,0.0
preference,frozen-base,paired_counterfactual_image,spatial,sample_preference,200,0.125
preference,frozen-base,paired_counterfactual_image,spatial,mean_margin,200,-0.9596427157521248
preference,frozen-base,shuffled_image,overall,paired_preference,1200,0.11416666666666667
preference,frozen-base,shuffled_image,overall,sample_preference,1200,0.42625
preference,frozen-base,shuffled_image,overall,mean_margin,1200,-0.21532882158500272
preference,frozen-base,shuffled_image,color,paired_preference,200,0.16
preference,frozen-base,shuffled_image,color,sample_preference,200,0.4575
preference,frozen-base,shuffled_image,color,mean_margin,200,-0.03375000894069671
preference,frozen-base,shuffled_image,coordinate,paired_preference,200,0.09
preference,frozen-base,shuffled_image,coordinate,sample_preference,200,0.5125
preference,frozen-base,shuffled_image,coordinate,mean_margin,200,-0.004405829161405563
preference,frozen-base,shuffled_image,count,paired_preference,200,0.165
preference,frozen-base,shuffled_image,count,sample_preference,200,0.4625
preference,frozen-base,shuffled_image,count,mean_margin,200,-0.023750002682209014
preference,frozen-base,shuffled_image,ocr,paired_preference,200,0.08
preference,frozen-base,shuffled_image,ocr,sample_preference,200,0.5175
preference,frozen-base,shuffled_image,ocr,mean_margin,200,0.02022860912481945
preference,frozen-base,shuffled_image,shape,paired_preference,200,0.19
preference,frozen-base,shuffled_image,shape,sample_preference,200,0.4825
preference,frozen-base,shuffled_image,shape,mean_margin,200,-0.532421865639626
preference,frozen-base,shuffled_image,spatial,paired_preference,200,0.0
preference,frozen-base,shuffled_image,spatial,sample_preference,200,0.125
preference,frozen-base,shuffled_image,spatial,mean_margin,200,-0.7178738322108984
preference,frozen-base,vision,overall,paired_preference,1200,0.5116666666666667
preference,frozen-base,vision,overall,sample_preference,1200,0.7520833333333333
preference,frozen-base,vision,overall,mean_margin,1200,1.7913725143226968
preference,frozen-base,vision,color,paired_preference,200,0.635
preference,frozen-base,vision,color,sample_preference,200,0.8175
preference,frozen-base,vision,color,mean_margin,200,2.14906249884516
preference,frozen-base,vision,coordinate,paired_preference,200,0.415
preference,frozen-base,vision,coordinate,sample_preference,200,0.7075
preference,frozen-base,vision,coordinate,mean_margin,200,0.6878134559839963
preference,frozen-base,vision,count,paired_preference,200,0.38
preference,frozen-base,vision,count,sample_preference,200,0.67
preference,frozen-base,vision,count,mean_margin,200,0.3317187450826168
preference,frozen-base,vision,ocr,paired_preference,200,0.155
preference,frozen-base,vision,ocr,sample_preference,200,0.575
preference,frozen-base,vision,ocr,mean_margin,200,0.5105445665291378
preference,frozen-base,vision,shape,paired_preference,200,0.735
preference,frozen-base,vision,shape,sample_preference,200,0.8675
preference,frozen-base,vision,shape,mean_margin,200,6.109453103743144
preference,frozen-base,vision,spatial,paired_preference,200,0.75
preference,frozen-base,vision,spatial,sample_preference,200,0.875
preference,frozen-base,vision,spatial,mean_margin,200,0.9596427157521248
preference,exchange-step50,paired_counterfactual_image,overall,paired_preference,1200,0.005833333333333334
preference,exchange-step50,paired_counterfactual_image,overall,sample_preference,1200,0.23541666666666666
preference,exchange-step50,paired_counterfactual_image,overall,mean_margin,1200,-1.7913725143226968
preference,exchange-step50,paired_counterfactual_image,color,paired_preference,200,0.0
preference,exchange-step50,paired_counterfactual_image,color,sample_preference,200,0.165
preference,exchange-step50,paired_counterfactual_image,color,mean_margin,200,-2.14906249884516
preference,exchange-step50,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,exchange-step50,paired_counterfactual_image,coordinate,sample_preference,200,0.2925
preference,exchange-step50,paired_counterfactual_image,coordinate,mean_margin,200,-0.6878134559839963
preference,exchange-step50,paired_counterfactual_image,count,paired_preference,200,0.03
