task,policy,step50,step75,step100,ability_auc,forgetting_auc,endpoint_minus_exchange,recovered_within_tolerance
color,ordinary,0.635,0.835,0.735,0.76,0.0,0.09999999999999998,True
color,fixed,0.635,0.75,0.805,0.735,0.0,0.17000000000000004,True
color,triggered,0.635,0.835,0.7,0.75125,0.0,0.06499999999999995,True
coordinate,ordinary,0.415,0.51,0.575,0.5025,0.0,0.15999999999999998,True
coordinate,fixed,0.415,0.57,0.545,0.525,0.0,0.13000000000000006,True
coordinate,triggered,0.415,0.51,0.65,0.52125,0.0,0.23500000000000004,True
count,ordinary,0.38,0.075,0.1,0.1575,0.2225,-0.28,False
count,fixed,0.38,0.075,0.49,0.255,0.1525,0.10999999999999999,True
count,triggered,0.38,0.075,0.275,0.20125,0.17875,-0.10499999999999998,False
ocr,ordinary,0.155,0.19,0.22,0.18875,0.0,0.065,True
ocr,fixed,0.155,0.175,0.195,0.175,0.0,0.04000000000000001,True
ocr,triggered,0.155,0.19,0.155,0.1725,0.0,0.0,True
shape,ordinary,0.735,0.7,0.435,0.6425,0.0925,-0.3,False
shape,fixed,0.735,0.535,0.555,0.59,0.14499999999999996,-0.17999999999999994,False
shape,triggered,0.735,0.7,0.435,0.6425,0.0925,-0.3,False
spatial,ordinary,0.75,1.0,1.0,0.9375,0.0,0.25,True
spatial,fixed,0.75,0.75,1.0,0.8125,0.0,0.25,True
spatial,triggered,0.75,1.0,1.0,0.9375,0.0,0.25,True
