family,modality,metric,checkpoint_a,condition_a,checkpoint_b,condition_b,task,denominator,sum_a,sum_b,mean_a,mean_b,mean_gap,a_only_better,b_only_better,equal,ci95_low,ci95_high,bootstrap_samples,seed
vision_minus_condition,preference,paired_preference,step-000000,vision,step-000000,background_matched_aux,overall,1200,34.0,23.0,0.028333333333333332,0.019166666666666665,0.009166666666666667,23,12,1165,-0.0008333333333333334,0.019166666666666665,2000,20260816
vision_minus_condition,preference,paired_preference,step-000000,vision,step-000000,paired_counterfactual_image,overall,1200,34.0,19.0,0.028333333333333332,0.015833333333333335,0.0125,34,19,1147,0.0008333333333333334,0.024166666666666666,2000,20260817
vision_minus_condition,preference,paired_preference,step-000000,vision,step-000000,shuffled_image,overall,1200,34.0,26.0,0.028333333333333332,0.021666666666666667,0.006666666666666667,30,22,1148,-0.005,0.018333333333333333,2000,20260818
checkpoint_minus_baseline,preference,paired_preference,step-000000,vision,step-001500,vision,overall,1200,34.0,26.0,0.028333333333333332,0.021666666666666667,0.006666666666666667,34,26,1140,-0.005833333333333334,0.020833333333333332,2000,20260819
vision_minus_condition,preference,sample_preference,step-000000,vision,step-000000,background_matched_aux,overall,1200,601.5,586.0,0.50125,0.48833333333333334,0.012916666666666667,54,22,1124,0.00625,0.02,2000,20260820
vision_minus_condition,preference,sample_preference,step-000000,vision,step-000000,paired_counterfactual_image,overall,1200,601.5,589.5,0.50125,0.49125,0.01,36,27,1137,-0.0020833333333333333,0.022083333333333333,2000,20260821
vision_minus_condition,preference,sample_preference,step-000000,vision,step-000000,shuffled_image,overall,1200,601.5,595.5,0.50125,0.49625,0.005,52,39,1109,-0.004583333333333333,0.014166666666666666,2000,20260822
checkpoint_minus_baseline,preference,sample_preference,step-000000,vision,step-001500,vision,overall,1200,601.5,584.5,0.50125,0.4870833333333333,0.014166666666666666,91,57,1052,0.004166666666666667,0.024166666666666666,2000,20260823
vision_minus_condition,preference,mean_margin,step-000000,vision,step-000000,background_matched_aux,overall,1200,14.806000967252825,-19.629151350543616,0.012338334139377355,-0.016357626125453013,0.028695960264830365,633,533,34,0.013242987022986485,0.04261573651196464,2000,20260824
vision_minus_condition,preference,mean_margin,step-000000,vision,step-000000,paired_counterfactual_image,overall,1200,14.806000967252825,-14.806000967252825,0.012338334139377355,-0.012338334139377355,0.02467666827875471,544,596,60,-0.0014358729975564037,0.051094507104820684,2000,20260825
vision_minus_condition,preference,mean_margin,step-000000,vision,step-000000,shuffled_image,overall,1200,14.806000967252825,9.884428853648046,0.012338334139377355,0.008237024044706704,0.0041013100946706476,613,537,50,-0.014714566519809145,0.02287812257049576,2000,20260826
checkpoint_minus_baseline,preference,mean_margin,step-000000,vision,step-001500,vision,overall,1200,14.806000967252825,21.224753890151074,0.012338334139377355,0.017687294908459227,-0.0053489607690818735,527,591,82,-0.01967025536097705,0.009139353181043313,2000,20260827
vision_minus_condition,preference,paired_preference,step-000000,vision,step-000000,background_matched_aux,color,200,3.0,7.0,0.015,0.035,-0.02,0,4,196,-0.04,-0.005,2000,20260828
