modality,checkpoint,condition,task,metric,pairs,mean
preference,step-000000,background_matched_aux,overall,paired_preference,1200,0.019166666666666665
preference,step-000000,background_matched_aux,overall,sample_preference,1200,0.48833333333333334
preference,step-000000,background_matched_aux,overall,mean_margin,1200,-0.016357626125453013
preference,step-000000,background_matched_aux,color,paired_preference,200,0.035
preference,step-000000,background_matched_aux,color,sample_preference,200,0.46
preference,step-000000,background_matched_aux,color,mean_margin,200,-0.06851561784744263
preference,step-000000,background_matched_aux,coordinate,paired_preference,200,0.03
preference,step-000000,background_matched_aux,coordinate,sample_preference,200,0.4975
preference,step-000000,background_matched_aux,coordinate,mean_margin,200,0.045272074937820435
preference,step-000000,background_matched_aux,count,paired_preference,200,0.005
preference,step-000000,background_matched_aux,count,sample_preference,200,0.4575
preference,step-000000,background_matched_aux,count,mean_margin,200,0.026875002682209014
preference,step-000000,background_matched_aux,ocr,paired_preference,200,0.045
preference,step-000000,background_matched_aux,ocr,sample_preference,200,0.515
preference,step-000000,background_matched_aux,ocr,mean_margin,200,0.042224249510538006
preference,step-000000,background_matched_aux,shape,paired_preference,200,0.0
preference,step-000000,background_matched_aux,shape,sample_preference,200,0.5
preference,step-000000,background_matched_aux,shape,mean_margin,200,-0.10960940718650818
preference,step-000000,background_matched_aux,spatial,paired_preference,200,0.0
preference,step-000000,background_matched_aux,spatial,sample_preference,200,0.5
preference,step-000000,background_matched_aux,spatial,mean_margin,200,-0.03439205884933472
preference,step-000000,paired_counterfactual_image,overall,paired_preference,1200,0.015833333333333335
preference,step-000000,paired_counterfactual_image,overall,sample_preference,1200,0.49125
preference,step-000000,paired_counterfactual_image,overall,mean_margin,1200,-0.012338334139377355
preference,step-000000,paired_counterfactual_image,color,paired_preference,200,0.07
preference,step-000000,paired_counterfactual_image,color,sample_preference,200,0.5275
preference,step-000000,paired_counterfactual_image,color,mean_margin,200,0.05343745470046997
preference,step-000000,paired_counterfactual_image,coordinate,paired_preference,200,0.0
preference,step-000000,paired_counterfactual_image,coordinate,sample_preference,200,0.465
preference,step-000000,paired_counterfactual_image,coordinate,mean_margin,200,0.027265390157699586
preference,step-000000,paired_counterfactual_image,count,paired_preference,200,0.0
preference,step-000000,paired_counterfactual_image,count,sample_preference,200,0.485
preference,step-000000,paired_counterfactual_image,count,mean_margin,200,-0.012656247019767761
preference,step-000000,paired_counterfactual_image,ocr,paired_preference,200,0.025
preference,step-000000,paired_counterfactual_image,ocr,sample_preference,200,0.4975
preference,step-000000,paired_counterfactual_image,ocr,mean_margin,200,-0.0331831223737626
preference,step-000000,paired_counterfactual_image,shape,paired_preference,200,0.0
preference,step-000000,paired_counterfactual_image,shape,sample_preference,200,0.4725
preference,step-000000,paired_counterfactual_image,shape,mean_margin,200,0.0214843487739563
preference,step-000000,paired_counterfactual_image,spatial,paired_preference,200,0.0
preference,step-000000,paired_counterfactual_image,spatial,sample_preference,200,0.5
preference,step-000000,paired_counterfactual_image,spatial,mean_margin,200,-0.13037782907485962
preference,step-000000,shuffled_image,overall,paired_preference,1200,0.021666666666666667
preference,step-000000,shuffled_image,overall,sample_preference,1200,0.49625
preference,step-000000,shuffled_image,overall,mean_margin,1200,0.008237024044706704
preference,step-000000,shuffled_image,color,paired_preference,200,0.04
preference,step-000000,shuffled_image,color,sample_preference,200,0.4925
preference,step-000000,shuffled_image,color,mean_margin,200,-0.01593750238418579
preference,step-000000,shuffled_image,coordinate,paired_preference,200,0.03
preference,step-000000,shuffled_image,coordinate,sample_preference,200,0.5025
preference,step-000000,shuffled_image,coordinate,mean_margin,200,-0.009294219017028808
preference,step-000000,shuffled_image,count,paired_preference,200,0.015
preference,step-000000,shuffled_image,count,sample_preference,200,0.4825
preference,step-000000,shuffled_image,count,mean_margin,200,0.0017187467217445373
preference,step-000000,shuffled_image,ocr,paired_preference,200,0.02
preference,step-000000,shuffled_image,ocr,sample_preference,200,0.495
preference,step-000000,shuffled_image,ocr,mean_margin,200,0.026505015168871188
preference,step-000000,shuffled_image,shape,paired_preference,200,0.025
preference,step-000000,shuffled_image,shape,sample_preference,200,0.505
preference,step-000000,shuffled_image,shape,mean_margin,200,-0.003046877384185791
preference,step-000000,shuffled_image,spatial,paired_preference,200,0.0
preference,step-000000,shuffled_image,spatial,sample_preference,200,0.5
preference,step-000000,shuffled_image,spatial,mean_margin,200,0.0494769811630249
preference,step-000000,vision,overall,paired_preference,1200,0.028333333333333332
preference,step-000000,vision,overall,sample_preference,1200,0.50125
preference,step-000000,vision,overall,mean_margin,1200,0.012338334139377355
preference,step-000000,vision,color,paired_preference,200,0.015
preference,step-000000,vision,color,sample_preference,200,0.4725
preference,step-000000,vision,color,mean_margin,200,-0.05343745470046997
preference,step-000000,vision,coordinate,paired_preference,200,0.07
preference,step-000000,vision,coordinate,sample_preference,200,0.535
preference,step-000000,vision,coordinate,mean_margin,200,-0.027265390157699586
preference,step-000000,vision,count,paired_preference,200,0.0
preference,step-000000,vision,count,sample_preference,200,0.47
preference,step-000000,vision,count,mean_margin,200,0.012656247019767761
preference,step-000000,vision,ocr,paired_preference,200,0.03
preference,step-000000,vision,ocr,sample_preference,200,0.5025
preference,step-000000,vision,ocr,mean_margin,200,0.0331831223737626
preference,step-000000,vision,shape,paired_preference,200,0.055
preference,step-000000,vision,shape,sample_preference,200,0.5275
preference,step-000000,vision,shape,mean_margin,200,-0.0214843487739563
preference,step-000000,vision,spatial,paired_preference,200,0.0
preference,step-000000,vision,spatial,sample_preference,200,0.5
preference,step-000000,vision,spatial,mean_margin,200,0.13037782907485962
preference,step-001500,background_matched_aux,overall,paired_preference,1200,0.0225
preference,step-001500,background_matched_aux,overall,sample_preference,1200,0.51
preference,step-001500,background_matched_aux,overall,mean_margin,1200,0.03579688713238353
preference,step-001500,background_matched_aux,color,paired_preference,200,0.0
preference,step-001500,background_matched_aux,color,sample_preference,200,0.4925
