family,modality,metric,state_a,condition_a,state_b,condition_b,task,denominator,sum_a,sum_b,mean_a,mean_b,mean_gap,a_only_better,b_only_better,equal,ci95_low,ci95_high,bootstrap_samples,seed
interpolation_minus_frozen,preference,paired_preference,projector-interp000,vision,frozen-base,vision,overall,300,158.0,66.0,0.5266666666666666,0.22,0.30666666666666664,94,2,204,0.25333333333333335,0.3566666666666667,2000,20260822
interpolation_minus_alpha1,preference,paired_preference,projector-interp000,vision,projector-interp100,vision,overall,300,158.0,155.0,0.5266666666666666,0.5166666666666667,0.01,41,38,221,-0.04666666666666667,0.06666666666666667,2000,20260823
interpolation_minus_frozen,preference,sample_preference,projector-interp000,vision,frozen-base,vision,overall,300,227.5,182.0,0.7583333333333333,0.6066666666666667,0.15166666666666667,95,5,200,0.12333333333333334,0.18,2000,20260824
interpolation_minus_alpha1,preference,sample_preference,projector-interp000,vision,projector-interp100,vision,overall,300,227.5,225.0,0.7583333333333333,0.75,0.008333333333333333,42,38,220,-0.021666666666666667,0.03833333333333333,2000,20260825
interpolation_minus_frozen,preference,mean_margin,projector-interp000,vision,frozen-base,vision,overall,300,543.7104052717054,292.0251442624345,1.8123680175723516,0.9734171475414483,0.8389508700309033,283,16,1,0.7389805984713677,0.9414691757030031,2000,20260826
interpolation_minus_alpha1,preference,mean_margin,projector-interp000,vision,projector-interp100,vision,overall,300,543.7104052717054,759.686394495463,1.8123680175723516,2.5322879816515433,-0.7199199640791917,65,233,2,-0.8985709934333571,-0.5506716797613448,2000,20260827
interpolation_minus_frozen,preference,paired_preference,projector-interp000,vision,frozen-base,vision,color,50,29.0,11.0,0.58,0.22,0.36,18,0,32,0.24,0.5,2000,20260828
interpolation_minus_alpha1,preference,paired_preference,projector-interp000,vision,projector-interp100,vision,color,50,29.0,37.0,0.58,0.74,-0.16,4,12,34,-0.3,-0.02,2000,20260829
interpolation_minus_frozen,preference,sample_preference,projector-interp000,vision,frozen-base,vision,color,50,39.5,30.5,0.79,0.61,0.18,18,0,32,0.11,0.25,2000,20260830
interpolation_minus_alpha1,preference,sample_preference,projector-interp000,vision,projector-interp100,vision,color,50,39.5,43.5,0.79,0.87,-0.08,4,12,34,-0.15,0.0,2000,20260831
interpolation_minus_frozen,preference,mean_margin,projector-interp000,vision,frozen-base,vision,color,50,102.81249975413084,30.125000536441803,2.056249995082617,0.6025000107288361,1.4537499843537807,50,0,0,1.1649999864399434,1.7793749246001243,2000,20260832
interpolation_minus_alpha1,preference,mean_margin,projector-interp000,vision,projector-interp100,vision,color,50,102.81249975413084,180.0000012210803,2.056249995082617,3.600000024421606,-1.5437500293389894,1,49,0,-1.7456250982685015,-1.3400000012619422,2000,20260833
interpolation_minus_frozen,preference,paired_preference,projector-interp000,vision,frozen-base,vision,coordinate,50,22.0,1.0,0.44,0.02,0.42,22,1,27,0.26,0.56,2000,20260834
interpolation_minus_alpha1,preference,paired_preference,projector-interp000,vision,projector-interp100,vision,coordinate,50,22.0,27.0,0.44,0.54,-0.1,3,8,39,-0.22,0.02,2000,20260835
interpolation_minus_frozen,preference,sample_preference,projector-interp000,vision,frozen-base,vision,coordinate,50,36.0,25.5,0.72,0.51,0.21,22,1,27,0.13,0.29,2000,20260836
interpolation_minus_alpha1,preference,sample_preference,projector-interp000,vision,projector-interp100,vision,coordinate,50,36.0,38.5,0.72,0.77,-0.05,3,8,39,-0.11,0.01,2000,20260837
interpolation_minus_frozen,preference,mean_margin,projector-interp000,vision,frozen-base,vision,coordinate,50,35.5944567322731,3.2378735542297363,0.711889134645462,0.06475747108459473,0.6471316635608673,50,0,0,0.5048917418718338,0.7895124757289886,2000,20260838
interpolation_minus_alpha1,preference,mean_margin,projector-interp000,vision,projector-interp100,vision,coordinate,50,35.5944567322731,76.88749706745148,0.711889134645462,1.5377499413490296,-0.8258608067035675,0,50,0,-0.9644147554039955,-0.6954151126742363,2000,20260839
interpolation_minus_frozen,preference,paired_preference,projector-interp000,vision,frozen-base,vision,count,50,21.0,8.0,0.42,0.16,0.26,14,1,35,0.14,0.4,2000,20260840
interpolation_minus_alpha1,preference,paired_preference,projector-interp000,vision,projector-interp100,vision,count,50,21.0,6.0,0.42,0.12,0.3,15,0,35,0.18,0.44,2000,20260841
interpolation_minus_frozen,preference,sample_preference,projector-interp000,vision,frozen-base,vision,count,50,34.0,28.0,0.68,0.56,0.12,15,4,31,0.03,0.21,2000,20260842
interpolation_minus_alpha1,preference,sample_preference,projector-interp000,vision,projector-interp100,vision,count,50,34.0,25.5,0.68,0.51,0.17,16,0,34,0.1,0.24,2000,20260843
interpolation_minus_frozen,preference,mean_margin,projector-interp000,vision,frozen-base,vision,count,50,18.281249701976776,2.2187501192092896,0.3656249940395355,0.04437500238418579,0.32124999165534973,44,5,1,0.2506249922513962,0.39999999761581423,2000,20260844
interpolation_minus_alpha1,preference,mean_margin,projector-interp000,vision,projector-interp100,vision,count,50,18.281249701976776,17.562500208616257,0.3656249940395355,0.35125000417232516,0.014374989867210388,18,30,2,-0.08375000983476638,0.11812500447034836,2000,20260845
interpolation_minus_frozen,preference,paired_preference,projector-interp000,vision,frozen-base,vision,ocr,50,9.0,5.0,0.18,0.1,0.08,4,0,46,0.02,0.16,2000,20260846
interpolation_minus_alpha1,preference,paired_preference,projector-interp000,vision,projector-interp100,vision,ocr,50,9.0,11.0,0.18,0.22,-0.04,3,5,42,-0.16,0.06,2000,20260847
interpolation_minus_frozen,preference,sample_preference,projector-interp000,vision,frozen-base,vision,ocr,50,29.5,27.5,0.59,0.55,0.04,4,0,46,0.01,0.08,2000,20260848
interpolation_minus_alpha1,preference,sample_preference,projector-interp000,vision,projector-interp100,vision,ocr,50,29.5,30.5,0.59,0.61,-0.02,3,5,42,-0.07,0.04,2000,20260849
interpolation_minus_frozen,preference,mean_margin,projector-interp000,vision,frozen-base,vision,ocr,50,30.80309904189337,24.095561588378178,0.6160619808378673,0.48191123176756356,0.1341507490703038,40,10,0,0.07943140638442264,0.1955369056292944,2000,20260850
interpolation_minus_alpha1,preference,mean_margin,projector-interp000,vision,projector-interp100,vision,ocr,50,30.80309904189337,38.66087416921343,0.6160619808378673,0.7732174833842685,-0.15715550254640126,12,38,0,-0.23580057621002204,-0.08532252650033864,2000,20260851
interpolation_minus_frozen,preference,paired_preference,projector-interp000,vision,frozen-base,vision,shape,50,40.0,28.0,0.8,0.56,0.24,12,0,38,0.12,0.36,2000,20260852
interpolation_minus_alpha1,preference,paired_preference,projector-interp000,vision,projector-interp100,vision,shape,50,40.0,24.0,0.8,0.48,0.32,16,0,34,0.2,0.46,2000,20260853
interpolation_minus_frozen,preference,sample_preference,projector-interp000,vision,frozen-base,vision,shape,50,45.0,39.0,0.9,0.78,0.12,12,0,38,0.06,0.18,2000,20260854
interpolation_minus_alpha1,preference,sample_preference,projector-interp000,vision,projector-interp100,vision,shape,50,45.0,37.0,0.9,0.74,0.16,16,0,34,0.1,0.22,2000,20260855
interpolation_minus_frozen,preference,mean_margin,projector-interp000,vision,frozen-base,vision,shape,50,307.96874961827416,225.34375235065818,6.159374992365483,4.506875047013164,1.6524999453523197,49,1,0,1.3724999522604049,1.9374999481020496,2000,20260856
interpolation_minus_alpha1,preference,mean_margin,projector-interp000,vision,projector-interp100,vision,shape,50,307.96874961827416,247.32812554389238,6.159374992365483,4.946562510877848,1.2128124814876355,34,16,0,0.754374980458524,1.6971874963724987,2000,20260857
interpolation_minus_frozen,preference,paired_preference,projector-interp000,vision,frozen-base,vision,spatial,50,37.0,13.0,0.74,0.26,0.48,24,0,26,0.34,0.62,2000,20260858
interpolation_minus_alpha1,preference,paired_preference,projector-interp000,vision,projector-interp100,vision,spatial,50,37.0,50.0,0.74,1.0,-0.26,0,13,37,-0.38,-0.14,2000,20260859
interpolation_minus_frozen,preference,sample_preference,projector-interp000,vision,frozen-base,vision,spatial,50,43.5,31.5,0.87,0.63,0.24,24,0,26,0.17,0.31,2000,20260860
interpolation_minus_alpha1,preference,sample_preference,projector-interp000,vision,projector-interp100,vision,spatial,50,43.5,50.0,0.87,1.0,-0.13,0,13,37,-0.19,-0.07,2000,20260861
interpolation_minus_frozen,preference,mean_margin,projector-interp000,vision,frozen-base,vision,spatial,50,48.250350423157215,7.004206113517284,0.9650070084631444,0.1400841222703457,0.8249228861927986,50,0,0,0.671980499625206,0.9869084812700748,2000,20260862
