state,kind,adaptation_step,adaptation_examples_seen,interpolation_alpha,condition,task,records,pairs,accuracy,paired_accuracy,answer_flip_accuracy,prediction_flip_rate
frozen-base,frozen,0,0,,vision,overall,600,300,0.21166666666666667,0.06333333333333334,0.06333333333333334,0.37
frozen-base,frozen,0,0,,vision,color,100,50,0.06,0.0,0.0,0.22
frozen-base,frozen,0,0,,vision,coordinate,100,50,0.0,0.0,0.0,0.0
frozen-base,frozen,0,0,,vision,count,100,50,0.08,0.0,0.0,0.3
frozen-base,frozen,0,0,,vision,ocr,100,50,0.0,0.0,0.0,0.76
frozen-base,frozen,0,0,,vision,shape,100,50,0.52,0.16,0.16,0.72
frozen-base,frozen,0,0,,vision,spatial,100,50,0.61,0.22,0.22,0.22
frozen-base,frozen,0,0,,paired_counterfactual_image,overall,600,300,0.21166666666666667,0.06333333333333334,0.06333333333333334,0.37
frozen-base,frozen,0,0,,paired_counterfactual_image,color,100,50,0.06,0.0,0.0,0.22
frozen-base,frozen,0,0,,paired_counterfactual_image,coordinate,100,50,0.0,0.0,0.0,0.0
frozen-base,frozen,0,0,,paired_counterfactual_image,count,100,50,0.08,0.0,0.0,0.3
frozen-base,frozen,0,0,,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.76
frozen-base,frozen,0,0,,paired_counterfactual_image,shape,100,50,0.52,0.16,0.16,0.72
frozen-base,frozen,0,0,,paired_counterfactual_image,spatial,100,50,0.61,0.22,0.22,0.22
projector-interp000,projector,0,,0.0,vision,overall,600,300,0.37666666666666665,0.22666666666666666,0.22666666666666666,0.7266666666666667
projector-interp000,projector,0,,0.0,vision,color,100,50,0.37,0.14,0.14,0.72
projector-interp000,projector,0,,0.0,vision,coordinate,100,50,0.17,0.02,0.02,0.42
projector-interp000,projector,0,,0.0,vision,count,100,50,0.2,0.02,0.02,0.76
projector-interp000,projector,0,,0.0,vision,ocr,100,50,0.0,0.0,0.0,0.8
projector-interp000,projector,0,,0.0,vision,shape,100,50,0.63,0.4,0.4,0.88
projector-interp000,projector,0,,0.0,vision,spatial,100,50,0.89,0.78,0.78,0.78
projector-interp000,projector,0,,0.0,paired_counterfactual_image,overall,600,300,0.37666666666666665,0.22666666666666666,0.22666666666666666,0.7266666666666667
projector-interp000,projector,0,,0.0,paired_counterfactual_image,color,100,50,0.37,0.14,0.14,0.72
projector-interp000,projector,0,,0.0,paired_counterfactual_image,coordinate,100,50,0.17,0.02,0.02,0.42
projector-interp000,projector,0,,0.0,paired_counterfactual_image,count,100,50,0.2,0.02,0.02,0.76
projector-interp000,projector,0,,0.0,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.8
projector-interp000,projector,0,,0.0,paired_counterfactual_image,shape,100,50,0.63,0.4,0.4,0.88
projector-interp000,projector,0,,0.0,paired_counterfactual_image,spatial,100,50,0.89,0.78,0.78,0.78
projector-interp025,projector,25,,0.25,vision,overall,600,300,0.41333333333333333,0.27,0.27,0.76
projector-interp025,projector,25,,0.25,vision,color,100,50,0.31,0.08,0.08,0.6
projector-interp025,projector,25,,0.25,vision,coordinate,100,50,0.36,0.1,0.1,0.62
projector-interp025,projector,25,,0.25,vision,count,100,50,0.12,0.0,0.0,0.68
