state,kind,adaptation_step,adaptation_examples_seen,interpolation_alpha,condition,task,records,pairs,sample_preference_accuracy,paired_preference_accuracy,mean_correct_margin
frozen-base,frozen,0,0,,vision,overall,600,300,0.6066666666666667,0.22,0.9734171475414483
frozen-base,frozen,0,0,,vision,color,100,50,0.61,0.22,0.6025000107288361
frozen-base,frozen,0,0,,vision,coordinate,100,50,0.51,0.02,0.06475747108459473
frozen-base,frozen,0,0,,vision,count,100,50,0.56,0.16,0.04437500238418579
frozen-base,frozen,0,0,,vision,ocr,100,50,0.55,0.1,0.48191123176756356
frozen-base,frozen,0,0,,vision,shape,100,50,0.78,0.56,4.506875047013164
frozen-base,frozen,0,0,,vision,spatial,100,50,0.63,0.26,0.1400841222703457
frozen-base,frozen,0,0,,paired_counterfactual_image,overall,600,300,0.37666666666666665,0.0,-0.9734171475414483
frozen-base,frozen,0,0,,paired_counterfactual_image,color,100,50,0.39,0.0,-0.6025000107288361
frozen-base,frozen,0,0,,paired_counterfactual_image,coordinate,100,50,0.49,0.0,-0.06475747108459473
frozen-base,frozen,0,0,,paired_counterfactual_image,count,100,50,0.37,0.0,-0.04437500238418579
frozen-base,frozen,0,0,,paired_counterfactual_image,ocr,100,50,0.45,0.0,-0.48191123176756356
frozen-base,frozen,0,0,,paired_counterfactual_image,shape,100,50,0.19,0.0,-4.506875047013164
frozen-base,frozen,0,0,,paired_counterfactual_image,spatial,100,50,0.37,0.0,-0.1400841222703457
frozen-base,frozen,0,0,,shuffled_image,overall,600,300,0.4583333333333333,0.043333333333333335,-0.02903409248791517
frozen-base,frozen,0,0,,shuffled_image,color,100,50,0.44,0.08,-0.07000000834465027
frozen-base,frozen,0,0,,shuffled_image,coordinate,100,50,0.5,0.0,0.0033815908432006836
frozen-base,frozen,0,0,,shuffled_image,count,100,50,0.44,0.04,0.00125
frozen-base,frozen,0,0,,shuffled_image,ocr,100,50,0.48,0.0,-0.049624264535449825
frozen-base,frozen,0,0,,shuffled_image,shape,100,50,0.52,0.14,0.051875000819563866
frozen-base,frozen,0,0,,shuffled_image,spatial,100,50,0.37,0.0,-0.11108687371015549
projector-interp000,projector,0,,0.0,vision,overall,600,300,0.7583333333333333,0.5266666666666666,1.8123680175723516
projector-interp000,projector,0,,0.0,vision,color,100,50,0.79,0.58,2.056249995082617
projector-interp000,projector,0,,0.0,vision,coordinate,100,50,0.72,0.44,0.711889134645462
projector-interp000,projector,0,,0.0,vision,count,100,50,0.68,0.42,0.3656249940395355
projector-interp000,projector,0,,0.0,vision,ocr,100,50,0.59,0.18,0.6160619808378673
projector-interp000,projector,0,,0.0,vision,shape,100,50,0.9,0.8,6.159374992365483
projector-interp000,projector,0,,0.0,vision,spatial,100,50,0.87,0.74,0.9650070084631444
projector-interp000,projector,0,,0.0,paired_counterfactual_image,overall,600,300,0.23,0.01,-1.8123680175723516
projector-interp000,projector,0,,0.0,paired_counterfactual_image,color,100,50,0.19,0.0,-2.056249995082617
projector-interp000,projector,0,,0.0,paired_counterfactual_image,coordinate,100,50,0.28,0.0,-0.711889134645462
projector-interp000,projector,0,,0.0,paired_counterfactual_image,count,100,50,0.28,0.06,-0.3656249940395355
projector-interp000,projector,0,,0.0,paired_counterfactual_image,ocr,100,50,0.41,0.0,-0.6160619808378673
projector-interp000,projector,0,,0.0,paired_counterfactual_image,shape,100,50,0.09,0.0,-6.159374992365483
projector-interp000,projector,0,,0.0,paired_counterfactual_image,spatial,100,50,0.13,0.0,-0.9650070084631444
projector-interp000,projector,0,,0.0,shuffled_image,overall,600,300,0.4483333333333333,0.12666666666666668,-0.08981311590036391
projector-interp000,projector,0,,0.0,shuffled_image,color,100,50,0.46,0.16,-0.12437498331069946
projector-interp000,projector,0,,0.0,shuffled_image,coordinate,100,50,0.56,0.16,0.05478391379117966
projector-interp000,projector,0,,0.0,shuffled_image,count,100,50,0.46,0.12,0.0012499994039535522
projector-interp000,projector,0,,0.0,shuffled_image,ocr,100,50,0.53,0.1,-0.020128699325379844
projector-interp000,projector,0,,0.0,shuffled_image,shape,100,50,0.55,0.22,0.26374995325924827
projector-interp000,projector,0,,0.0,shuffled_image,spatial,100,50,0.13,0.0,-0.7141588792204857
projector-interp025,projector,25,,0.25,vision,overall,600,300,0.7616666666666667,0.5333333333333333,2.0467922836402432
projector-interp025,projector,25,,0.25,vision,color,100,50,0.8,0.6,2.448124999459833
projector-interp025,projector,25,,0.25,vision,coordinate,100,50,0.74,0.48,0.9244697690010071
projector-interp025,projector,25,,0.25,vision,count,100,50,0.6,0.26,0.3874999988079071
projector-interp025,projector,25,,0.25,vision,ocr,100,50,0.58,0.16,0.6840616655349732
projector-interp025,projector,25,,0.25,vision,shape,100,50,0.85,0.7,6.275312450760976
projector-interp025,projector,25,,0.25,vision,spatial,100,50,1.0,1.0,1.561284818276763
projector-interp025,projector,25,,0.25,paired_counterfactual_image,overall,600,300,0.22333333333333333,0.01,-2.0467922836402432
projector-interp025,projector,25,,0.25,paired_counterfactual_image,color,100,50,0.17,0.0,-2.448124999459833
projector-interp025,projector,25,,0.25,paired_counterfactual_image,coordinate,100,50,0.26,0.0,-0.9244697690010071
projector-interp025,projector,25,,0.25,paired_counterfactual_image,count,100,50,0.34,0.06,-0.3874999988079071
projector-interp025,projector,25,,0.25,paired_counterfactual_image,ocr,100,50,0.42,0.0,-0.6840616655349732
projector-interp025,projector,25,,0.25,paired_counterfactual_image,shape,100,50,0.15,0.0,-6.275312450760976
projector-interp025,projector,25,,0.25,paired_counterfactual_image,spatial,100,50,0.0,0.0,-1.561284818276763
projector-interp025,projector,25,,0.25,shuffled_image,overall,600,300,0.44666666666666666,0.12666666666666668,-0.1548750104943645
projector-interp025,projector,25,,0.25,shuffled_image,color,100,50,0.47,0.18,-0.113125019967556
projector-interp025,projector,25,,0.25,shuffled_image,coordinate,100,50,0.53,0.12,0.07601957321166992
projector-interp025,projector,25,,0.25,shuffled_image,count,100,50,0.49,0.14,-0.004375006556510925
projector-interp025,projector,25,,0.25,shuffled_image,ocr,100,50,0.52,0.1,-0.016769970144544337
projector-interp025,projector,25,,0.25,shuffled_image,shape,100,50,0.54,0.22,0.24593752545304595
projector-interp025,projector,25,,0.25,shuffled_image,spatial,100,50,0.13,0.0,-1.1169371649622917
projector-interp050,projector,50,,0.5,vision,overall,600,300,0.7566666666666667,0.5266666666666666,2.250812241594377
projector-interp050,projector,50,,0.5,vision,color,100,50,0.84,0.68,2.8343750092061235
projector-interp050,projector,50,,0.5,vision,coordinate,100,50,0.75,0.5,1.1652903932332992
projector-interp050,projector,50,,0.5,vision,count,100,50,0.53,0.14,0.3818749940395355
projector-interp050,projector,50,,0.5,vision,ocr,100,50,0.6,0.2,0.7271896489234198
projector-interp050,projector,50,,0.5,vision,shape,100,50,0.82,0.64,6.097187495299149
projector-interp050,projector,50,,0.5,vision,spatial,100,50,1.0,1.0,2.2989559088647367
projector-interp050,projector,50,,0.5,paired_counterfactual_image,overall,600,300,0.22666666666666666,0.01,-2.250812241594377
projector-interp050,projector,50,,0.5,paired_counterfactual_image,color,100,50,0.12,0.0,-2.8343750092061235
projector-interp050,projector,50,,0.5,paired_counterfactual_image,coordinate,100,50,0.24,0.0,-1.1652903932332992
projector-interp050,projector,50,,0.5,paired_counterfactual_image,count,100,50,0.43,0.06,-0.3818749940395355
projector-interp050,projector,50,,0.5,paired_counterfactual_image,ocr,100,50,0.4,0.0,-0.7271896489234198
projector-interp050,projector,50,,0.5,paired_counterfactual_image,shape,100,50,0.17,0.0,-6.097187495299149
projector-interp050,projector,50,,0.5,paired_counterfactual_image,spatial,100,50,0.0,0.0,-2.2989559088647367
projector-interp050,projector,50,,0.5,shuffled_image,overall,600,300,0.44,0.13333333333333333,-0.22579795524108756
projector-interp050,projector,50,,0.5,shuffled_image,color,100,50,0.47,0.24,-0.08687501892447472
projector-interp050,projector,50,,0.5,shuffled_image,coordinate,100,50,0.53,0.14,0.09687761425971984
projector-interp050,projector,50,,0.5,shuffled_image,count,100,50,0.45,0.14,-0.014374998211860657
projector-interp050,projector,50,,0.5,shuffled_image,ocr,100,50,0.54,0.12,-0.01878405080522811
projector-interp050,projector,50,,0.5,shuffled_image,shape,100,50,0.52,0.16,0.25156252421205866
projector-interp050,projector,50,,0.5,shuffled_image,spatial,100,50,0.13,0.0,-1.5831938019767404
projector-interp075,projector,75,,0.75,vision,overall,600,300,0.755,0.5233333333333333,2.4143689127496466
projector-interp075,projector,75,,0.75,vision,color,100,50,0.88,0.76,3.204375007872004
projector-interp075,projector,75,,0.75,vision,coordinate,100,50,0.78,0.56,1.3981344178318977
projector-interp075,projector,75,,0.75,vision,count,100,50,0.53,0.14,0.36812500417232513
projector-interp075,projector,75,,0.75,vision,ocr,100,50,0.6,0.2,0.7549968341418675
projector-interp075,projector,75,,0.75,vision,shape,100,50,0.74,0.48,5.641562482696027
projector-interp075,projector,75,,0.75,vision,spatial,100,50,1.0,1.0,3.1190197297837585
projector-interp075,projector,75,,0.75,paired_counterfactual_image,overall,600,300,0.24166666666666667,0.013333333333333334,-2.4143689127496466
projector-interp075,projector,75,,0.75,paired_counterfactual_image,color,100,50,0.12,0.0,-3.204375007872004
projector-interp075,projector,75,,0.75,paired_counterfactual_image,coordinate,100,50,0.22,0.0,-1.3981344178318977
projector-interp075,projector,75,,0.75,paired_counterfactual_image,count,100,50,0.45,0.08,-0.36812500417232513
projector-interp075,projector,75,,0.75,paired_counterfactual_image,ocr,100,50,0.4,0.0,-0.7549968341418675
projector-interp075,projector,75,,0.75,paired_counterfactual_image,shape,100,50,0.26,0.0,-5.641562482696027
projector-interp075,projector,75,,0.75,paired_counterfactual_image,spatial,100,50,0.0,0.0,-3.1190197297837585
projector-interp075,projector,75,,0.75,shuffled_image,overall,600,300,0.445,0.13666666666666666,-0.27375784292423894
projector-interp075,projector,75,,0.75,shuffled_image,color,100,50,0.51,0.26,-0.045000024363398554
projector-interp075,projector,75,,0.75,shuffled_image,coordinate,100,50,0.53,0.16,0.12127563208341599
projector-interp075,projector,75,,0.75,shuffled_image,count,100,50,0.46,0.16,-0.026249985992908478
projector-interp075,projector,75,,0.75,shuffled_image,ocr,100,50,0.53,0.1,-0.019062045733133956
projector-interp075,projector,75,,0.75,shuffled_image,shape,100,50,0.51,0.14,0.33156249969266355
projector-interp075,projector,75,,0.75,shuffled_image,spatial,100,50,0.13,0.0,-2.005073133232072
projector-interp100,projector,100,,1.0,vision,overall,600,300,0.75,0.5166666666666667,2.5322879816515433
projector-interp100,projector,100,,1.0,vision,color,100,50,0.87,0.74,3.600000024421606
projector-interp100,projector,100,,1.0,vision,coordinate,100,50,0.77,0.54,1.5377499413490296
projector-interp100,projector,100,,1.0,vision,count,100,50,0.51,0.12,0.35125000417232516
projector-interp100,projector,100,,1.0,vision,ocr,100,50,0.61,0.22,0.7732174833842685
projector-interp100,projector,100,,1.0,vision,shape,100,50,0.74,0.48,4.946562510877848
projector-interp100,projector,100,,1.0,vision,spatial,100,50,1.0,1.0,3.984947925704182
projector-interp100,projector,100,,1.0,paired_counterfactual_image,overall,600,300,0.245,0.016666666666666666,-2.5322879816515433
projector-interp100,projector,100,,1.0,paired_counterfactual_image,color,100,50,0.11,0.0,-3.600000024421606
projector-interp100,projector,100,,1.0,paired_counterfactual_image,coordinate,100,50,0.23,0.0,-1.5377499413490296
projector-interp100,projector,100,,1.0,paired_counterfactual_image,count,100,50,0.48,0.1,-0.35125000417232516
projector-interp100,projector,100,,1.0,paired_counterfactual_image,ocr,100,50,0.39,0.0,-0.7732174833842685
projector-interp100,projector,100,,1.0,paired_counterfactual_image,shape,100,50,0.26,0.0,-4.946562510877848
projector-interp100,projector,100,,1.0,paired_counterfactual_image,spatial,100,50,0.0,0.0,-3.984947925704182
projector-interp100,projector,100,,1.0,shuffled_image,overall,600,300,0.44166666666666665,0.14666666666666667,-0.30473046509010276
projector-interp100,projector,100,,1.0,shuffled_image,color,100,50,0.51,0.28,0.009999985098838806
projector-interp100,projector,100,,1.0,shuffled_image,coordinate,100,50,0.52,0.16,0.10555765390396118
projector-interp100,projector,100,,1.0,shuffled_image,count,100,50,0.45,0.16,-0.039999998658895496
projector-interp100,projector,100,,1.0,shuffled_image,ocr,100,50,0.52,0.12,-0.01788814179102578
projector-interp100,projector,100,,1.0,shuffled_image,shape,100,50,0.52,0.16,0.41281252628192305
projector-interp100,projector,100,,1.0,shuffled_image,spatial,100,50,0.13,0.0,-2.2988648153754183
