family,modality,metric,state_a,condition_a,state_b,condition_b,task,denominator,sum_a,sum_b,mean_a,mean_b,mean_gap,a_only_better,b_only_better,equal,ci95_low,ci95_high,bootstrap_samples,seed
state_minus_step50,preference,paired_preference,anchor-1e-2,vision,frozen-base,vision,overall,300,163.0,158.0,0.5433333333333333,0.5266666666666666,0.016666666666666666,51,46,203,-0.05,0.08333333333333333,2000,20260823
anchor_minus_control,preference,paired_preference,anchor-1e-2,vision,resume-control,vision,overall,300,163.0,155.0,0.5433333333333333,0.5166666666666667,0.02666666666666667,27,19,254,-0.02,0.07,2000,20260824
state_minus_step50,preference,sample_preference,anchor-1e-2,vision,frozen-base,vision,overall,300,229.5,227.5,0.765,0.7583333333333333,0.006666666666666667,51,47,202,-0.02666666666666667,0.04,2000,20260825
anchor_minus_control,preference,sample_preference,anchor-1e-2,vision,resume-control,vision,overall,300,229.5,225.0,0.765,0.75,0.015,29,20,251,-0.008333333333333333,0.03833333333333333,2000,20260826
state_minus_step50,preference,mean_margin,anchor-1e-2,vision,frozen-base,vision,overall,300,837.2550455451017,543.7104052717054,2.7908501518170055,1.8123680175723516,0.9784821342446542,243,57,0,0.8434975252601666,1.1188274347150517,2000,20260827
anchor_minus_control,preference,mean_margin,anchor-1e-2,vision,resume-control,vision,overall,300,837.2550455451017,759.686394495463,2.7908501518170055,2.5322879816515433,0.2585621701654625,166,132,2,0.13630767305396563,0.39128303707852896,2000,20260828
state_minus_step50,preference,paired_preference,anchor-1e-2,vision,frozen-base,vision,color,50,43.0,29.0,0.86,0.58,0.28,18,4,28,0.1,0.44,2000,20260829
anchor_minus_control,preference,paired_preference,anchor-1e-2,vision,resume-control,vision,color,50,43.0,37.0,0.86,0.74,0.12,7,1,42,0.02,0.22,2000,20260830
state_minus_step50,preference,sample_preference,anchor-1e-2,vision,frozen-base,vision,color,50,46.5,39.5,0.93,0.79,0.14,18,4,28,0.06,0.22,2000,20260831
anchor_minus_control,preference,sample_preference,anchor-1e-2,vision,resume-control,vision,color,50,46.5,43.5,0.93,0.87,0.06,7,1,42,0.01,0.12,2000,20260832
state_minus_step50,preference,mean_margin,anchor-1e-2,vision,frozen-base,vision,color,50,208.21875302609988,102.81249975413084,4.164375060521998,2.056249995082617,2.108125065439381,50,0,0,1.7343750542588532,2.483750063725747,2000,20260833
anchor_minus_control,preference,mean_margin,anchor-1e-2,vision,resume-control,vision,color,50,208.21875302609988,180.0000012210803,4.164375060521998,3.600000024421606,0.5643750361003913,31,19,0,0.278124992554076,0.8775000907597132,2000,20260834
state_minus_step50,preference,paired_preference,anchor-1e-2,vision,frozen-base,vision,coordinate,50,36.0,22.0,0.72,0.44,0.28,15,1,34,0.14,0.42,2000,20260835
anchor_minus_control,preference,paired_preference,anchor-1e-2,vision,resume-control,vision,coordinate,50,36.0,27.0,0.72,0.54,0.18,11,2,37,0.04,0.32,2000,20260836
state_minus_step50,preference,sample_preference,anchor-1e-2,vision,frozen-base,vision,coordinate,50,43.0,36.0,0.86,0.72,0.14,15,1,34,0.07,0.21,2000,20260837
anchor_minus_control,preference,sample_preference,anchor-1e-2,vision,resume-control,vision,coordinate,50,43.0,38.5,0.86,0.77,0.09,11,2,37,0.03,0.16,2000,20260838
state_minus_step50,preference,mean_margin,anchor-1e-2,vision,frozen-base,vision,coordinate,50,74.06305783987045,35.5944567322731,1.481261156797409,0.711889134645462,0.769372022151947,43,7,0,0.37525522902607916,1.1336610338836908,2000,20260839
anchor_minus_control,preference,mean_margin,anchor-1e-2,vision,resume-control,vision,coordinate,50,74.06305783987045,76.88749706745148,1.481261156797409,1.5377499413490296,-0.056488784551620486,32,18,0,-0.3702539244294167,0.23218112498521803,2000,20260840
state_minus_step50,preference,paired_preference,anchor-1e-2,vision,frozen-base,vision,count,50,8.0,21.0,0.16,0.42,-0.26,2,15,33,-0.4,-0.12,2000,20260841
anchor_minus_control,preference,paired_preference,anchor-1e-2,vision,resume-control,vision,count,50,8.0,6.0,0.16,0.12,0.04,3,1,46,-0.04,0.12,2000,20260842
state_minus_step50,preference,sample_preference,anchor-1e-2,vision,frozen-base,vision,count,50,27.0,34.0,0.54,0.68,-0.14,2,16,32,-0.21,-0.07,2000,20260843
anchor_minus_control,preference,sample_preference,anchor-1e-2,vision,resume-control,vision,count,50,27.0,25.5,0.54,0.51,0.03,5,2,43,-0.02,0.08,2000,20260844
state_minus_step50,preference,mean_margin,anchor-1e-2,vision,frozen-base,vision,count,50,30.187500052154064,18.281249701976776,0.6037500010430813,0.3656249940395355,0.23812500700354577,38,12,0,0.11812500864267349,0.3474999982118607,2000,20260845
anchor_minus_control,preference,mean_margin,anchor-1e-2,vision,resume-control,vision,count,50,30.187500052154064,17.562500208616257,0.6037500010430813,0.35125000417232516,0.25249999687075614,45,3,2,0.17562500447034834,0.3406249751150608,2000,20260846
state_minus_step50,preference,paired_preference,anchor-1e-2,vision,frozen-base,vision,ocr,50,11.0,9.0,0.22,0.18,0.04,3,1,46,-0.04,0.12,2000,20260847
anchor_minus_control,preference,paired_preference,anchor-1e-2,vision,resume-control,vision,ocr,50,11.0,11.0,0.22,0.22,0.0,3,3,44,-0.1,0.1,2000,20260848
