modality,state,anchor_weight,condition,task,metric,pairs,mean
preference,frozen-base,,paired_counterfactual_image,overall,paired_preference,300,0.01
preference,frozen-base,,paired_counterfactual_image,overall,sample_preference,300,0.23
preference,frozen-base,,paired_counterfactual_image,overall,mean_margin,300,-1.8123680175723516
preference,frozen-base,,paired_counterfactual_image,color,paired_preference,50,0.0
preference,frozen-base,,paired_counterfactual_image,color,sample_preference,50,0.19
preference,frozen-base,,paired_counterfactual_image,color,mean_margin,50,-2.056249995082617
preference,frozen-base,,paired_counterfactual_image,coordinate,paired_preference,50,0.0
preference,frozen-base,,paired_counterfactual_image,coordinate,sample_preference,50,0.28
preference,frozen-base,,paired_counterfactual_image,coordinate,mean_margin,50,-0.711889134645462
preference,frozen-base,,paired_counterfactual_image,count,paired_preference,50,0.06
preference,frozen-base,,paired_counterfactual_image,count,sample_preference,50,0.28
preference,frozen-base,,paired_counterfactual_image,count,mean_margin,50,-0.3656249940395355
preference,frozen-base,,paired_counterfactual_image,ocr,paired_preference,50,0.0
preference,frozen-base,,paired_counterfactual_image,ocr,sample_preference,50,0.41
preference,frozen-base,,paired_counterfactual_image,ocr,mean_margin,50,-0.6160619808378673
preference,frozen-base,,paired_counterfactual_image,shape,paired_preference,50,0.0
preference,frozen-base,,paired_counterfactual_image,shape,sample_preference,50,0.09
preference,frozen-base,,paired_counterfactual_image,shape,mean_margin,50,-6.159374992365483
preference,frozen-base,,paired_counterfactual_image,spatial,paired_preference,50,0.0
preference,frozen-base,,paired_counterfactual_image,spatial,sample_preference,50,0.13
preference,frozen-base,,paired_counterfactual_image,spatial,mean_margin,50,-0.9650070084631444
preference,frozen-base,,shuffled_image,overall,paired_preference,300,0.12666666666666668
preference,frozen-base,,shuffled_image,overall,sample_preference,300,0.4483333333333333
preference,frozen-base,,shuffled_image,overall,mean_margin,300,-0.08981311590036391
preference,frozen-base,,shuffled_image,color,paired_preference,50,0.16
preference,frozen-base,,shuffled_image,color,sample_preference,50,0.46
preference,frozen-base,,shuffled_image,color,mean_margin,50,-0.12437498331069946
preference,frozen-base,,shuffled_image,coordinate,paired_preference,50,0.16
preference,frozen-base,,shuffled_image,coordinate,sample_preference,50,0.56
preference,frozen-base,,shuffled_image,coordinate,mean_margin,50,0.05478391379117966
preference,frozen-base,,shuffled_image,count,paired_preference,50,0.12
preference,frozen-base,,shuffled_image,count,sample_preference,50,0.46
preference,frozen-base,,shuffled_image,count,mean_margin,50,0.0012499994039535522
preference,frozen-base,,shuffled_image,ocr,paired_preference,50,0.1
preference,frozen-base,,shuffled_image,ocr,sample_preference,50,0.53
preference,frozen-base,,shuffled_image,ocr,mean_margin,50,-0.020128699325379844
preference,frozen-base,,shuffled_image,shape,paired_preference,50,0.22
preference,frozen-base,,shuffled_image,shape,sample_preference,50,0.55
preference,frozen-base,,shuffled_image,shape,mean_margin,50,0.26374995325924827
preference,frozen-base,,shuffled_image,spatial,paired_preference,50,0.0
preference,frozen-base,,shuffled_image,spatial,sample_preference,50,0.13
preference,frozen-base,,shuffled_image,spatial,mean_margin,50,-0.7141588792204857
preference,frozen-base,,vision,overall,paired_preference,300,0.5266666666666666
preference,frozen-base,,vision,overall,sample_preference,300,0.7583333333333333
preference,frozen-base,,vision,overall,mean_margin,300,1.8123680175723516
preference,frozen-base,,vision,color,paired_preference,50,0.58
preference,frozen-base,,vision,color,sample_preference,50,0.79
preference,frozen-base,,vision,color,mean_margin,50,2.056249995082617
preference,frozen-base,,vision,coordinate,paired_preference,50,0.44
preference,frozen-base,,vision,coordinate,sample_preference,50,0.72
preference,frozen-base,,vision,coordinate,mean_margin,50,0.711889134645462
preference,frozen-base,,vision,count,paired_preference,50,0.42
preference,frozen-base,,vision,count,sample_preference,50,0.68
preference,frozen-base,,vision,count,mean_margin,50,0.3656249940395355
preference,frozen-base,,vision,ocr,paired_preference,50,0.18
preference,frozen-base,,vision,ocr,sample_preference,50,0.59
preference,frozen-base,,vision,ocr,mean_margin,50,0.6160619808378673
preference,frozen-base,,vision,shape,paired_preference,50,0.8
preference,frozen-base,,vision,shape,sample_preference,50,0.9
preference,frozen-base,,vision,shape,mean_margin,50,6.159374992365483
preference,frozen-base,,vision,spatial,paired_preference,50,0.74
preference,frozen-base,,vision,spatial,sample_preference,50,0.87
preference,frozen-base,,vision,spatial,mean_margin,50,0.9650070084631444
preference,anchor-1e-2,0.01,paired_counterfactual_image,overall,paired_preference,300,0.01
preference,anchor-1e-2,0.01,paired_counterfactual_image,overall,sample_preference,300,0.22833333333333333
preference,anchor-1e-2,0.01,paired_counterfactual_image,overall,mean_margin,300,-2.7908501518170055
preference,anchor-1e-2,0.01,paired_counterfactual_image,color,paired_preference,50,0.0
preference,anchor-1e-2,0.01,paired_counterfactual_image,color,sample_preference,50,0.05
preference,anchor-1e-2,0.01,paired_counterfactual_image,color,mean_margin,50,-4.164375060521998
preference,anchor-1e-2,0.01,paired_counterfactual_image,coordinate,paired_preference,50,0.0
preference,anchor-1e-2,0.01,paired_counterfactual_image,coordinate,sample_preference,50,0.14
preference,anchor-1e-2,0.01,paired_counterfactual_image,coordinate,mean_margin,50,-1.481261156797409
preference,anchor-1e-2,0.01,paired_counterfactual_image,count,paired_preference,50,0.06
preference,anchor-1e-2,0.01,paired_counterfactual_image,count,sample_preference,50,0.44
preference,anchor-1e-2,0.01,paired_counterfactual_image,count,mean_margin,50,-0.6037500010430813
preference,anchor-1e-2,0.01,paired_counterfactual_image,ocr,paired_preference,50,0.0
preference,anchor-1e-2,0.01,paired_counterfactual_image,ocr,sample_preference,50,0.39
preference,anchor-1e-2,0.01,paired_counterfactual_image,ocr,mean_margin,50,-0.7532463207699004
preference,anchor-1e-2,0.01,paired_counterfactual_image,shape,paired_preference,50,0.0
preference,anchor-1e-2,0.01,paired_counterfactual_image,shape,sample_preference,50,0.23
preference,anchor-1e-2,0.01,paired_counterfactual_image,shape,mean_margin,50,-6.418437471565557
preference,anchor-1e-2,0.01,paired_counterfactual_image,spatial,paired_preference,50,0.0
preference,anchor-1e-2,0.01,paired_counterfactual_image,spatial,sample_preference,50,0.12
preference,anchor-1e-2,0.01,paired_counterfactual_image,spatial,mean_margin,50,-3.3240309002040886
preference,anchor-1e-2,0.01,shuffled_image,overall,paired_preference,300,0.15
preference,anchor-1e-2,0.01,shuffled_image,overall,sample_preference,300,0.49166666666666664
preference,anchor-1e-2,0.01,shuffled_image,overall,mean_margin,300,-0.26171438274919684
preference,anchor-1e-2,0.01,shuffled_image,color,paired_preference,50,0.28
preference,anchor-1e-2,0.01,shuffled_image,color,sample_preference,50,0.53
preference,anchor-1e-2,0.01,shuffled_image,color,mean_margin,50,0.1662500032223761
preference,anchor-1e-2,0.01,shuffled_image,coordinate,paired_preference,50,0.22
preference,anchor-1e-2,0.01,shuffled_image,coordinate,sample_preference,50,0.54
preference,anchor-1e-2,0.01,shuffled_image,coordinate,mean_margin,50,0.09052863292396068
preference,anchor-1e-2,0.01,shuffled_image,count,paired_preference,50,0.12
preference,anchor-1e-2,0.01,shuffled_image,count,sample_preference,50,0.45
preference,anchor-1e-2,0.01,shuffled_image,count,mean_margin,50,-0.03374999403953552
preference,anchor-1e-2,0.01,shuffled_image,ocr,paired_preference,50,0.12
preference,anchor-1e-2,0.01,shuffled_image,ocr,sample_preference,50,0.54
preference,anchor-1e-2,0.01,shuffled_image,ocr,mean_margin,50,-0.027577883016495424
preference,anchor-1e-2,0.01,shuffled_image,shape,paired_preference,50,0.16
preference,anchor-1e-2,0.01,shuffled_image,shape,sample_preference,50,0.51
preference,anchor-1e-2,0.01,shuffled_image,shape,mean_margin,50,0.16281252951244823
preference,anchor-1e-2,0.01,shuffled_image,spatial,paired_preference,50,0.0
preference,anchor-1e-2,0.01,shuffled_image,spatial,sample_preference,50,0.38
preference,anchor-1e-2,0.01,shuffled_image,spatial,mean_margin,50,-1.928549585097935
preference,anchor-1e-2,0.01,vision,overall,paired_preference,300,0.5433333333333333
preference,anchor-1e-2,0.01,vision,overall,sample_preference,300,0.765
preference,anchor-1e-2,0.01,vision,overall,mean_margin,300,2.7908501518170055
preference,anchor-1e-2,0.01,vision,color,paired_preference,50,0.86
preference,anchor-1e-2,0.01,vision,color,sample_preference,50,0.93
preference,anchor-1e-2,0.01,vision,color,mean_margin,50,4.164375060521998
