state,kind,adaptation_step,adaptation_examples_seen,interpolation_alpha,condition,task,records,pairs,accuracy,paired_accuracy,answer_flip_accuracy,prediction_flip_rate
frozen-base,frozen,0,0,,vision,overall,600,300,0.3883333333333333,0.23333333333333334,0.23333333333333334,0.7066666666666667
frozen-base,frozen,0,0,,vision,color,100,50,0.37,0.14,0.14,0.72
frozen-base,frozen,0,0,,vision,coordinate,100,50,0.17,0.02,0.02,0.42
frozen-base,frozen,0,0,,vision,count,100,50,0.21,0.02,0.02,0.72
frozen-base,frozen,0,0,,vision,ocr,100,50,0.0,0.0,0.0,0.78
frozen-base,frozen,0,0,,vision,shape,100,50,0.69,0.44,0.44,0.82
frozen-base,frozen,0,0,,vision,spatial,100,50,0.89,0.78,0.78,0.78
frozen-base,frozen,0,0,,paired_counterfactual_image,overall,600,300,0.3883333333333333,0.23333333333333334,0.23333333333333334,0.7066666666666667
frozen-base,frozen,0,0,,paired_counterfactual_image,color,100,50,0.37,0.14,0.14,0.72
frozen-base,frozen,0,0,,paired_counterfactual_image,coordinate,100,50,0.17,0.02,0.02,0.42
frozen-base,frozen,0,0,,paired_counterfactual_image,count,100,50,0.21,0.02,0.02,0.72
frozen-base,frozen,0,0,,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.78
frozen-base,frozen,0,0,,paired_counterfactual_image,shape,100,50,0.69,0.44,0.44,0.82
frozen-base,frozen,0,0,,paired_counterfactual_image,spatial,100,50,0.89,0.78,0.78,0.78
anchor-1e-2,projector,100,2400,,vision,overall,600,300,0.475,0.3,0.3,0.82
anchor-1e-2,projector,100,2400,,vision,color,100,50,0.78,0.58,0.58,0.92
anchor-1e-2,projector,100,2400,,vision,coordinate,100,50,0.57,0.28,0.28,0.96
anchor-1e-2,projector,100,2400,,vision,count,100,50,0.15,0.04,0.04,0.62
anchor-1e-2,projector,100,2400,,vision,ocr,100,50,0.0,0.0,0.0,0.9
anchor-1e-2,projector,100,2400,,vision,shape,100,50,0.46,0.12,0.12,0.74
anchor-1e-2,projector,100,2400,,vision,spatial,100,50,0.89,0.78,0.78,0.78
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,overall,600,300,0.475,0.3,0.3,0.82
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,color,100,50,0.78,0.58,0.58,0.92
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,coordinate,100,50,0.57,0.28,0.28,0.96
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,count,100,50,0.15,0.04,0.04,0.62
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.9
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,shape,100,50,0.46,0.12,0.12,0.74
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,spatial,100,50,0.89,0.78,0.78,0.78
anchor-1e-3,projector,100,2400,,vision,overall,600,300,0.5233333333333333,0.38333333333333336,0.38333333333333336,0.86
anchor-1e-3,projector,100,2400,,vision,color,100,50,0.81,0.64,0.64,0.94
anchor-1e-3,projector,100,2400,,vision,coordinate,100,50,0.74,0.52,0.52,1.0
anchor-1e-3,projector,100,2400,,vision,count,100,50,0.13,0.02,0.02,0.54
anchor-1e-3,projector,100,2400,,vision,ocr,100,50,0.0,0.0,0.0,0.88
anchor-1e-3,projector,100,2400,,vision,shape,100,50,0.46,0.12,0.12,0.8
anchor-1e-3,projector,100,2400,,vision,spatial,100,50,1.0,1.0,1.0,1.0
anchor-1e-3,projector,100,2400,,paired_counterfactual_image,overall,600,300,0.5233333333333333,0.38333333333333336,0.38333333333333336,0.86
anchor-1e-3,projector,100,2400,,paired_counterfactual_image,color,100,50,0.81,0.64,0.64,0.94
anchor-1e-3,projector,100,2400,,paired_counterfactual_image,coordinate,100,50,0.74,0.52,0.52,1.0
anchor-1e-3,projector,100,2400,,paired_counterfactual_image,count,100,50,0.13,0.02,0.02,0.54
anchor-1e-3,projector,100,2400,,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.88
anchor-1e-3,projector,100,2400,,paired_counterfactual_image,shape,100,50,0.46,0.12,0.12,0.8
anchor-1e-3,projector,100,2400,,paired_counterfactual_image,spatial,100,50,1.0,1.0,1.0,1.0
anchor-1e-4,projector,100,2400,,vision,overall,600,300,0.38166666666666665,0.24666666666666667,0.24666666666666667,0.8066666666666666
anchor-1e-4,projector,100,2400,,vision,color,100,50,0.26,0.06,0.06,0.72
anchor-1e-4,projector,100,2400,,vision,coordinate,100,50,0.61,0.34,0.34,0.92
anchor-1e-4,projector,100,2400,,vision,count,100,50,0.12,0.02,0.02,0.74
anchor-1e-4,projector,100,2400,,vision,ocr,100,50,0.0,0.0,0.0,0.86
anchor-1e-4,projector,100,2400,,vision,shape,100,50,0.3,0.06,0.06,0.6
anchor-1e-4,projector,100,2400,,vision,spatial,100,50,1.0,1.0,1.0,1.0
anchor-1e-4,projector,100,2400,,paired_counterfactual_image,overall,600,300,0.38166666666666665,0.24666666666666667,0.24666666666666667,0.8066666666666666
anchor-1e-4,projector,100,2400,,paired_counterfactual_image,color,100,50,0.26,0.06,0.06,0.72
anchor-1e-4,projector,100,2400,,paired_counterfactual_image,coordinate,100,50,0.61,0.34,0.34,0.92
anchor-1e-4,projector,100,2400,,paired_counterfactual_image,count,100,50,0.12,0.02,0.02,0.74
anchor-1e-4,projector,100,2400,,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.86
anchor-1e-4,projector,100,2400,,paired_counterfactual_image,shape,100,50,0.3,0.06,0.06,0.6
anchor-1e-4,projector,100,2400,,paired_counterfactual_image,spatial,100,50,1.0,1.0,1.0,1.0
resume-control,projector,100,2400,,vision,overall,600,300,0.41,0.25666666666666665,0.25666666666666665,0.7833333333333333
resume-control,projector,100,2400,,vision,color,100,50,0.38,0.16,0.16,0.7
resume-control,projector,100,2400,,vision,coordinate,100,50,0.51,0.24,0.24,0.88
resume-control,projector,100,2400,,vision,count,100,50,0.11,0.02,0.02,0.72
resume-control,projector,100,2400,,vision,ocr,100,50,0.0,0.0,0.0,0.84
resume-control,projector,100,2400,,vision,shape,100,50,0.46,0.12,0.12,0.56
resume-control,projector,100,2400,,vision,spatial,100,50,1.0,1.0,1.0,1.0
resume-control,projector,100,2400,,paired_counterfactual_image,overall,600,300,0.41,0.25666666666666665,0.25666666666666665,0.7833333333333333
resume-control,projector,100,2400,,paired_counterfactual_image,color,100,50,0.38,0.16,0.16,0.7
resume-control,projector,100,2400,,paired_counterfactual_image,coordinate,100,50,0.51,0.24,0.24,0.88
resume-control,projector,100,2400,,paired_counterfactual_image,count,100,50,0.11,0.02,0.02,0.72
resume-control,projector,100,2400,,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.84
resume-control,projector,100,2400,,paired_counterfactual_image,shape,100,50,0.46,0.12,0.12,0.56
resume-control,projector,100,2400,,paired_counterfactual_image,spatial,100,50,1.0,1.0,1.0,1.0
