state,kind,adaptation_step,adaptation_examples_seen,interpolation_alpha,condition,task,records,pairs,sample_preference_accuracy,paired_preference_accuracy,mean_correct_margin
frozen-base,frozen,0,0,,vision,overall,600,300,0.7583333333333333,0.5266666666666666,1.8123680175723516
frozen-base,frozen,0,0,,vision,color,100,50,0.79,0.58,2.056249995082617
frozen-base,frozen,0,0,,vision,coordinate,100,50,0.72,0.44,0.711889134645462
frozen-base,frozen,0,0,,vision,count,100,50,0.68,0.42,0.3656249940395355
frozen-base,frozen,0,0,,vision,ocr,100,50,0.59,0.18,0.6160619808378673
frozen-base,frozen,0,0,,vision,shape,100,50,0.9,0.8,6.159374992365483
frozen-base,frozen,0,0,,vision,spatial,100,50,0.87,0.74,0.9650070084631444
frozen-base,frozen,0,0,,paired_counterfactual_image,overall,600,300,0.23,0.01,-1.8123680175723516
frozen-base,frozen,0,0,,paired_counterfactual_image,color,100,50,0.19,0.0,-2.056249995082617
frozen-base,frozen,0,0,,paired_counterfactual_image,coordinate,100,50,0.28,0.0,-0.711889134645462
frozen-base,frozen,0,0,,paired_counterfactual_image,count,100,50,0.28,0.06,-0.3656249940395355
frozen-base,frozen,0,0,,paired_counterfactual_image,ocr,100,50,0.41,0.0,-0.6160619808378673
frozen-base,frozen,0,0,,paired_counterfactual_image,shape,100,50,0.09,0.0,-6.159374992365483
frozen-base,frozen,0,0,,paired_counterfactual_image,spatial,100,50,0.13,0.0,-0.9650070084631444
frozen-base,frozen,0,0,,shuffled_image,overall,600,300,0.4483333333333333,0.12666666666666668,-0.08981311590036391
frozen-base,frozen,0,0,,shuffled_image,color,100,50,0.46,0.16,-0.12437498331069946
frozen-base,frozen,0,0,,shuffled_image,coordinate,100,50,0.56,0.16,0.05478391379117966
frozen-base,frozen,0,0,,shuffled_image,count,100,50,0.46,0.12,0.0012499994039535522
frozen-base,frozen,0,0,,shuffled_image,ocr,100,50,0.53,0.1,-0.020128699325379844
frozen-base,frozen,0,0,,shuffled_image,shape,100,50,0.55,0.22,0.26374995325924827
frozen-base,frozen,0,0,,shuffled_image,spatial,100,50,0.13,0.0,-0.7141588792204857
anchor-1e-2,projector,100,2400,,vision,overall,600,300,0.765,0.5433333333333333,2.7908501518170055
anchor-1e-2,projector,100,2400,,vision,color,100,50,0.93,0.86,4.164375060521998
anchor-1e-2,projector,100,2400,,vision,coordinate,100,50,0.86,0.72,1.481261156797409
anchor-1e-2,projector,100,2400,,vision,count,100,50,0.54,0.16,0.6037500010430813
anchor-1e-2,projector,100,2400,,vision,ocr,100,50,0.61,0.22,0.7532463207699004
anchor-1e-2,projector,100,2400,,vision,shape,100,50,0.77,0.54,6.418437471565557
anchor-1e-2,projector,100,2400,,vision,spatial,100,50,0.88,0.76,3.3240309002040886
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,overall,600,300,0.22833333333333333,0.01,-2.7908501518170055
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,color,100,50,0.05,0.0,-4.164375060521998
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,coordinate,100,50,0.14,0.0,-1.481261156797409
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,count,100,50,0.44,0.06,-0.6037500010430813
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,ocr,100,50,0.39,0.0,-0.7532463207699004
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,shape,100,50,0.23,0.0,-6.418437471565557
anchor-1e-2,projector,100,2400,,paired_counterfactual_image,spatial,100,50,0.12,0.0,-3.3240309002040886
anchor-1e-2,projector,100,2400,,shuffled_image,overall,600,300,0.49166666666666664,0.15,-0.26171438274919684
anchor-1e-2,projector,100,2400,,shuffled_image,color,100,50,0.53,0.28,0.1662500032223761
anchor-1e-2,projector,100,2400,,shuffled_image,coordinate,100,50,0.54,0.22,0.09052863292396068
anchor-1e-2,projector,100,2400,,shuffled_image,count,100,50,0.45,0.12,-0.03374999403953552
anchor-1e-2,projector,100,2400,,shuffled_image,ocr,100,50,0.54,0.12,-0.027577883016495424
anchor-1e-2,projector,100,2400,,shuffled_image,shape,100,50,0.51,0.16,0.16281252951244823
anchor-1e-2,projector,100,2400,,shuffled_image,spatial,100,50,0.38,0.0,-1.928549585097935
anchor-1e-3,projector,100,2400,,vision,overall,600,300,0.78,0.57,2.783618850793967
anchor-1e-3,projector,100,2400,,vision,color,100,50,0.97,0.94,4.249375026569469
anchor-1e-3,projector,100,2400,,vision,coordinate,100,50,0.83,0.66,1.4142161583900452
anchor-1e-3,projector,100,2400,,vision,count,100,50,0.52,0.1,0.5068750059604645
anchor-1e-3,projector,100,2400,,vision,ocr,100,50,0.59,0.18,0.7153843285015651
anchor-1e-3,projector,100,2400,,vision,shape,100,50,0.77,0.54,6.018437535561389
anchor-1e-3,projector,100,2400,,vision,spatial,100,50,1.0,1.0,3.797425049780868
anchor-1e-3,projector,100,2400,,paired_counterfactual_image,overall,600,300,0.22,0.01,-2.783618850793967
anchor-1e-3,projector,100,2400,,paired_counterfactual_image,color,100,50,0.03,0.0,-4.249375026569469
anchor-1e-3,projector,100,2400,,paired_counterfactual_image,coordinate,100,50,0.17,0.0,-1.4142161583900452
