pairs_per_task,trial,task,mean_gap,ci95_low,ci95_high,triggered,sampling_seed,bootstrap_seed
8,0,color,0.5,0.125,0.875,False,28260826,28260827
8,0,coordinate,-0.125,-0.375,0.0,False,28260827,28260828
8,0,count,-0.25,-0.5,0.0,False,28260828,28260829
8,0,ocr,-0.125,-0.375,0.0,False,28260829,28260830
8,0,shape,-0.25,-0.5,0.0,False,28260830,28260831
8,0,spatial,0.0,0.0,0.0,False,28260831,28260832
8,1,color,0.25,0.0,0.625,False,28260926,28260927
8,1,coordinate,0.125,0.0,0.375,False,28260927,28260928
8,1,count,-0.125,-0.375,0.0,False,28260928,28260929
8,1,ocr,0.125,0.0,0.375,False,28260929,28260930
8,1,shape,0.0,0.0,0.0,False,28260930,28260931
8,1,spatial,0.25,0.0,0.625,False,28260931,28260932
8,2,color,0.125,0.0,0.375,False,28261026,28261027
8,2,coordinate,0.125,0.0,0.375,False,28261027,28261028
8,2,count,-0.25,-0.5,0.0,False,28261028,28261029
8,2,ocr,0.375,0.0,0.75,False,28261029,28261030
8,2,shape,0.0,-0.375,0.375,False,28261030,28261031
8,2,spatial,0.25,0.0,0.625,False,28261031,28261032
8,3,color,0.5,0.125,0.875,False,28261126,28261127
8,3,coordinate,0.375,0.125,0.75,False,28261127,28261128
8,3,count,-0.25,-0.625,0.0,False,28261128,28261129
8,3,ocr,0.0,-0.375,0.375,False,28261129,28261130
8,3,shape,0.0,-0.375,0.375,False,28261130,28261131
8,3,spatial,0.125,0.0,0.375,False,28261131,28261132
8,4,color,0.125,-0.25,0.5,False,28261226,28261227
8,4,coordinate,0.25,-0.25,0.75,False,28261227,28261228
8,4,count,-0.375,-0.75,-0.125,True,28261228,28261229
8,4,ocr,0.0,0.0,0.0,False,28261229,28261230
8,4,shape,-0.125,-0.375,0.0,False,28261230,28261231
8,4,spatial,0.25,0.0,0.625,False,28261231,28261232
8,5,color,0.25,0.0,0.625,False,28261326,28261327
8,5,coordinate,0.125,-0.25,0.5,False,28261327,28261328
8,5,count,0.0,0.0,0.0,False,28261328,28261329
8,5,ocr,0.0,0.0,0.0,False,28261329,28261330
8,5,shape,0.0,-0.375,0.375,False,28261330,28261331
8,5,spatial,0.0,0.0,0.0,False,28261331,28261332
8,6,color,0.25,0.0,0.625,False,28261426,28261427
8,6,coordinate,-0.25,-0.625,0.0,False,28261427,28261428
8,6,count,-0.625,-1.0,-0.25,True,28261428,28261429
8,6,ocr,0.125,-0.25,0.5,False,28261429,28261430
8,6,shape,-0.125,-0.375,0.0,False,28261430,28261431
8,6,spatial,0.375,0.0,0.75,False,28261431,28261432
8,7,color,0.375,0.0,0.75,False,28261526,28261527
8,7,coordinate,0.25,0.0,0.625,False,28261527,28261528
8,7,count,-0.25,-0.625,0.0,False,28261528,28261529
8,7,ocr,0.0,0.0,0.0,False,28261529,28261530
8,7,shape,-0.125,-0.375,0.0,False,28261530,28261531
8,7,spatial,0.25,0.0,0.625,False,28261531,28261532
8,8,color,0.125,0.0,0.375,False,28261626,28261627
8,8,coordinate,0.0,0.0,0.0,False,28261627,28261628
8,8,count,-0.5,-0.875,-0.125,True,28261628,28261629
8,8,ocr,0.0,0.0,0.0,False,28261629,28261630
8,8,shape,0.125,0.0,0.375,False,28261630,28261631
8,8,spatial,0.0,0.0,0.0,False,28261631,28261632
8,9,color,0.0,-0.375,0.375,False,28261726,28261727
8,9,coordinate,0.375,0.125,0.75,False,28261727,28261728
8,9,count,-0.375,-0.75,-0.125,True,28261728,28261729
8,9,ocr,0.0,0.0,0.0,False,28261729,28261730
8,9,shape,0.125,0.0,0.375,False,28261730,28261731
8,9,spatial,0.25,0.0,0.625,False,28261731,28261732
8,10,color,-0.125,-0.375,0.0,False,28261826,28261827
8,10,coordinate,0.125,-0.25,0.5,False,28261827,28261828
8,10,count,-0.5,-0.875,-0.125,True,28261828,28261829
8,10,ocr,-0.125,-0.375,0.0,False,28261829,28261830
8,10,shape,0.0,0.0,0.0,False,28261830,28261831
8,10,spatial,0.25,0.0,0.625,False,28261831,28261832
8,11,color,0.5,0.125,0.875,False,28261926,28261927
8,11,coordinate,-0.125,-0.375,0.0,False,28261927,28261928
8,11,count,-0.5,-0.875,-0.125,True,28261928,28261929
8,11,ocr,0.0,-0.375,0.375,False,28261929,28261930
8,11,shape,0.125,-0.25,0.5,False,28261930,28261931
8,11,spatial,0.0,0.0,0.0,False,28261931,28261932
8,12,color,0.125,0.0,0.375,False,28262026,28262027
8,12,coordinate,0.25,0.0,0.5,False,28262027,28262028
8,12,count,-0.5,-0.875,-0.125,True,28262028,28262029
8,12,ocr,0.125,0.0,0.375,False,28262029,28262030
8,12,shape,-0.125,-0.375,0.0,False,28262030,28262031
8,12,spatial,0.375,0.125,0.75,False,28262031,28262032
8,13,color,0.375,-0.125,0.75,False,28262126,28262127
8,13,coordinate,-0.125,-0.375,0.0,False,28262127,28262128
8,13,count,-0.5,-0.875,-0.125,True,28262128,28262129
8,13,ocr,0.0,0.0,0.0,False,28262129,28262130
8,13,shape,-0.25,-0.625,0.0,False,28262130,28262131
8,13,spatial,0.125,0.0,0.375,False,28262131,28262132
8,14,color,0.125,-0.25,0.5,False,28262226,28262227
8,14,coordinate,0.375,0.125,0.75,False,28262227,28262228
8,14,count,-0.375,-0.75,-0.125,True,28262228,28262229
8,14,ocr,0.0,0.0,0.0,False,28262229,28262230
8,14,shape,0.25,0.0,0.5,False,28262230,28262231
8,14,spatial,0.25,0.0,0.625,False,28262231,28262232
8,15,color,-0.125,-0.5,0.25,False,28262326,28262327
8,15,coordinate,0.125,0.0,0.375,False,28262327,28262328
8,15,count,-0.375,-0.75,-0.125,True,28262328,28262329
8,15,ocr,0.0,0.0,0.0,False,28262329,28262330
8,15,shape,0.0,-0.375,0.375,False,28262330,28262331
8,15,spatial,0.25,0.0,0.625,False,28262331,28262332
8,16,color,0.25,0.0,0.5,False,28262426,28262427
8,16,coordinate,0.0,-0.375,0.375,False,28262427,28262428
8,16,count,-0.25,-0.625,0.0,False,28262428,28262429
8,16,ocr,0.125,0.0,0.375,False,28262429,28262430
8,16,shape,-0.125,-0.375,0.0,False,28262430,28262431
8,16,spatial,0.375,0.125,0.75,False,28262431,28262432
8,17,color,0.375,0.125,0.75,False,28262526,28262527
8,17,coordinate,-0.25,-0.625,0.0,False,28262527,28262528
8,17,count,-0.25,-0.625,0.0,False,28262528,28262529
8,17,ocr,0.25,0.0,0.5,False,28262529,28262530
8,17,shape,0.0,-0.375,0.375,False,28262530,28262531
8,17,spatial,0.125,0.0,0.375,False,28262531,28262532
8,18,color,0.5,0.125,0.875,False,28262626,28262627
8,18,coordinate,-0.125,-0.5,0.25,False,28262627,28262628
8,18,count,-0.375,-0.75,-0.125,True,28262628,28262629
8,18,ocr,0.125,0.0,0.375,False,28262629,28262630
8,18,shape,0.0,0.0,0.0,False,28262630,28262631
8,18,spatial,0.0,0.0,0.0,False,28262631,28262632
8,19,color,0.125,-0.25,0.5,False,28262726,28262727
8,19,coordinate,-0.125,-0.375,0.0,False,28262727,28262728
8,19,count,-0.25,-0.625,0.0,False,28262728,28262729
8,19,ocr,0.125,0.0,0.375,False,28262729,28262730
8,19,shape,0.0,0.0,0.0,False,28262730,28262731
8,19,spatial,0.25,0.0,0.625,False,28262731,28262732
8,20,color,0.5,0.0,1.0,False,28262826,28262827
8,20,coordinate,-0.125,-0.375,0.0,False,28262827,28262828
8,20,count,-0.125,-0.375,0.0,False,28262828,28262829
