state,kind,adaptation_step,adaptation_examples_seen,interpolation_alpha,condition,task,records,pairs,sample_preference_accuracy,paired_preference_accuracy,mean_correct_margin
exchange-step50,projector,50,1200,,vision,overall,600,300,0.7583333333333333,0.5266666666666666,1.8123680175723516
exchange-step50,projector,50,1200,,vision,color,100,50,0.79,0.58,2.056249995082617
exchange-step50,projector,50,1200,,vision,coordinate,100,50,0.72,0.44,0.711889134645462
exchange-step50,projector,50,1200,,vision,count,100,50,0.68,0.42,0.3656249940395355
exchange-step50,projector,50,1200,,vision,ocr,100,50,0.59,0.18,0.6160619808378673
exchange-step50,projector,50,1200,,vision,shape,100,50,0.9,0.8,6.159374992365483
exchange-step50,projector,50,1200,,vision,spatial,100,50,0.87,0.74,0.9650070084631444
ordinary-step75,projector,75,1800,,vision,overall,600,300,0.765,0.5466666666666666,2.2107096910011763
ordinary-step75,projector,75,1800,,vision,color,100,50,0.88,0.76,3.081875022612512
ordinary-step75,projector,75,1800,,vision,coordinate,100,50,0.74,0.48,0.843239107131958
ordinary-step75,projector,75,1800,,vision,count,100,50,0.5,0.1,0.25624998956918715
ordinary-step75,projector,75,1800,,vision,ocr,100,50,0.59,0.18,0.6688489598319645
ordinary-step75,projector,75,1800,,vision,shape,100,50,0.88,0.76,6.183281233794987
ordinary-step75,projector,75,1800,,vision,spatial,100,50,1.0,1.0,2.2307638330664488
