family,metric,state_a,condition_a,state_b,condition_b,pairs,mean_a,mean_b,mean_gap,ci95_low,ci95_high,bootstrap_samples,bootstrap_seed
vision_minus_shuffle,paired_preference,frozen-step1500,vision,frozen-step1500,shuffled_image,200,0.13,0.025,0.105,0.065,0.15,2000,20260812
vision_minus_shuffle,mean_margin,frozen-step1500,vision,frozen-step1500,shuffled_image,200,0.12218749195337296,-0.020937492549419404,0.14312498450279235,0.10765623837709427,0.18124997317790986,2000,20260813
vision_minus_paired_counterfactual,mean_margin,frozen-step1500,vision,frozen-step1500,paired_counterfactual_image,200,0.12218749195337296,-0.12218749195337296,0.24437498390674592,0.20218749344348907,0.28656248450279237,2000,20260814
adaptation_minus_frozen,paired_preference,lora-step50,vision,frozen-step1500,vision,200,0.18,0.13,0.05,-0.025,0.13,2000,20260815
vision_minus_shuffle,paired_preference,lora-step50,vision,lora-step50,shuffled_image,200,0.18,0.015,0.165,0.11,0.22,2000,20260816
adaptation_minus_frozen,mean_margin,lora-step50,vision,frozen-step1500,vision,200,2.14437504081754,0.12218749195337296,2.022187548864167,1.8476563032646665,2.1943750432226805,2000,20260817
vision_minus_shuffle,mean_margin,lora-step50,vision,lora-step50,shuffled_image,200,2.14437504081754,-0.17890625775791705,2.3232812985754574,2.040937536205165,2.631875063306652,2000,20260818
vision_minus_paired_counterfactual,mean_margin,lora-step50,vision,lora-step50,paired_counterfactual_image,200,2.14437504081754,-2.14437504081754,4.28875008163508,3.926875072256662,4.65125005657319,2000,20260819
adaptation_minus_frozen,generation_paired,lora-step50,vision,frozen-step1500,vision,50,0.0,0.0,0.0,0.0,0.0,2000,20260820
adaptation_minus_frozen,generation_sample,lora-step50,vision,frozen-step1500,vision,50,0.2,0.27,-0.07,-0.19,0.05,2000,20260821
adaptation_minus_frozen,generation_flip,lora-step50,vision,frozen-step1500,vision,50,0.08,0.0,0.08,0.02,0.16,2000,20260822
adaptation_minus_frozen,paired_preference,lora-step100,vision,frozen-step1500,vision,200,0.605,0.13,0.475,0.405,0.545,2000,20260823
vision_minus_shuffle,paired_preference,lora-step100,vision,lora-step100,shuffled_image,200,0.605,0.165,0.44,0.355,0.525,2000,20260824
adaptation_minus_frozen,mean_margin,lora-step100,vision,frozen-step1500,vision,200,5.876875022315289,0.12218749195337296,5.754687530361917,5.230937524296241,6.256406284301265,2000,20260825
vision_minus_shuffle,mean_margin,lora-step100,vision,lora-step100,shuffled_image,200,5.876875022315289,-0.03781251828389941,5.914687540599188,5.103125045891793,6.7392187866349555,2000,20260826
vision_minus_paired_counterfactual,mean_margin,lora-step100,vision,lora-step100,paired_counterfactual_image,200,5.876875022315289,-5.876875022315289,11.753750044630578,10.774687568014052,12.769375036271086,2000,20260827
adaptation_minus_frozen,generation_paired,lora-step100,vision,frozen-step1500,vision,50,0.08,0.0,0.08,0.02,0.16,2000,20260828
adaptation_minus_frozen,generation_sample,lora-step100,vision,frozen-step1500,vision,50,0.45,0.27,0.18,0.05,0.3,2000,20260829
adaptation_minus_frozen,generation_flip,lora-step100,vision,frozen-step1500,vision,50,0.48,0.0,0.48,0.34,0.62,2000,20260830
adaptation_minus_frozen,paired_preference,lora-step200,vision,frozen-step1500,vision,200,0.43,0.13,0.3,0.24,0.36,2000,20260831
vision_minus_shuffle,paired_preference,lora-step200,vision,lora-step200,shuffled_image,200,0.43,0.1,0.33,0.255,0.405,2000,20260832
adaptation_minus_frozen,mean_margin,lora-step200,vision,frozen-step1500,vision,200,6.180253806060582,0.12218749195337296,6.058066314107209,5.191367115493749,6.976249894340135,2000,20260833
vision_minus_shuffle,mean_margin,lora-step200,vision,lora-step200,shuffled_image,200,6.180253806060582,-0.23904297128051438,6.4192967773410965,5.077714773053303,7.827792857674858,2000,20260834
vision_minus_paired_counterfactual,mean_margin,lora-step200,vision,lora-step200,paired_counterfactual_image,200,6.180253806060582,-6.180253806060582,12.360507612121165,10.599335802494606,14.133554434533453,2000,20260835
adaptation_minus_frozen,generation_paired,lora-step200,vision,frozen-step1500,vision,50,0.08,0.0,0.08,0.02,0.16,2000,20260836
adaptation_minus_frozen,generation_sample,lora-step200,vision,frozen-step1500,vision,50,0.45,0.27,0.18,0.06,0.3,2000,20260837
adaptation_minus_frozen,generation_flip,lora-step200,vision,frozen-step1500,vision,50,0.48,0.0,0.48,0.34,0.62,2000,20260838
adaptation_minus_frozen,paired_preference,projector-step50,vision,frozen-step1500,vision,200,1.0,0.13,0.87,0.825,0.915,2000,20260839
