state,kind,adaptation_step,adaptation_examples_seen,condition,records,pairs,sample_preference_accuracy,paired_preference_accuracy,mean_correct_margin
frozen-step1500,frozen,0,0,vision,400,200,0.565,0.13,0.12218749195337296
frozen-step1500,frozen,0,0,paired_counterfactual_image,400,200,0.435,0.0,-0.12218749195337296
frozen-step1500,frozen,0,0,shuffled_image,400,200,0.4875,0.025,-0.020937492549419404
lora-step50,lora,50,400,vision,400,200,0.59,0.18,2.14437504081754
lora-step50,lora,50,400,paired_counterfactual_image,400,200,0.41,0.0,-2.14437504081754
lora-step50,lora,50,400,shuffled_image,400,200,0.475,0.015,-0.17890625775791705
lora-step100,lora,100,800,vision,400,200,0.8025,0.605,5.876875022315289
lora-step100,lora,100,800,paired_counterfactual_image,400,200,0.1975,0.0,-5.876875022315289
lora-step100,lora,100,800,shuffled_image,400,200,0.485,0.165,-0.03781251828389941
lora-step200,lora,200,1600,vision,400,200,0.715,0.43,6.180253806060582
lora-step200,lora,200,1600,paired_counterfactual_image,400,200,0.285,0.0,-6.180253806060582
lora-step200,lora,200,1600,shuffled_image,400,200,0.4675,0.1,-0.23904297128051438
projector-step50,projector,50,400,vision,400,200,1.0,1.0,10.222968741107907
projector-step50,projector,50,400,paired_counterfactual_image,400,200,0.0,0.0,-10.222968741107907
projector-step50,projector,50,400,shuffled_image,400,200,0.4775,0.18,-0.38406249316612956
projector-step100,projector,100,800,vision,400,200,0.9725,0.945,10.339843730725079
projector-step100,projector,100,800,paired_counterfactual_image,400,200,0.0275,0.0,-10.339843730725079
projector-step100,projector,100,800,shuffled_image,400,200,0.4725,0.17,-0.35328124889698304
projector-step200,projector,200,1600,vision,400,200,0.9725,0.945,11.513593777993457
projector-step200,projector,200,1600,paired_counterfactual_image,400,200,0.0275,0.0,-11.513593777993457
projector-step200,projector,200,1600,shuffled_image,400,200,0.4675,0.18,-0.4300000238381654
