comparison,checkpoint,site,pairs,records,mean_delta,ci95_low,ci95_high,bootstrap_samples,seed
vision_vs_random_label_probe,lora-step100,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20260807
vision_vs_paired_counterfactual_image,lora-step100,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20260808
vision_vs_shuffled_image,lora-step100,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20260809
vision_vs_patch_permutation,lora-step100,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20260810
vision_vs_random_label_probe,lora-step100,layer_00_image_mean,200,400,0.505,0.4399375,0.57,2000,20260808
vision_vs_paired_counterfactual_image,lora-step100,layer_00_image_mean,200,400,0.745,0.6975,0.7925,2000,20260818
vision_vs_shuffled_image,lora-step100,layer_00_image_mean,200,400,0.54,0.49,0.5875,2000,20260819
vision_vs_patch_permutation,lora-step100,layer_00_image_mean,200,400,0.0,0.0,0.0,2000,20260820
vision_vs_random_label_probe,lora-step100,layer_01_assistant,200,400,0.04,-0.0175,0.0975,2000,20260809
vision_vs_paired_counterfactual_image,lora-step100,layer_01_assistant,200,400,0.0,0.0,0.0,2000,20260828
vision_vs_shuffled_image,lora-step100,layer_01_assistant,200,400,0.0,0.0,0.0,2000,20260829
vision_vs_patch_permutation,lora-step100,layer_01_assistant,200,400,-0.025,-0.06,0.01,2000,20260830
vision_vs_random_label_probe,lora-step100,layer_01_image_mean,200,400,0.505,0.44,0.5700624999999996,2000,20260810
vision_vs_paired_counterfactual_image,lora-step100,layer_01_image_mean,200,400,0.745,0.6925,0.7925,2000,20260838
vision_vs_shuffled_image,lora-step100,layer_01_image_mean,200,400,0.54,0.49,0.5875,2000,20260839
vision_vs_patch_permutation,lora-step100,layer_01_image_mean,200,400,0.0,0.0,0.0,2000,20260840
vision_vs_random_label_probe,lora-step100,layer_02_assistant,200,400,0.305,0.2575,0.355,2000,20260811
vision_vs_paired_counterfactual_image,lora-step100,layer_02_assistant,200,400,0.3775,0.325,0.4275,2000,20260848
vision_vs_shuffled_image,lora-step100,layer_02_assistant,200,400,0.2925,0.2475,0.3375,2000,20260849
vision_vs_patch_permutation,lora-step100,layer_02_assistant,200,400,0.045,0.01,0.08,2000,20260850
vision_vs_random_label_probe,lora-step100,layer_02_image_mean,200,400,0.5675,0.5075,0.625,2000,20260812
vision_vs_paired_counterfactual_image,lora-step100,layer_02_image_mean,200,400,0.745,0.695,0.7925,2000,20260858
vision_vs_shuffled_image,lora-step100,layer_02_image_mean,200,400,0.54,0.49,0.5875624999999997,2000,20260859
vision_vs_patch_permutation,lora-step100,layer_02_image_mean,200,400,0.0,0.0,0.0,2000,20260860
vision_vs_random_label_probe,lora-step100,layer_03_assistant,200,400,0.0,0.0,0.0,2000,20260813
