checkpoint,site,condition,records,target_accuracy,target_balanced_accuracy,source_accuracy,random_label_target_accuracy,alpha,pair_null_mean,pair_null_ci95_low,pair_null_ci95_high,pair_permutation_p,pair_permutation_samples
lora-step100,layer_00_assistant,vision,400,0.2849999964237213,0.25,0.2849999964237213,0.2849999964237213,1.0,0.2849999964237213,0.2849999964237213,0.2849999964237213,1.0,2000
lora-step100,layer_00_assistant,paired_counterfactual_image,400,0.2849999964237213,0.25,0.2849999964237213,0.2849999964237213,1.0,,,,,0
lora-step100,layer_00_assistant,shuffled_image,400,0.2849999964237213,0.25,0.2849999964237213,0.2849999964237213,1.0,,,,,0
lora-step100,layer_00_assistant,patch_permutation,400,0.2849999964237213,0.25,0.2849999964237213,0.2849999964237213,1.0,,,,,0
lora-step100,layer_00_image_mean,vision,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.3024999797344208,1.0,0.2509999991431832,0.20999999344348907,0.29499998688697815,0.0004997501249375312,2000
lora-step100,layer_00_image_mean,paired_counterfactual_image,400,0.0625,0.06618562340736389,0.8075000047683716,0.2175000011920929,1.0,,,,,0
lora-step100,layer_00_image_mean,shuffled_image,400,0.26749998331069946,0.26735013723373413,0.8075000047683716,0.23749999701976776,1.0,,,,,0
lora-step100,layer_00_image_mean,patch_permutation,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.3024999797344208,1.0,,,,,0
lora-step100,layer_01_assistant,vision,400,0.2849999964237213,0.25,0.2849999964237213,0.2449999898672104,1.0,0.2849999964237213,0.2849999964237213,0.2849999964237213,1.0,2000
lora-step100,layer_01_assistant,paired_counterfactual_image,400,0.2849999964237213,0.25,0.2849999964237213,0.2449999898672104,1.0,,,,,0
lora-step100,layer_01_assistant,shuffled_image,400,0.2849999964237213,0.25,0.2849999964237213,0.2449999898672104,1.0,,,,,0
lora-step100,layer_01_assistant,patch_permutation,400,0.3100000023841858,0.2877193093299866,0.3100000023841858,0.2449999898672104,1.0,,,,,0
lora-step100,layer_01_image_mean,vision,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.3024999797344208,1.0,0.25066624927520753,0.20749999582767487,0.29499998688697815,0.0004997501249375312,2000
lora-step100,layer_01_image_mean,paired_counterfactual_image,400,0.0625,0.06618562340736389,0.8075000047683716,0.2175000011920929,1.0,,,,,0
lora-step100,layer_01_image_mean,shuffled_image,400,0.26749998331069946,0.26735013723373413,0.8075000047683716,0.23749999701976776,1.0,,,,,0
lora-step100,layer_01_image_mean,patch_permutation,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.3024999797344208,1.0,,,,,0
lora-step100,layer_02_assistant,vision,400,0.5374999642372131,0.5619694590568542,0.5374999642372131,0.23250000178813934,1.0,0.24165749961137772,0.20749999582767487,0.2750000059604645,0.0004997501249375312,2000
lora-step100,layer_02_assistant,paired_counterfactual_image,400,0.1599999964237213,0.16477397084236145,0.5374999642372131,0.23250000178813934,1.0,,,,,0
lora-step100,layer_02_assistant,shuffled_image,400,0.2449999898672104,0.254452109336853,0.5374999642372131,0.23250000178813934,1.0,,,,,0
lora-step100,layer_02_assistant,patch_permutation,400,0.492499977350235,0.5149971842765808,0.492499977350235,0.2449999898672104,1.0,,,,,0
lora-step100,layer_02_image_mean,vision,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.23999999463558197,1.0,0.2511399993672967,0.20999999344348907,0.29499998688697815,0.0004997501249375312,2000
lora-step100,layer_02_image_mean,paired_counterfactual_image,400,0.0625,0.06618562340736389,0.8075000047683716,0.23749999701976776,1.0,,,,,0
lora-step100,layer_02_image_mean,shuffled_image,400,0.26749998331069946,0.26735013723373413,0.8075000047683716,0.24249999225139618,1.0,,,,,0
lora-step100,layer_02_image_mean,patch_permutation,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.23999999463558197,1.0,,,,,0
lora-step100,layer_03_assistant,vision,400,0.23250000178813934,0.25,0.23250000178813934,0.23250000178813934,1.0,0.23250000178813934,0.23250000178813934,0.23250000178813934,1.0,2000
lora-step100,layer_03_assistant,paired_counterfactual_image,400,0.23250000178813934,0.25,0.23250000178813934,0.23250000178813934,1.0,,,,,0
lora-step100,layer_03_assistant,shuffled_image,400,0.23250000178813934,0.25,0.23250000178813934,0.23250000178813934,1.0,,,,,0
lora-step100,layer_03_assistant,patch_permutation,400,0.23250000178813934,0.25,0.23250000178813934,0.23250000178813934,1.0,,,,,0
lora-step100,layer_03_image_mean,vision,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.3024999797344208,1.0,0.2518937493264675,0.20999999344348907,0.2950624875724312,0.0004997501249375312,2000
lora-step100,layer_03_image_mean,paired_counterfactual_image,400,0.0625,0.06618562340736389,0.8075000047683716,0.2175000011920929,1.0,,,,,0
lora-step100,layer_03_image_mean,shuffled_image,400,0.26749998331069946,0.26735013723373413,0.8075000047683716,0.23749999701976776,1.0,,,,,0
lora-step100,layer_03_image_mean,patch_permutation,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.3024999797344208,1.0,,,,,0
lora-step100,layer_04_assistant,vision,400,0.23250000178813934,0.25,0.23250000178813934,0.2849999964237213,1.0,0.23250000178813934,0.23250000178813934,0.23250000178813934,1.0,2000
lora-step100,layer_04_assistant,paired_counterfactual_image,400,0.23250000178813934,0.25,0.23250000178813934,0.2849999964237213,1.0,,,,,0
lora-step100,layer_04_assistant,shuffled_image,400,0.23250000178813934,0.25,0.23250000178813934,0.2849999964237213,1.0,,,,,0
lora-step100,layer_04_assistant,patch_permutation,400,0.23250000178813934,0.25,0.23250000178813934,0.28999999165534973,1.0,,,,,0
lora-step100,layer_04_image_mean,vision,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.3024999797344208,1.0,0.25072874934226275,0.20999999344348907,0.29499998688697815,0.0004997501249375312,2000
lora-step100,layer_04_image_mean,paired_counterfactual_image,400,0.0625,0.06618562340736389,0.8075000047683716,0.2175000011920929,1.0,,,,,0
lora-step100,layer_04_image_mean,shuffled_image,400,0.26749998331069946,0.26735013723373413,0.8075000047683716,0.23749999701976776,1.0,,,,,0
lora-step100,layer_04_image_mean,patch_permutation,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.3024999797344208,1.0,,,,,0
lora-step100,layer_05_assistant,vision,400,0.23250000178813934,0.25,0.23250000178813934,0.2849999964237213,1.0,0.23250000178813934,0.23250000178813934,0.23250000178813934,1.0,2000
lora-step100,layer_05_assistant,paired_counterfactual_image,400,0.23250000178813934,0.25,0.23250000178813934,0.2849999964237213,1.0,,,,,0
lora-step100,layer_05_assistant,shuffled_image,400,0.23250000178813934,0.25,0.23250000178813934,0.2849999964237213,1.0,,,,,0
lora-step100,layer_05_assistant,patch_permutation,400,0.23250000178813934,0.25,0.23250000178813934,0.29999998211860657,1.0,,,,,0
lora-step100,layer_05_image_mean,vision,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.3024999797344208,1.0,0.2508587494716048,0.20999999344348907,0.29006249159574476,0.0004997501249375312,2000
lora-step100,layer_05_image_mean,paired_counterfactual_image,400,0.0625,0.06618562340736389,0.8075000047683716,0.2175000011920929,1.0,,,,,0
lora-step100,layer_05_image_mean,shuffled_image,400,0.26749998331069946,0.26735013723373413,0.8075000047683716,0.23749999701976776,1.0,,,,,0
lora-step100,layer_05_image_mean,patch_permutation,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.3024999797344208,1.0,,,,,0
lora-step100,layer_06_assistant,vision,400,0.35999998450279236,0.3821965754032135,0.35999998450279236,0.2849999964237213,1.0,0.23258625020831825,0.20999999344348907,0.25506249517202345,0.0004997501249375312,2000
lora-step100,layer_06_assistant,paired_counterfactual_image,400,0.20250000059604645,0.2177419364452362,0.35999998450279236,0.2849999964237213,1.0,,,,,0
lora-step100,layer_06_assistant,shuffled_image,400,0.23250000178813934,0.2491118311882019,0.35999998450279236,0.2849999964237213,1.0,,,,,0
lora-step100,layer_06_assistant,patch_permutation,400,0.5399999618530273,0.5655359625816345,0.5399999618530273,0.25999999046325684,1.0,,,,,0
lora-step100,layer_06_image_mean,vision,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.23999999463558197,1.0,0.2516974994763732,0.20749999582767487,0.29499998688697815,0.0004997501249375312,2000
lora-step100,layer_06_image_mean,paired_counterfactual_image,400,0.0625,0.06618562340736389,0.8075000047683716,0.23749999701976776,1.0,,,,,0
lora-step100,layer_06_image_mean,shuffled_image,400,0.26749998331069946,0.26735013723373413,0.8075000047683716,0.24249999225139618,1.0,,,,,0
lora-step100,layer_06_image_mean,patch_permutation,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.2474999874830246,1.0,,,,,0
lora-step100,layer_07_assistant,vision,400,0.4699999988079071,0.5,0.4699999988079071,0.2849999964237213,1.0,0.23415874998271466,0.20499999821186066,0.26499998569488525,0.0004997501249375312,2000
lora-step100,layer_07_assistant,paired_counterfactual_image,400,0.17249999940395355,0.1854838728904724,0.4699999988079071,0.2849999964237213,1.0,,,,,0
lora-step100,layer_07_assistant,shuffled_image,400,0.23999999463558197,0.256819486618042,0.4699999988079071,0.2849999964237213,1.0,,,,,0
lora-step100,layer_07_assistant,patch_permutation,400,0.5199999809265137,0.5460257530212402,0.5199999809265137,0.2549999952316284,1.0,,,,,0
lora-step100,layer_07_image_mean,vision,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.23999999463558197,1.0,0.2518524992391467,0.20999999344348907,0.29499998688697815,0.0004997501249375312,2000
lora-step100,layer_07_image_mean,paired_counterfactual_image,400,0.0625,0.06618562340736389,0.8075000047683716,0.23749999701976776,1.0,,,,,0
lora-step100,layer_07_image_mean,shuffled_image,400,0.26749998331069946,0.26735013723373413,0.8075000047683716,0.24249999225139618,1.0,,,,,0
lora-step100,layer_07_image_mean,patch_permutation,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.23999999463558197,1.0,,,,,0
lora-step100,layer_08_assistant,vision,400,0.23250000178813934,0.25,0.23250000178813934,0.2849999964237213,1.0,0.23250000178813934,0.23250000178813934,0.23250000178813934,1.0,2000
lora-step100,layer_08_assistant,paired_counterfactual_image,400,0.23250000178813934,0.25,0.23250000178813934,0.2849999964237213,1.0,,,,,0
lora-step100,layer_08_assistant,shuffled_image,400,0.23250000178813934,0.25,0.23250000178813934,0.2849999964237213,1.0,,,,,0
lora-step100,layer_08_assistant,patch_permutation,400,0.23250000178813934,0.25,0.23250000178813934,0.2574999928474426,1.0,,,,,0
lora-step100,layer_08_image_mean,vision,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.23999999463558197,1.0,0.2510349996089935,0.20749999582767487,0.29499998688697815,0.0004997501249375312,2000
lora-step100,layer_08_image_mean,paired_counterfactual_image,400,0.0625,0.06618562340736389,0.8075000047683716,0.23749999701976776,1.0,,,,,0
lora-step100,layer_08_image_mean,shuffled_image,400,0.26749998331069946,0.26735013723373413,0.8075000047683716,0.24249999225139618,1.0,,,,,0
lora-step100,layer_08_image_mean,patch_permutation,400,0.8075000047683716,0.8035714626312256,0.8075000047683716,0.25999999046325684,1.0,,,,,0
