comparison,checkpoint,site,pairs,records,mean_delta,ci95_low,ci95_high,bootstrap_samples,seed
vision_vs_random_label_probe,projector-step50,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20260807
vision_vs_paired_counterfactual_image,projector-step50,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20260808
vision_vs_shuffled_image,projector-step50,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20260809
vision_vs_patch_permutation,projector-step50,layer_00_assistant,200,400,0.0,0.0,0.0,2000,20260810
vision_vs_random_label_probe,projector-step50,layer_00_image_mean,200,400,0.6425,0.605,0.6825,2000,20260808
vision_vs_paired_counterfactual_image,projector-step50,layer_00_image_mean,200,400,1.0,1.0,1.0,2000,20260818
vision_vs_shuffled_image,projector-step50,layer_00_image_mean,200,400,0.7625,0.72,0.8000624999999997,2000,20260819
vision_vs_patch_permutation,projector-step50,layer_00_image_mean,200,400,0.0,0.0,0.0,2000,20260820
vision_vs_random_label_probe,projector-step50,layer_01_assistant,200,400,-0.0875,-0.1475,-0.0225,2000,20260809
vision_vs_paired_counterfactual_image,projector-step50,layer_01_assistant,200,400,-0.025,-0.065,0.0125,2000,20260828
vision_vs_shuffled_image,projector-step50,layer_01_assistant,200,400,-0.015,-0.0475,0.02,2000,20260829
vision_vs_patch_permutation,projector-step50,layer_01_assistant,200,400,-0.055,-0.1175,0.0075,2000,20260830
vision_vs_random_label_probe,projector-step50,layer_01_image_mean,200,400,0.6425,0.605,0.68,2000,20260810
vision_vs_paired_counterfactual_image,projector-step50,layer_01_image_mean,200,400,1.0,1.0,1.0,2000,20260838
vision_vs_shuffled_image,projector-step50,layer_01_image_mean,200,400,0.7625,0.7225,0.805,2000,20260839
vision_vs_patch_permutation,projector-step50,layer_01_image_mean,200,400,0.0,0.0,0.0,2000,20260840
vision_vs_random_label_probe,projector-step50,layer_02_assistant,200,400,0.0525,-0.005,0.105,2000,20260811
vision_vs_paired_counterfactual_image,projector-step50,layer_02_assistant,200,400,0.0,0.0,0.0,2000,20260848
vision_vs_shuffled_image,projector-step50,layer_02_assistant,200,400,0.0,0.0,0.0,2000,20260849
vision_vs_patch_permutation,projector-step50,layer_02_assistant,200,400,-0.0275,-0.045,-0.0125,2000,20260850
vision_vs_random_label_probe,projector-step50,layer_02_image_mean,200,400,0.6425,0.605,0.6825,2000,20260812
vision_vs_paired_counterfactual_image,projector-step50,layer_02_image_mean,200,400,1.0,1.0,1.0,2000,20260858
vision_vs_shuffled_image,projector-step50,layer_02_image_mean,200,400,0.7625,0.7225,0.8,2000,20260859
vision_vs_patch_permutation,projector-step50,layer_02_image_mean,200,400,0.0,0.0,0.0,2000,20260860
vision_vs_random_label_probe,projector-step50,layer_03_assistant,200,400,0.5225,0.4825,0.5600624999999997,2000,20260813
vision_vs_paired_counterfactual_image,projector-step50,layer_03_assistant,200,400,0.6725,0.6175,0.725,2000,20260868
vision_vs_shuffled_image,projector-step50,layer_03_assistant,200,400,0.515,0.465,0.5575,2000,20260869
vision_vs_patch_permutation,projector-step50,layer_03_assistant,200,400,0.27,0.2325,0.3075,2000,20260870
vision_vs_random_label_probe,projector-step50,layer_03_image_mean,200,400,0.6425,0.6025,0.68,2000,20260814
vision_vs_paired_counterfactual_image,projector-step50,layer_03_image_mean,200,400,1.0,1.0,1.0,2000,20260878
vision_vs_shuffled_image,projector-step50,layer_03_image_mean,200,400,0.7625,0.72,0.8025,2000,20260879
vision_vs_patch_permutation,projector-step50,layer_03_image_mean,200,400,0.0,0.0,0.0,2000,20260880
vision_vs_random_label_probe,projector-step50,layer_04_assistant,200,400,0.2025,0.145,0.2625,2000,20260815
vision_vs_paired_counterfactual_image,projector-step50,layer_04_assistant,200,400,0.3275,0.2775,0.3825,2000,20260888
vision_vs_shuffled_image,projector-step50,layer_04_assistant,200,400,0.2575,0.21,0.305,2000,20260889
vision_vs_patch_permutation,projector-step50,layer_04_assistant,200,400,0.24,0.205,0.275,2000,20260890
vision_vs_random_label_probe,projector-step50,layer_04_image_mean,200,400,0.6425,0.6025,0.685,2000,20260816
vision_vs_paired_counterfactual_image,projector-step50,layer_04_image_mean,200,400,1.0,1.0,1.0,2000,20260898
vision_vs_shuffled_image,projector-step50,layer_04_image_mean,200,400,0.7625,0.7225,0.8,2000,20260899
vision_vs_patch_permutation,projector-step50,layer_04_image_mean,200,400,0.0,0.0,0.0,2000,20260900
vision_vs_random_label_probe,projector-step50,layer_05_assistant,200,400,0.53,0.495,0.5675,2000,20260817
vision_vs_paired_counterfactual_image,projector-step50,layer_05_assistant,200,400,0.7025,0.6525,0.75,2000,20260908
vision_vs_shuffled_image,projector-step50,layer_05_assistant,200,400,0.53,0.4825,0.5775,2000,20260909
vision_vs_patch_permutation,projector-step50,layer_05_assistant,200,400,0.265,0.2275,0.3025,2000,20260910
vision_vs_random_label_probe,projector-step50,layer_05_image_mean,200,400,0.6425,0.6025,0.68,2000,20260818
vision_vs_paired_counterfactual_image,projector-step50,layer_05_image_mean,200,400,1.0,1.0,1.0,2000,20260918
vision_vs_shuffled_image,projector-step50,layer_05_image_mean,200,400,0.7625,0.72,0.8025,2000,20260919
vision_vs_patch_permutation,projector-step50,layer_05_image_mean,200,400,0.0,0.0,0.0,2000,20260920
