checkpoint,site,condition,records,target_accuracy,target_balanced_accuracy,source_accuracy,random_label_target_accuracy,alpha,pair_null_mean,pair_null_ci95_low,pair_null_ci95_high,pair_permutation_p,pair_permutation_samples
projector-step50,layer_00_assistant,vision,400,0.2849999964237213,0.25,0.2849999964237213,0.2849999964237213,1.0,0.2849999964237213,0.2849999964237213,0.2849999964237213,1.0,2000
projector-step50,layer_00_assistant,paired_counterfactual_image,400,0.2849999964237213,0.25,0.2849999964237213,0.2849999964237213,1.0,,,,,0
projector-step50,layer_00_assistant,shuffled_image,400,0.2849999964237213,0.25,0.2849999964237213,0.2849999964237213,1.0,,,,,0
projector-step50,layer_00_assistant,patch_permutation,400,0.2849999964237213,0.25,0.2849999964237213,0.2849999964237213,1.0,,,,,0
projector-step50,layer_00_image_mean,vision,400,1.0,1.0,1.0,0.35749998688697815,1.0,0.25306374952197075,0.20749999582767487,0.29750001430511475,0.0004997501249375312,2000
projector-step50,layer_00_image_mean,paired_counterfactual_image,400,0.0,0.0,1.0,0.20999999344348907,1.0,,,,,0
projector-step50,layer_00_image_mean,shuffled_image,400,0.23749999701976776,0.23424719274044037,1.0,0.24249999225139618,1.0,,,,,0
projector-step50,layer_00_image_mean,patch_permutation,400,1.0,1.0,1.0,0.35749998688697815,1.0,,,,,0
projector-step50,layer_01_assistant,vision,400,0.23250000178813934,0.25,0.23250000178813934,0.3199999928474426,1.0,0.23405999983847142,0.20250000059604645,0.26499998569488525,0.5742128935532234,2000
projector-step50,layer_01_assistant,paired_counterfactual_image,400,0.2574999928474426,0.27484437823295593,0.23250000178813934,0.2524999976158142,1.0,,,,,0
projector-step50,layer_01_assistant,shuffled_image,400,0.2474999874830246,0.26431804895401,0.23250000178813934,0.26749998331069946,1.0,,,,,0
projector-step50,layer_01_assistant,patch_permutation,400,0.2874999940395355,0.3012644052505493,0.2874999940395355,0.26999998092651367,1.0,,,,,0
projector-step50,layer_01_image_mean,vision,400,1.0,1.0,1.0,0.35749998688697815,1.0,0.2528199995458126,0.20499999821186066,0.30000001192092896,0.0004997501249375312,2000
projector-step50,layer_01_image_mean,paired_counterfactual_image,400,0.0,0.0,1.0,0.20999999344348907,1.0,,,,,0
projector-step50,layer_01_image_mean,shuffled_image,400,0.23749999701976776,0.23424719274044037,1.0,0.24249999225139618,1.0,,,,,0
projector-step50,layer_01_image_mean,patch_permutation,400,1.0,1.0,1.0,0.35749998688697815,1.0,,,,,0
projector-step50,layer_02_assistant,vision,400,0.2849999964237213,0.25,0.2849999964237213,0.23250000178813934,1.0,0.2849999964237213,0.2849999964237213,0.2849999964237213,1.0,2000
projector-step50,layer_02_assistant,paired_counterfactual_image,400,0.2849999964237213,0.25,0.2849999964237213,0.23250000178813934,1.0,,,,,0
projector-step50,layer_02_assistant,shuffled_image,400,0.2849999964237213,0.25,0.2849999964237213,0.23250000178813934,1.0,,,,,0
projector-step50,layer_02_assistant,patch_permutation,400,0.3125,0.2780612111091614,0.3125,0.24249999225139618,1.0,,,,,0
projector-step50,layer_02_image_mean,vision,400,1.0,1.0,1.0,0.35749998688697815,1.0,0.2528937493190169,0.20993749350309374,0.29750001430511475,0.0004997501249375312,2000
projector-step50,layer_02_image_mean,paired_counterfactual_image,400,0.0,0.0,1.0,0.20999999344348907,1.0,,,,,0
projector-step50,layer_02_image_mean,shuffled_image,400,0.23749999701976776,0.23424719274044037,1.0,0.24249999225139618,1.0,,,,,0
projector-step50,layer_02_image_mean,patch_permutation,400,1.0,1.0,1.0,0.35749998688697815,1.0,,,,,0
projector-step50,layer_03_assistant,vision,400,0.7674999833106995,0.75,0.7674999833106995,0.2449999898672104,1.0,0.2628412492796779,0.2224999964237213,0.3050000071525574,0.0004997501249375312,2000
projector-step50,layer_03_assistant,paired_counterfactual_image,400,0.0949999988079071,0.08512352406978607,0.7674999833106995,0.2449999898672104,1.0,,,,,0
projector-step50,layer_03_assistant,shuffled_image,400,0.2524999976158142,0.23937523365020752,0.7674999833106995,0.2449999898672104,1.0,,,,,0
projector-step50,layer_03_assistant,patch_permutation,400,0.4975000023841858,0.46683675050735474,0.4975000023841858,0.2449999898672104,1.0,,,,,0
projector-step50,layer_03_image_mean,vision,400,1.0,1.0,1.0,0.35749998688697815,1.0,0.2534487493634224,0.20749999582767487,0.30250000953674316,0.0004997501249375312,2000
projector-step50,layer_03_image_mean,paired_counterfactual_image,400,0.0,0.0,1.0,0.20999999344348907,1.0,,,,,0
projector-step50,layer_03_image_mean,shuffled_image,400,0.23749999701976776,0.23424719274044037,1.0,0.24249999225139618,1.0,,,,,0
projector-step50,layer_03_image_mean,patch_permutation,400,1.0,1.0,1.0,0.35749998688697815,1.0,,,,,0
projector-step50,layer_04_assistant,vision,400,0.48749998211860657,0.49210527539253235,0.48749998211860657,0.2849999964237213,1.0,0.24762624924629928,0.2150000035762787,0.2800000011920929,0.0004997501249375312,2000
projector-step50,layer_04_assistant,paired_counterfactual_image,400,0.1599999964237213,0.16326530277729034,0.48749998211860657,0.2849999964237213,1.0,,,,,0
projector-step50,layer_04_assistant,shuffled_image,400,0.22999998927116394,0.23160579800605774,0.48749998211860657,0.2849999964237213,1.0,,,,,0
projector-step50,layer_04_assistant,patch_permutation,400,0.2474999874830246,0.25219297409057617,0.2474999874830246,0.2849999964237213,1.0,,,,,0
projector-step50,layer_04_image_mean,vision,400,1.0,1.0,1.0,0.35749998688697815,1.0,0.25247624949365854,0.20749999582767487,0.29750001430511475,0.0004997501249375312,2000
projector-step50,layer_04_image_mean,paired_counterfactual_image,400,0.0,0.0,1.0,0.20999999344348907,1.0,,,,,0
projector-step50,layer_04_image_mean,shuffled_image,400,0.23749999701976776,0.23424719274044037,1.0,0.2449999898672104,1.0,,,,,0
projector-step50,layer_04_image_mean,patch_permutation,400,1.0,1.0,1.0,0.35749998688697815,1.0,,,,,0
projector-step50,layer_05_assistant,vision,400,0.7674999833106995,0.75,0.7674999833106995,0.23749999701976776,1.0,0.2546112492531538,0.2150000035762787,0.29750001430511475,0.0004997501249375312,2000
projector-step50,layer_05_assistant,paired_counterfactual_image,400,0.06499999761581421,0.06632652878761292,0.7674999833106995,0.23749999701976776,1.0,,,,,0
projector-step50,layer_05_assistant,shuffled_image,400,0.23749999701976776,0.23122985661029816,0.7674999833106995,0.23749999701976776,1.0,,,,,0
projector-step50,layer_05_assistant,patch_permutation,400,0.5024999976158142,0.4780701696872711,0.5024999976158142,0.23499999940395355,1.0,,,,,0
projector-step50,layer_05_image_mean,vision,400,1.0,1.0,1.0,0.35749998688697815,1.0,0.25250874934345485,0.20999999344348907,0.29499998688697815,0.0004997501249375312,2000
projector-step50,layer_05_image_mean,paired_counterfactual_image,400,0.0,0.0,1.0,0.20999999344348907,1.0,,,,,0
projector-step50,layer_05_image_mean,shuffled_image,400,0.23749999701976776,0.23424719274044037,1.0,0.2449999898672104,1.0,,,,,0
projector-step50,layer_05_image_mean,patch_permutation,400,1.0,1.0,1.0,0.3125,1.0,,,,,0
projector-step50,layer_06_assistant,vision,400,0.5575000047683716,0.5657894611358643,0.5575000047683716,0.23749999701976776,1.0,0.24622749952971934,0.21250000596046448,0.2800000011920929,0.0004997501249375312,2000
projector-step50,layer_06_assistant,paired_counterfactual_image,400,0.13249999284744263,0.13520407676696777,0.5575000047683716,0.23749999701976776,1.0,,,,,0
projector-step50,layer_06_assistant,shuffled_image,400,0.23250000178813934,0.23472073674201965,0.5575000047683716,0.23749999701976776,1.0,,,,,0
projector-step50,layer_06_assistant,patch_permutation,400,0.3999999761581421,0.38947367668151855,0.3999999761581421,0.09999999403953552,1.0,,,,,0
projector-step50,layer_06_image_mean,vision,400,1.0,1.0,1.0,0.35749998688697815,1.0,0.2530699994638562,0.20499999821186066,0.30000001192092896,0.0004997501249375312,2000
projector-step50,layer_06_image_mean,paired_counterfactual_image,400,0.0,0.0,1.0,0.20999999344348907,1.0,,,,,0
projector-step50,layer_06_image_mean,shuffled_image,400,0.23749999701976776,0.23424719274044037,1.0,0.24249999225139618,1.0,,,,,0
